Indicator,Category,BASE,Oui,"Non, je me suis abstenu(e)",No rep.,Question
Total,Total,5979.002,0.7329154600000001,0.26208454,0.005,v0t1. Avez-vous voté dimanche 10 avril lors du premier tour de l'élection présidentielle ?
Gender,Man,2929.637,0.77733214,0.21904675999999998,0.00362151,v0t1. Avez-vous voté dimanche 10 avril lors du premier tour de l'élection présidentielle ?
Gender,Woman,3049.36,0.69156672,0.30343328,0.005,v0t1. Avez-vous voté dimanche 10 avril lors du premier tour de l'élection présidentielle ?
Age,18-24,478.2759,0.7149999,0.2784664300000001,0.00653367,v0t1. Avez-vous voté dimanche 10 avril lors du premier tour de l'élection présidentielle ?
Age,25-34,836.9062,0.7167800900000001,0.28060851,0.00261118,v0t1. Avez-vous voté dimanche 10 avril lors du premier tour de l'élection présidentielle ?
Age,35-49,1494.556,0.695,0.30329823,0.00170177,v0t1. Avez-vous voté dimanche 10 avril lors du premier tour de l'élection présidentielle ?
Age,50-64,1554.412,0.71429132,0.28043672,0.00527278,v0t1. Avez-vous voté dimanche 10 avril lors du premier tour de l'élection présidentielle ?
Age,65+,1614.848,0.8038148199999999,0.19118518,0.005,v0t1. Avez-vous voté dimanche 10 avril lors du premier tour de l'élection présidentielle ?
Socio-Professional Category,Total-CSP+,1734.019,0.7798732299999999,0.21799807,0.00212814,v0t1. Avez-vous voté dimanche 10 avril lors du premier tour de l'élection présidentielle ?
Socio-Professional Category,Small Business owners,212.9949,0.64793455,0.34499989999999997,0.00706555,v0t1. Avez-vous voté dimanche 10 avril lors du premier tour de l'élection présidentielle ?
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.905,0.09375905999999994,0.00124094,v0t1. Avez-vous voté dimanche 10 avril lors du premier tour de l'élection présidentielle ?
Socio-Professional Category,Prof Intermed,896.9079,0.73631395,0.26368527,0,v0t1. Avez-vous voté dimanche 10 avril lors du premier tour de l'élection présidentielle ?
Socio-Professional Category,Total-CSP-,1674.09,0.685,0.31168629,0.0033137100000000005,v0t1. Avez-vous voté dimanche 10 avril lors du premier tour de l'élection présidentielle ?
