Indicator,Category,BASE,ST Améliorée,ST Aggravée,Beaucoup améliorée,Un peu améliorée,Un peu aggravée,Beaucoup aggravée,N'a pas changée,No rep.,Question
Total,Total,5979.002,0.5164475609809128,0.3476548427312785,0.08714673000000002,0.42932513999999994,0.2217064,0.12594844,0.11087339,0.0249999,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Gender,Man,2929.637,0.5600195519103561,0.3227182070679746,0.10414734000000002,0.45587252,0.20982856,0.11289002999999999,0.09744463,0.0198192,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Gender,Woman,3049.36,0.4745877823543301,0.3716130597895952,0.07081368,0.40255032,0.23311820000000003,0.13849434,0.125,0.03002346,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Age,18-24,478.2759,0.522472071036822,0.333833253985827,0.08693388,0.4349999,0.21499990000000002,0.11859485,0.1288772500000001,0.01559422,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Age,25-34,836.9062,0.4595875858011328,0.3831379191598772,0.09161957,0.36796812,0.25359305,0.12954486,0.13912766,0.01814669,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Age,35-49,1494.556,0.45321125471377455,0.3792420625255929,0.04843376,0.40477754,0.24316078,0.13608135,0.12694439,0.04060167,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Age,50-64,1554.412,0.4996985355234005,0.3759227926701543,0.08988942,0.4083266100000001,0.215,0.16240418,0.10101112,0.023368670000000005,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Age,65+,1614.848,0.6187819534717819,0.2749999,0.11808083,0.50082271,0.1949999,0.08179333,0.08574795,0.01855528,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Socio-Professional Category,Total-CSP+,1734.019,0.5279652068402941,0.3541304910730505,0.08866581,0.43929957,0.21931046,0.13482032,0.11035571,0.007548340000000001,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Socio-Professional Category,Small Business owners,212.9949,0.44681572187878676,0.4114556264023223,0.09322171999999998,0.355,0.23207645000000005,0.17797281,0.12831514,0.013413880000000001,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.5671937601690837,0.31856113558259935,0.11257596999999998,0.455,0.195,0.12317906999999992,0.10452053,0.00972443,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Socio-Professional Category,Prof Intermed,896.9079,0.5179190639306444,0.37054952910995653,0.06726909,0.4506500600000001,0.2381201,0.13242943,0.10660544,0.00492484,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Socio-Professional Category,Total-CSP-,1674.09,0.4435665943885932,0.395,0.06206094,0.38150571,0.24523449,0.14874595,0.12981417,0.03263859,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Socio-Professional Category,Salaried,956.6466,0.4385684326897728,0.3849999,0.05061305,0.3890272299999999,0.24499990000000002,0.13928215,0.13892372,0.03715395,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Socio-Professional Category,Blue collar,717.4432,0.4502313214481648,0.4049999,0.07732583,0.3729053399999999,0.24411870000000002,0.16136525,0.11766743,0.02661776,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
