Indicator,Category,BASE,ST Améliorée,ST Aggravée,Beaucoup améliorée,Un peu améliorée,Un peu aggravée,Beaucoup aggravée,N'a pas changée,No rep.,Question
Total,Total,5979.002,0.33163327257625935,0.47012076597398694,0.04207961,0.28955384,0.28774652,0.18237425,0.15908128,0.03916384,"q8v13b_i7. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de prélèvements fiscaux"
Gender,Man,2929.637,0.365,0.4549999,0.04803889,0.31547624,0.28499990000000003,0.17211982,0.15051913,0.02884602,"q8v13b_i7. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de prélèvements fiscaux"
Gender,Woman,3049.36,0.3010668140199911,0.4825484691869769,0.03635438,0.26471237,0.29032144,0.19222636999999998,0.16730740000000002,0.04907663,"q8v13b_i7. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de prélèvements fiscaux"
Age,18-24,478.2759,0.3135633637404686,0.48060878668567664,0.05295205,0.26061129,0.28417301,0.19643561,0.16063458,0.04519333,"q8v13b_i7. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de prélèvements fiscaux"
Age,25-34,836.9062,0.3267378112385832,0.4621590806711672,0.05795498,0.26878281,0.3171591200000001,0.14499990000000001,0.16439441,0.046708780000000005,"q8v13b_i7. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de prélèvements fiscaux"
Age,35-49,1494.556,0.3002301017827368,0.4749999,0.03059842,0.26963165,0.2932574099999999,0.18393028,0.175,0.04758224,"q8v13b_i7. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de prélèvements fiscaux"
Age,50-64,1554.412,0.3349999,0.4750358334855881,0.04317549,0.29079518000000004,0.265,0.21178819,0.15817898,0.03106216,"q8v13b_i7. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de prélèvements fiscaux"
Age,65+,1614.848,0.365,0.4592061915424857,0.04020316,0.325,0.2908482500000001,0.1678039,0.14266959,0.0334751,"q8v13b_i7. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de prélèvements fiscaux"
Socio-Professional Category,Total-CSP+,1734.019,0.3496450730932014,0.45992915879237767,0.04755441999999999,0.30209075,0.29391766,0.1660115,0.17680343,0.013622529999999999,"q8v13b_i7. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de prélèvements fiscaux"
Socio-Professional Category,Small Business owners,212.9949,0.3477656507268484,0.4452588770904843,0.03814671,0.31038161999999997,0.2688785,0.17638019,0.1749999,0.03121308,"q8v13b_i7. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de prélèvements fiscaux"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.37311199341887086,0.4556015440032739,0.05311405000000001,0.31827632999999994,0.29232291,0.165,0.15052759,0.02075912,"q8v13b_i7. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de prélèvements fiscaux"
Socio-Professional Category,Prof Intermed,896.9079,0.32917950661377826,0.47161074174951517,0.04370211,0.28547725,0.30440071,0.16721014,0.19412406,0.00508473,"q8v13b_i7. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de prélèvements fiscaux"
Socio-Professional Category,Total-CSP-,1674.09,0.3021104002771655,0.48951394488946237,0.04626916,0.2549999,0.30438301000000006,0.18597274,0.15173509,0.05664009999999999,"q8v13b_i7. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de prélèvements fiscaux"
Socio-Professional Category,Salaried,956.6466,0.29668374925494956,0.48164358708848176,0.03692281,0.25976102,0.31282074,0.16882274,0.16784192,0.053830270000000006,"q8v13b_i7. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de prélèvements fiscaux"
Socio-Professional Category,Blue collar,717.4432,0.3093464402478133,0.5000091993345257,0.05873169,0.25061482,0.29116814,0.20884078,0.13025807,0.06038677,"q8v13b_i7. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de prélèvements fiscaux"
Political similarity,Far left,187.3446,0.42666711503827703,0.35384905676491335,0.19012163,0.23654549,0.27496699,0.07888212,0.1576639,0.0618203,"q8v13b_i7. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de prélèvements fiscaux"
Political similarity,Radical left,828.7407,0.3287760574568137,0.4876630289787868,0.06974785,0.25902794,0.3212624600000001,0.16736042999999998,0.14760142,0.0349999,"q8v13b_i7. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de prélèvements fiscaux"
