Indicator,Category,BASE,ST Improbable,ST probable,Tout à fait improbable,Plutôt improbable,Plutôt probable,Tout à fait probable,No rep.,Question
Total,Total,1935.377,0.7046983610945051,0.24846461438779113,0.42055755,0.28414118,0.18078023,0.06768438,0.04683733,"comp2v13b_i7_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Gender,Man,971.6732,0.6894595837365897,0.2596973962027563,0.42050711999999996,0.26895236,0.18604515999999996,0.07365216,0.05084316,"comp2v13b_i7_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Gender,Woman,963.7041,0.7200630359464071,0.23713897242940027,0.42060794,0.2994552,0.1754717,0.06166721,0.04279837000000001,"comp2v13b_i7_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Age,18-24,154.9066,0.715,0.20443764177898166,0.33617051,0.37842293,0.08486203999999999,0.1195756,0.08096905,"comp2v13b_i7_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Age,25-34,254.6808,0.645,0.31342688573304306,0.41648369,0.22819909999999996,0.22260736000000003,0.09081961,0.0418904,"comp2v13b_i7_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Age,35-49,476.7228,0.682158898210868,0.24312556479362848,0.42220061000000003,0.25967376,0.19440304000000003,0.04872259000000001,0.075,"comp2v13b_i7_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Age,50-64,527.0114,0.7577543863377528,0.2135029716624726,0.43893965,0.31881474,0.16087995,0.05262302,0.02874238,"comp2v13b_i7_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Age,65+,522.0563,0.6980618757019118,0.2700055530409268,0.42726636999999995,0.27079512,0.19648551000000003,0.07352008,0.03193255,"comp2v13b_i7_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Socio-Professional Category,Total-CSP+,602.8223,0.7396864714526984,0.21979047556800732,0.44321684999999994,0.29646995,0.16413829,0.05565209,0.04052254,"comp2v13b_i7_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Socio-Professional Category,Small Business owners,69.45517,0.507412623135182,0.3788249312470188,0.33834961,0.16906286,0.25015056,0.12867437,0.11376273000000002,"comp2v13b_i7_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Socio-Professional Category,Cadres/Prof Lib,192.9888,0.7607617644132717,0.20482147150508218,0.4494448,0.31073373,0.13388725,0.07093422,0.035,"comp2v13b_i7_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Socio-Professional Category,Prof Intermed,327.2908,0.795,0.1949999,0.46669903,0.32578032,0.16180336,0.03337005,0.01234732,"comp2v13b_i7_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Socio-Professional Category,Total-CSP-,523.9355,0.6960683137523607,0.2649999,0.41994106,0.27670734,0.2049999,0.06166421,0.03668749,"comp2v13b_i7_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Socio-Professional Category,Salaried,313.1002,0.7409755726760954,0.23265277377657378,0.49303424000000007,0.24887284999999998,0.1649999,0.06672123,0.02637178,"comp2v13b_i7_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Socio-Professional Category,Blue collar,210.8352,0.6293792497647452,0.31861420673587715,0.31133634,0.31750249999999997,0.265,0.05415433,0.05200683,"comp2v13b_i7_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Political similarity,Far left,57.50116,0.5986893133981993,0.38860729070509187,0.31907861,0.27961088,0.31829323,0.07031392,0.01270359,"comp2v13b_i7_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Political similarity,Radical left,272.6935,0.7133426355963748,0.2615309862537978,0.41923882,0.29410382,0.20370988,0.05782111000000001,0.025126470000000005,"comp2v13b_i7_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Political similarity,Left,473.2428,0.772033721379385,0.205,0.5123974800000001,0.25993401,0.1563153,0.04635331,0.0249999,"comp2v13b_i7_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
