Indicator,Category,BASE,ST Improbable,ST probable,Tout à fait improbable,Plutôt improbable,Plutôt probable,Tout à fait probable,No rep.,Question
Total,Total,2045.387,0.5062347614412334,0.44931242840596913,0.19125789,0.315,0.33096309000000007,0.11832548,0.04445354,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Gender,Man,988.965,0.575,0.403836435060897,0.22573377,0.34718804000000014,0.30821566,0.09499990000000001,0.02386263,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Gender,Woman,1056.424,0.445,0.4918837512211006,0.15898276,0.28540321,0.35230372,0.13958023,0.06372951,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Age,18-24,172.1535,0.5049999,0.43545667093611223,0.17497065,0.33345966999999993,0.30759061,0.12786606,0.05611312,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Age,25-34,293.5343,0.495,0.4722391897641946,0.135,0.35834044000000015,0.29748104,0.17475800999999996,0.03442051,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Age,35-49,510.9997,0.4880605605052214,0.46744821963691957,0.20785433,0.28020623,0.35171448999999994,0.11573367,0.044491449999999995,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Age,50-64,498.25,0.48606522829904664,0.46001284495735073,0.14945646,0.33660853,0.3622627199999999,0.09775005,0.05392128000000001,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Age,65+,570.4509,0.5461020396321576,0.4149999,0.24678268,0.29931936,0.31110408000000006,0.10499990000000001,0.03779398,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Socio-Professional Category,Total-CSP+,622.673,0.5482860185040944,0.42406576164375204,0.19102033,0.3575609299999999,0.27877088,0.14499990000000001,0.02764796,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Socio-Professional Category,Small Business owners,83.97375,0.35874448860507,0.5904203396894864,0.11913759000000002,0.2396069,0.33137034,0.25905,0.05083502,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Socio-Professional Category,Cadres/Prof Lib,221.9442,0.5573752321529466,0.3986892200832462,0.2129551,0.345,0.2866462100000001,0.11146365,0.04393504,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Socio-Professional Category,Prof Intermed,308.3514,0.605,0.3849999,0.19729153,0.40686403,0.24499990000000002,0.1404807,0.01036384,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Socio-Professional Category,Total-CSP-,565.5397,0.4609577364772093,0.4766264861688755,0.15924558,0.3011235599999999,0.385,0.09221554,0.06241532,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Socio-Professional Category,Salaried,328.1974,0.4491226926234029,0.4831080319344394,0.15431816,0.295,0.36221270000000005,0.12070041,0.06776873,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Socio-Professional Category,Blue collar,237.3422,0.4773234595449103,0.4649999,0.16605943,0.31126412,0.41483714,0.05282668,0.05501264,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Political similarity,Far left,65.5295,0.5207601156730938,0.47178812595853775,0.19092775,0.32983237,0.32025576,0.15153236,0.00745186,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Political similarity,Radical left,297.6857,0.4902046016990403,0.4891081432531022,0.16761316,0.32259158,0.35355443999999997,0.13555374,0.02068635,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Political similarity,Left,505.0977,0.533347112845693,0.4420873427061735,0.20931396,0.32403315,0.34768586,0.09396703,0.025,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Political similarity,PC/LFI,232.156,0.4815804889815469,0.4939975705990799,0.16103241,0.32054799000000006,0.3623759100000001,0.13104369,0.025,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Political similarity,PS,156.5141,0.6249998999999999,0.355,0.2549999,0.37138778,0.29790543,0.05695038,0.01875651,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
