Indicator,Category,BASE,ST 0 à 5,ST 6 à 8,ST 9 à 10,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,No rep.,Moyenne,Question
Total,Total,5979.002,0.5188063158366563,0.3708061980912533,0.07351511171931369,0.04785727,0.04051708,0.0649999,0.08854516,0.09848232,0.17840471000000008,0.11266328,0.16033208,0.09781117,0.04117724,0.03233782,0.03687197,5.187901,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Gender,Man,2929.637,0.4758473490060372,0.4049999,0.08610756213141764,0.04230548,0.035,0.05324182,0.08786594000000002,0.09641976,0.16128927,0.1192176,0.17204121999999994,0.11368343999999998,0.04869569000000001,0.0374119,0.03282788,5.418168,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Gender,Woman,3049.36,0.5600785082771467,0.33774562531154073,0.06141708424062754,0.05319113000000001,0.04608154,0.07646562,0.0891979,0.10046393,0.19467859,0.10636628999999999,0.14881696,0.08256234,0.03395408,0.02746303,0.04075737,4.964848,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Age,18-24,478.2759,0.46004450569221655,0.4149999,0.07775562180741284,0.06198209,0.04966705999999999,0.03809512,0.05860067,0.07652422,0.1749999,0.11755473999999999,0.20328721999999985,0.09466858,0.03521562,0.04254001000000001,0.04686477,5.361709,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Age,25-34,836.9062,0.505,0.36356619176677146,0.07928611354534117,0.04881339,0.02971619,0.05966615,0.08708408,0.09803645,0.18013691,0.12769962,0.14089022,0.09497625,0.03781033,0.04147577,0.05369456,5.25245,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Age,35-49,1494.556,0.5922039722834073,0.325,0.0449999,0.06334635,0.07102705,0.08690795,0.11261585,0.09278461,0.16523080999999987,0.10328009999999999,0.145,0.0758733,0.02374715,0.02333264,0.03685419,4.639087,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Age,50-64,1554.412,0.615,0.30666875963386797,0.054999900000000004,0.05532764,0.03901713,0.08658438,0.10898102,0.12324622,0.1986273599999999,0.08661976000000002,0.14060288,0.07944599,0.03228312,0.0249999,0.0242646,4.822883,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Age,65+,1614.848,0.3849999,0.46655740973763477,0.10925257361683577,0.02165242,0.01661146,0.03499949,0.054999900000000004,0.08665305,0.17070542,0.13717477,0.1924117799999998,0.13819301,0.06938096,0.03987166,0.03734608,5.968374,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Socio-Professional Category,Total-CSP+,1734.019,0.5246897525344302,0.3927203796498193,0.055,0.04008342,0.049447359999999996,0.06387548,0.08026423000000002,0.10665425,0.18436476,0.10972631,0.17169408,0.11130011,0.027862200000000004,0.02612126,0.02860657,5.177121,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Socio-Professional Category,Small Business owners,212.9949,0.475,0.41454499614779505,0.061758380130228475,0.09633832,0.04924404,0.08773083,0.04730761,0.0649999,0.12702337,0.10413986,0.19426875000000007,0.11695341,0.02919482,0.03256357,0.05023552,5.020224,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
