Indicator,Category,BASE,ST 0 à 5,ST 6 à 8,ST 9 à 10,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,No rep.,Moyenne,Question
Total,Total,5979.002,0.7063021554433331,0.205,0.0249999,0.055,0.05297423,0.09616471000000001,0.14367398,0.13718806,0.2213010300000001,0.08530307,0.07704199,0.04045776,0.01347827,0.014571849999999999,0.06284505,4.240846,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Gender,Man,2929.637,0.6996457240265602,0.21429149754730703,0.028064476930077,0.05341781,0.04584329,0.085,0.15276568,0.13915233,0.22346565000000013,0.08988895,0.08253917,0.04186334,0.01055516,0.01750932,0.0579993,4.322385,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Gender,Woman,3049.36,0.7126974184746964,0.19176538683527036,0.028036378125245953,0.05614788,0.05982527,0.10737374,0.1349394,0.1349999,0.21941138000000002,0.08089717,0.0717608,0.03910742,0.01628664,0.01174974,0.06750066,4.161708,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Age,18-24,478.2759,0.615,0.28499990000000003,0.041381993113180075,0.06987454,0.04746435999999999,0.065,0.11181247,0.10932031,0.21110043999999994,0.13059289,0.10211062,0.05310367999999999,0.0209187,0.02046328,0.05823871,4.590858,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Age,25-34,836.9062,0.6806888274934514,0.205,0.06311462383717553,0.05050314,0.05541288,0.10224537,0.13288502,0.12459055,0.21505182,0.06517317,0.09533993,0.04406299000000001,0.03042433,0.03269028,0.05162046,4.474817,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Age,35-49,1494.556,0.7257051592580003,0.17055520167862562,0.028891202470834144,0.05038803,0.07499990000000001,0.10209213,0.1561449,0.10596237,0.2361179299999999,0.06890394,0.07110888,0.03054228,0.00849044,0.02040075,0.07484845,4.093402,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Age,50-64,1554.412,0.7349769559164495,0.185,0.016239922234259643,0.07522677,0.05367999,0.12262507999999998,0.13305205,0.14630613,0.20408669000000002,0.08650564,0.0587336,0.03912568,0.01053812,0.0057018,0.0644196,3.953455,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Age,65+,1614.848,0.7011861178265695,0.2248936122780596,0.016519009838696894,0.037021,0.03204996,0.07145998,0.15738453,0.17209372000000003,0.23147957000000008,0.09634176,0.08324876,0.0449999,0.00993864,0.00658038,0.0574018,4.423782,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Socio-Professional Category,Total-CSP+,1734.019,0.6749999,0.225,0.02903389755244896,0.04079104,0.05485925,0.0939409,0.14448561,0.12791198,0.22323671,0.08685308999999998,0.08668037,0.04529435,0.01555926,0.01347464,0.06691282,4.360841,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Socio-Professional Category,Small Business owners,212.9949,0.6526325278210886,0.235,0.03173883506130898,0.05022341,0.10652509,0.09300988,0.11852462,0.0921738,0.19229847000000003,0.08753552,0.08537125,0.05759922,0.00297541,0.02876343,0.0849999,4.236318,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
