Indicator,Category,BASE,Plutôt de gauche,Plutôt de droite,Ni de gauche ni de droite,Vous ne savez pas,No rep.,Question
Total,Total,4236.828,0.24755808,0.27972743,0.24714551,0.09268729,0.13288205,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Gender,Man,2085.889,0.2983778900000002,0.29656918,0.25697475,0.0849999,0.06307828,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Gender,Woman,2150.94,0.19968167,0.26339512,0.23761374000000002,0.09873361999999998,0.20057445,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Age,18-24,161.2294,0.181153,0.2326603,0.22262063,0.13501142,0.22855478,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Age,25-34,493.1703,0.20868126,0.24247486,0.21535847,0.13355784,0.19992759,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Age,35-49,1098.146,0.22919092999999996,0.25292365,0.2604980100000001,0.125,0.13238741,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Age,50-64,1221.555,0.27017965,0.24314288,0.24285456,0.0971822,0.1466417,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Age,65+,1262.728,0.26531011,0.35898895,0.25407792,0.040023970000000006,0.08159983999999999,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Socio-Professional Category,Total-CSP+,1233.313,0.27728979,0.28720649,0.22248967,0.08801415,0.12499990000000001,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Socio-Professional Category,Small Business owners,152.1733,0.12347836,0.37666902999999996,0.23988853,0.08234289,0.17762163,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Socio-Professional Category,Cadres/Prof Lib,426.5095,0.29085753,0.33848625,0.18507217,0.06325585,0.12232773,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
