Indicator,Category,BASE,ST D'accord,ST Pas d'accord,Tout à fait d'accord,Plutôt d'accord,Plutôt pas d'accord,Pas du tout d'accord,No rep.,Question
Total,Total,5979.002,0.7040307061278788,0.2676817970624529,0.20997283,0.4940577,0.21789473,0.04978714,0.02828691,"q10v13b_i3. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux éviter de discuter de politique car cela crée des conflits"
Gender,Man,2929.637,0.6881354242863535,0.2845725255381469,0.20310178,0.48503415,0.24004145,0.04453118,0.02729384,"q10v13b_i3. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux éviter de discuter de politique car cela crée des conflits"
Gender,Woman,3049.36,0.7193037227483801,0.2514547970721725,0.21657443,0.50272877,0.19661798000000003,0.05483679,0.029241010000000005,"q10v13b_i3. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux éviter de discuter de politique car cela crée des conflits"
Age,18-24,478.2759,0.6790584681352333,0.2974590607638813,0.21395057,0.46510769,0.23753361000000003,0.0599256,0.02348264,"q10v13b_i3. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux éviter de discuter de politique car cela crée des conflits"
Age,25-34,836.9062,0.6906020053382327,0.28786642995355993,0.25066513,0.43993688,0.23249344000000002,0.05537293,0.02153125,"q10v13b_i3. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux éviter de discuter de politique car cela crée des conflits"
Age,35-49,1494.556,0.7049998999999999,0.26550059014182137,0.20478109,0.50226228,0.21802141,0.04747916,0.027455299999999995,"q10v13b_i3. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux éviter de discuter de politique car cela crée des conflits"
Age,50-64,1554.412,0.715,0.251478694194332,0.22724496,0.4865187,0.19841863,0.053060029999999994,0.03475883,"q10v13b_i3. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux éviter de discuter de politique car cela crée des conflits"
Age,65+,1614.848,0.7062317939521243,0.2649999,0.17588516,0.53034657,0.22314274,0.04287522,0.02775095,"q10v13b_i3. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux éviter de discuter de politique car cela crée des conflits"
Socio-Professional Category,Total-CSP+,1734.019,0.6858114011438168,0.29889983904443956,0.19004002,0.49606024,0.256292,0.04260784,0.0149999,"q10v13b_i3. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux éviter de discuter de politique car cela crée des conflits"
Socio-Professional Category,Small Business owners,212.9949,0.810548515480887,0.17951509637085206,0.2198262,0.59072259,0.15097883,0.02853627,0.00993653,"q10v13b_i3. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux éviter de discuter de politique car cela crée des conflits"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.6868356177693832,0.28891712229123373,0.18504308,0.5017927,0.24522717,0.04368985,0.02424741,"q10v13b_i3. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux éviter de discuter de politique car cela crée des conflits"
Socio-Professional Category,Prof Intermed,896.9079,0.655,0.3349999,0.17616703,0.475,0.2935980000000001,0.04420148,0.01103349,"q10v13b_i3. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux éviter de discuter de politique car cela crée des conflits"
Socio-Professional Category,Total-CSP-,1674.09,0.7270750079147478,0.2349999,0.23622249,0.4913372200000001,0.19058916,0.0449999,0.03685123,"q10v13b_i3. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux éviter de discuter de politique car cela crée des conflits"
Socio-Professional Category,Salaried,956.6466,0.7349998999999999,0.235,0.22040083,0.51499676,0.17550964,0.0555071,0.03358527,"q10v13b_i3. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux éviter de discuter de politique car cela crée des conflits"
Socio-Professional Category,Blue collar,717.4432,0.7159775157113482,0.24281699234169338,0.25731905,0.45865819,0.21069654000000002,0.03212048,0.04120613,"q10v13b_i3. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux éviter de discuter de politique car cela crée des conflits"
Political similarity,Far left,187.3446,0.6980131799902426,0.2749999,0.18150392,0.51629818,0.21259177,0.06460613,0.025,"q10v13b_i3. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux éviter de discuter de politique car cela crée des conflits"
Political similarity,Radical left,828.7407,0.5685598643821885,0.4046149778815014,0.1557924,0.41338514000000004,0.31899664,0.0849999,0.026825920000000003,"q10v13b_i3. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux éviter de discuter de politique car cela crée des conflits"
Political similarity,Left,1430.296,0.5969365781628418,0.37997841006337146,0.15249801,0.445,0.30362703000000013,0.07578921,0.02308575,"q10v13b_i3. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux éviter de discuter de politique car cela crée des conflits"
Political similarity,PC/LFI,641.3963,0.5307476828288532,0.44183198437533866,0.14828238,0.38246526,0.35007622999999993,0.09175573999999999,0.02742085,"q10v13b_i3. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux éviter de discuter de politique car cela crée des conflits"
Political similarity,PS,449.3176,0.6610615742628376,0.327362649493365,0.17926774,0.48092183,0.27323434,0.055,0.01157609,"q10v13b_i3. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux éviter de discuter de politique car cela crée des conflits"
Political similarity,EELV,339.583,0.63710403642114,0.33276871928217844,0.12503986,0.5120645,0.25847663,0.07429197,0.030126629999999998,"q10v13b_i3. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux éviter de discuter de politique car cela crée des conflits"
Political similarity,EM,672.9198,0.7534193524993616,0.235,0.2349999,0.5184193400000001,0.20595411,0.02617706,0.014449589999999998,"q10v13b_i3. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux éviter de discuter de politique car cela crée des conflits"
Political similarity,MoDem,161.1257,0.5756307652969079,0.4079143798909795,0.11805354,0.4590321400000001,0.34804826,0.05986616,0.0149999,"q10v13b_i3. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux éviter de discuter de politique car cela crée des conflits"
Political similarity,Right,573.0042,0.7431533660660777,0.24042040180508276,0.18286986,0.5602835,0.21672197,0.02369859,0.01642618,"q10v13b_i3. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux éviter de discuter de politique car cela crée des conflits"
Political similarity,UDI/PR,89.32552,0.7212837943736572,0.2660547624016071,0.10755320999999998,0.6137055900000001,0.21107954,0.055,0.01266166,"q10v13b_i3. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux éviter de discuter de politique car cela crée des conflits"
Political similarity,LR,397.5368,0.7349998999999999,0.245,0.18137058,0.5549999,0.2263724700000001,0.01642562,0.02083143,"q10v13b_i3. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux éviter de discuter de politique car cela crée des conflits"
Political similarity,Radical right,1008.8,0.7726522601110231,0.21090652260111023,0.26460478,0.50804768,0.15971402,0.05119264,0.01644132,"q10v13b_i3. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux éviter de discuter de politique car cela crée des conflits"
Political similarity,Debout la France,86.14185,0.795,0.2049999,0.26788872,0.52611919,0.181162,0.02483001,0,"q10v13b_i3. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux éviter de discuter de politique car cela crée des conflits"
Political similarity,Reconquete,205.4045,0.7249998999999999,0.2560859182734555,0.16454274,0.56349544,0.20034507999999998,0.05574084,0.015876,"q10v13b_i3. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux éviter de discuter de politique car cela crée des conflits"
