Indicator,Category,BASE,st au moins un,Une association sportive ou culturelle,"Une organisation de défense de l'environnement, ou pour la protection des animaux","Une association de riverains, de quartier","Un club, une association de jeunesse, une association de femmes, une association de personnes âgées",Un syndicat de salariés ou une organisation professionnelle,"Une organisation humanitaire, de défense des droits de l'homme, des minorités, des immigrés",Un parti politique,Une association de défense des consommateurs,Une organisation de parents d'élèves,Une organisation religieuse ou paroissiale,Aucun,No rep.,Nombre moyen,Question
Total,Total,5979.002,0.3282949227981526,0.11384614020868364,0.05672376426701312,0.05251291101759123,0.05000112058835236,0.04797069811985344,0.04723064150170882,0.039651885047036275,0.034359028480003856,0.02761427408788289,0.024960821220665255,0.6557410417323828,0.015962881430713685,1.507398,"q11v13b. Au cours des douze derniers mois, avez-vous adhéré ou participé à l'activité d'une association, d'un club ou d'une organisation ? Indiquez tous les types d'associations,
clubs ou organisations qui vous concernent."
Gender,Man,2929.637,0.3613341857711382,0.13260345906335835,0.0559764571515174,0.06076544636758752,0.047863472505296725,0.060048326806358604,0.04772857524669439,0.04721834138495657,0.04535353697403467,0.027131381806005318,0.022244144923074086,0.6171293576644478,0.02153857628095221,1.513648,"q11v13b. Au cours des douze derniers mois, avez-vous adhéré ou participé à l'activité d'une association, d'un club ou d'une organisation ? Indiquez tous les types d'associations,
clubs ou organisations qui vous concernent."
Gender,Woman,3049.36,0.2965545229162841,0.09582541910433665,0.05744182385812104,0.04458440459637432,0.05205495579400267,0.036367303302988166,0.04675226932864601,0.032382572080698904,0.023796265445864048,0.02807825904452082,0.027570854212031374,0.6928388251961067,0.010606120628590917,1.500076,"q11v13b. Au cours des douze derniers mois, avez-vous adhéré ou participé à l'activité d'une association, d'un club ou d'une organisation ? Indiquez tous les types d'associations,
clubs ou organisations qui vous concernent."
Age,18-24,478.2759,0.3232034062347695,0.09010163380592667,0.06553131780213053,0.05663722550101312,0.05117886976952007,0.0563184764275181,0.04926250726829431,0.05335560499703205,0.035331176001132406,0.021339670261453694,0.036252903397390505,0.6554860907689474,0.02131067026375362,1.594381,"q11v13b. Au cours des douze derniers mois, avez-vous adhéré ou participé à l'activité d'une association, d'un club ou d'une organisation ? Indiquez tous les types d'associations,
clubs ou organisations qui vous concernent."
Age,25-34,836.9062,0.3352869174586113,0.07937752163862569,0.06978431991542182,0.053371273865577766,0.04673514188328393,0.04843192701882242,0.05121996945416344,0.041538036162236586,0.046367048063450836,0.058298265683776745,0.03110989021230814,0.6483357394173922,0.016377223636292813,1.569502,"q11v13b. Au cours des douze derniers mois, avez-vous adhéré ou participé à l'activité d'une association, d'un club ou d'une organisation ? Indiquez tous les types d'associations,
clubs ou organisations qui vous concernent."
Age,35-49,1494.556,0.31080093352139365,0.08412244171513145,0.06385166564518158,0.04328217209659591,0.04012158794986605,0.058339948452918455,0.03296320780218339,0.02583304339215125,0.03355481494169506,0.04592300991063567,0.026295582099299056,0.67904983152187,0.010148713062608561,1.461667,"q11v13b. Au cours des douze derniers mois, avez-vous adhéré ou participé à l'activité d'une association, d'un club ou d'une organisation ? Indiquez tous les types d'associations,
clubs ou organisations qui vous concernent."
Age,50-64,1554.412,0.3080447783470534,0.11644563989469973,0.05685208940744153,0.04642359940607767,0.04774139031350761,0.0465702850981593,0.03867549915981091,0.037492743236670845,0.023891445768560716,0.01654809021031747,0.013128250425241184,0.6770688852119,0.014887417235584902,1.4406,"q11v13b. Au cours des douze derniers mois, avez-vous adhéré ou participé à l'activité d'une association, d'un club ou d'une organisation ? Indiquez tous les types d'associations,
clubs ou organisations qui vous concernent."
Age,65+,1614.848,0.3618655130389981,0.1637496532181357,0.04062613942612556,0.06525115676521877,0.06266385443088142,0.037010505013474956,0.0660010106214331,0.04948357987872543,0.03866809755469246,0.0072776756697844015,0.02858403391526633,0.6175547791494927,0.020580587151236528,1.545646,"q11v13b. Au cours des douze derniers mois, avez-vous adhéré ou participé à l'activité d'une association, d'un club ou d'une organisation ? Indiquez tous les types d'associations,
clubs ou organisations qui vous concernent."
Socio-Professional Category,Total-CSP+,1734.019,0.3700071337165279,0.11206342029700943,0.0727610251098748,0.05248349643227669,0.04520558886609662,0.0679486210935405,0.057285646812405173,0.041670592998115936,0.036244977707856715,0.051232068391407475,0.03454473682237622,0.6155566922853786,0.014436375841325844,1.544403,"q11v13b. Au cours des douze derniers mois, avez-vous adhéré ou participé à l'activité d'une association, d'un club ou d'une organisation ? Indiquez tous les types d'associations,
clubs ou organisations qui vous concernent."
Socio-Professional Category,Small Business owners,212.9949,0.33569249780159055,0.08154979297626375,0.041477908625981184,0.06799571257339965,0.06336236219740472,0.03056423886205726,0.037800351088218546,0.07636229787661582,0.05662619151913966,0.05030571154520601,0.04117456333461505,0.6546677878202718,0.009639690903397218,1.630121,"q11v13b. Au cours des douze derniers mois, avez-vous adhéré ou participé à l'activité d'une association, d'un club ou d'une organisation ? Indiquez tous les types d'associations,
clubs ou organisations qui vous concernent."
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.3917631529348254,0.12063894415622924,0.0754985223732804,0.06363210364174655,0.04823637211074265,0.06958077411217387,0.0739110540794154,0.04500342084257251,0.02243040872337433,0.041478623454955676,0.041372578171395336,0.5968866068034547,0.011350292105337535,1.536088,"q11v13b. Au cours des douze derniers mois, avez-vous adhéré ou participé à l'activité d'une association, d'un club ou d'une organisation ? Indiquez tous les types d'associations,
clubs ou organisations qui vous concernent."
Socio-Professional Category,Prof Intermed,896.9079,0.36105234439344325,0.11416378426369084,0.0757211749389207,0.04188155773853703,0.03874960851610293,0.07611139337717952,0.05250020654294605,0.032425770806567764,0.038435328755605784,0.05378485349499095,0.02887877339468188,0.6208926245381493,0.018054038770312985,1.530671,"q11v13b. Au cours des douze derniers mois, avez-vous adhéré ou participé à l'activité d'une association, d'un club ou d'une organisation ? Indiquez tous les types d'associations,
clubs ou organisations qui vous concernent."
Socio-Professional Category,Total-CSP-,1674.09,0.29823551899838124,0.08605594681289537,0.05040693750037334,0.046342377052607686,0.04685944602739399,0.051884594018242754,0.026237173628657958,0.031057177332162553,0.03331811312414506,0.028791510611735332,0.014801306978716795,0.6885245118243345,0.01324032758095443,1.394048,"q11v13b. Au cours des douze derniers mois, avez-vous adhéré ou participé à l'activité d'une association, d'un club ou d'une organisation ? Indiquez tous les types d'associations,
clubs ou organisations qui vous concernent."
Socio-Professional Category,Salaried,956.6466,0.26305043053516314,0.09291489668180496,0.04575326980726216,0.030989332946983764,0.03567511764532483,0.043347971967913755,0.026173981070961836,0.030667280895578367,0.029127307827153726,0.0232498814086623,0.010629149782166163,0.7262803212806066,0.010668694165640686,1.400979,"q11v13b. Au cours des douze derniers mois, avez-vous adhéré ou participé à l'activité d'une association, d'un club ou d'une organisation ? Indiquez tous les types d'associations,
clubs ou organisations qui vous concernent."
Socio-Professional Category,Blue collar,717.4432,0.34515164406046356,0.07691019999910793,0.056612244704528525,0.0668143066935473,0.061772792605742165,0.06326743357522938,0.02632145652784778,0.03157709209593177,0.038906174035798234,0.03618078755224107,0.020364511086034404,0.6381794405466523,0.01666937535961035,1.387005,"q11v13b. Au cours des douze derniers mois, avez-vous adhéré ou participé à l'activité d'une association, d'un club ou d'une organisation ? Indiquez tous les types d'associations,
clubs ou organisations qui vous concernent."
Political similarity,Far left,187.3446,0.579027631434266,0.1036563103500181,0.1714319494663844,0.03732141732401147,0.12943191316963498,0.07359048512740693,0.16211350634072183,0.03151627001792419,0.06617340451766424,0.07875257680232042,0.06730767793680736,0.41755545662912086,0.00341730052534207,1.591108,"q11v13b. Au cours des douze derniers mois, avez-vous adhéré ou participé à l'activité d'une association, d'un club ou d'une organisation ? Indiquez tous les types d'associations,
clubs ou organisations qui vous concernent."
Political similarity,Radical left,828.7407,0.4801323260701447,0.10988250003891446,0.1268113174603347,0.05316177907034131,0.07178940288560705,0.09735324933359735,0.09204667998084323,0.0591225940755655,0.06669930655028769,0.045860412068575857,0.03753047243848408,0.5080020807473316,0.011866253220096467,1.583434,"q11v13b. Au cours des douze derniers mois, avez-vous adhéré ou participé à l'activité d'une association, d'un club ou d'une organisation ? Indiquez tous les types d'associations,
clubs ou organisations qui vous concernent."
Political similarity,Left,1430.296,0.4346263290955159,0.1372287274801859,0.0969882457896827,0.0709852366223495,0.05688098127939951,0.07619296984680093,0.07605250941063948,0.047705111389530555,0.0492956423006147,0.03200546600144306,0.0286808324990072,0.553332876551427,0.012041626348671883,1.546192,"q11v13b. Au cours des douze derniers mois, avez-vous adhéré ou participé à l'activité d'une association, d'un club ou d'une organisation ? Indiquez tous les types d'associations,
clubs ou organisations qui vous concernent."
Political similarity,PC/LFI,641.3963,0.4512461328510938,0.11170108090738909,0.11377811190990657,0.0577885778262207,0.054952655635837,0.1042940690490419,0.07158089312333109,0.06718607513014964,0.06685289578377673,0.036252968718403895,0.028832876023762534,0.5344202952215347,0.014334092666265771,1.580557,"q11v13b. Au cours des douze derniers mois, avez-vous adhéré ou participé à l'activité d'une association, d'un club ou d'une organisation ? Indiquez tous les types d'associations,
clubs ou organisations qui vous concernent."
Political similarity,PS,449.3176,0.4038615447069066,0.1770535585519018,0.043638286147704874,0.07382486241358006,0.07072064392759152,0.06316781270086015,0.07408194114808768,0.04899000172706344,0.04094849611944869,0.024678623761900265,0.03902558012417052,0.5842551015139402,0.011883384937514131,1.62464,"q11v13b. Au cours des douze derniers mois, avez-vous adhéré ou participé à l'activité d'une association, d'un club ou d'une organisation ? Indiquez tous les types d'associations,
clubs ou organisations qui vous concernent."
Political similarity,EELV,339.583,0.44394154006531533,0.1327504910434268,0.13586539962247815,0.09215328800322749,0.04221109419493908,0.04035016476089792,0.08710556771098671,0.00920969542055992,0.027178259806880788,0.03367727477523904,0.014706010018169341,0.5481372742451771,0.007921003112641092,1.385784,"q11v13b. Au cours des douze derniers mois, avez-vous adhéré ou participé à l'activité d'une association, d'un club ou d'une organisation ? Indiquez tous les types d'associations,
clubs ou organisations qui vous concernent."
Political similarity,EM,672.9198,0.34292719578172615,0.1631846766880689,0.04838977839558296,0.05373888537683094,0.060776083568948334,0.03366279309956402,0.050930512075881854,0.035332457151654624,0.029829513115827475,0.021805510849881367,0.014092287074923342,0.6460645087274888,0.011008140940421131,1.492277,"q11v13b. Au cours des douze derniers mois, avez-vous adhéré ou participé à l'activité d'une association, d'un club ou d'une organisation ? Indiquez tous les types d'associations,
clubs ou organisations qui vous concernent."
Political similarity,MoDem,161.1257,0.41792197023814326,0.17909563775362963,0.025747084419183285,0.06915023487873133,0.06381756603695128,0.13494849052634064,0.07022430313724005,0.05328082981175567,0.07232974007250241,0.03701516890229182,0.05978729650204778,0.5772311307258867,0.004846714707833697,1.831434,"q11v13b. Au cours des douze derniers mois, avez-vous adhéré ou participé à l'activité d'une association, d'un club ou d'une organisation ? Indiquez tous les types d'associations,
clubs ou organisations qui vous concernent."
Political similarity,Right,573.0042,0.38246560845452793,0.1437440772685436,0.034717913062417345,0.07424664601062261,0.07495866522444339,0.02548628788410277,0.03844673389828556,0.07368581242510962,0.012997906472587811,0.02727623986002197,0.037256428486911616,0.5967382088996904,0.02079623500141884,1.419257,"q11v13b. Au cours des douze derniers mois, avez-vous adhéré ou participé à l'activité d'une association, d'un club ou d'une organisation ? Indiquez tous les types d'associations,
clubs ou organisations qui vous concernent."
Political similarity,UDI/PR,89.32552,0.41241719051845427,0.16285021346643155,0.06654283120881915,0.0509448363692705,0.0779656362481853,0.026367537518953155,0.06814219497406789,0.023467156978207348,0.037140875306407396,0.007371501447738564,0.06544471277637119,0.5628600874643662,0.02472296830737733,1.421467,"q11v13b. Au cours des douze derniers mois, avez-vous adhéré ou participé à l'activité d'une association, d'un club ou d'une organisation ? Indiquez tous les types d'associations,
clubs ou organisations qui vous concernent."
Political similarity,LR,397.5368,0.38242069664997047,0.15372176865135503,0.02182296079256059,0.07629552786056536,0.07680290227219215,0.015183210711561798,0.036931398552284965,0.07849155097087866,0.00869128342332081,0.03119628170272538,0.03373931671231443,0.5931596772927687,0.024420234805934943,1.39343,"q11v13b. Au cours des douze derniers mois, avez-vous adhéré ou participé à l'activité d'une association, d'un club ou d'une organisation ? Indiquez tous les types d'associations,
clubs ou organisations qui vous concernent."
Political similarity,Radical right,1008.8,0.31652418715305314,0.08069795796986519,0.05730203211736717,0.060307503965107055,0.03590564036478985,0.05009318001586043,0.01266524583663759,0.06558848136399684,0.039119746233148296,0.026864204996034893,0.02250156621728787,0.6755083267248216,0.007967425654242665,1.424996,"q11v13b. Au cours des douze derniers mois, avez-vous adhéré ou participé à l'activité d'une association, d'un club ou d'une organisation ? Indiquez tous les types d'associations,
clubs ou organisations qui vous concernent."
Political similarity,Debout la France,86.14185,0.3516143430864324,0.0778856386297717,0.06122579210917806,0.08895421911649215,0.06332949663839353,0.07212024120680018,0.014646864445098405,0.10358230058908648,0.007837316008420993,0.029825920850318394,0.024257500854694903,0.6483855408259748,0,1.546198,"q11v13b. Au cours des douze derniers mois, avez-vous adhéré ou participé à l'activité d'une association, d'un club ou d'une organisation ? Indiquez tous les types d'associations,
clubs ou organisations qui vous concernent."
