Indicator,Category,BASE,Voter aux élections,Manifester dans la rue,Boycotter des entreprises ou des produits,Faire grève,"Discuter sur internet, sur un blog ou un forum",Militer dans un parti politique,Rien de tout cela,No rep.,Question
Total,Total,5979.002,0.38499989999999995,0.14617756,0.12616162,0.12372155,0.02800026,0.02089442,0.1583574600000001,0.01168723,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Gender,Man,2929.637,0.4169025,0.14092988,0.12797971,0.12388634,0.02618287,0.01984,0.13027986,0.0140013,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Gender,Woman,3049.36,0.355,0.15090337,0.12441519,0.1235636,0.029746319999999996,0.021907480000000003,0.185,0.00946404,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Age,18-24,478.2759,0.28245726,0.15119468,0.1254626,0.17009494,0.04025627999999999,0.030895370000000002,0.19119755,0.00844126,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Age,25-34,836.9062,0.31771518,0.16879299,0.14358742,0.13510642,0.04248851,0.03653356,0.14298448,0.0127914,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Age,35-49,1494.556,0.3224881499999999,0.1276646,0.14088686,0.1431391,0.03811179,0.01711253,0.20141126,0.00918503,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Age,50-64,1554.412,0.39901346,0.14933531,0.12718443,0.12861018,0.0249999,0.0149999,0.14688796,0.00896886,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Age,65+,1614.848,0.4993087700000001,0.14706511,0.10272484000000001,0.08141032,0.01022276,0.01725946,0.12499990000000001,0.01700884,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Socio-Professional Category,Total-CSP+,1734.019,0.38265382000000003,0.13250339,0.135,0.1466274,0.03906009,0.02349343,0.13908233,0.00157954,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Socio-Professional Category,Small Business owners,212.9949,0.3049999,0.13083285,0.14499990000000001,0.11681857,0.05669136,0.027799750000000005,0.21785766999999992,0,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.42686053,0.14051222,0.11324486,0.12038304000000001,0.045,0.03014454,0.12220635999999999,0.0016484500000000003,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Socio-Professional Category,Prof Intermed,896.9079,0.37043603,0.1306647,0.14693671,0.1718269,0.030552479999999996,0.01780305,0.12982437,0.00195478,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Socio-Professional Category,Total-CSP-,1674.09,0.31997509,0.15885717,0.13041826,0.15595983,0.02231416,0.02076555,0.17371408,0.0179955,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Socio-Professional Category,Salaried,956.6466,0.3466341200000001,0.15931536,0.13114718,0.13206246,0.0149999,0.02645742,0.17692657,0.01245699,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Socio-Professional Category,Blue collar,717.4432,0.28466086,0.15824626,0.12944643,0.18782476,0.0318349,0.013175969999999999,0.16943042,0.02538063,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Political similarity,Far left,187.3446,0.22608445,0.23125188000000002,0.15359423,0.185,0.075,0.04446707,0.03284927,0.0517531,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Political similarity,Radical left,828.7407,0.28989188,0.22288672,0.13828487,0.19238346,0.04549353,0.04102412999999999,0.05545160999999999,0.01458447,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Political similarity,Left,1430.296,0.37350306000000005,0.15982335,0.155,0.15303923,0.03898448,0.03416673,0.08039594999999998,0.005087199999999999,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Political similarity,PC/LFI,641.3963,0.30813760999999995,0.22031293,0.13381318,0.195,0.03693638,0.040018490000000004,0.06205348,0.00372793,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Political similarity,PS,449.3176,0.4587535600000001,0.10011838,0.11451719,0.13940596,0.02815659,0.02471203,0.125,0.00933629,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Political similarity,EELV,339.583,0.38499989999999995,0.12457001999999999,0.24664756000000007,0.09256188,0.0571796,0.03562393,0.056384710000000005,0.0020324,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Political similarity,EM,672.9198,0.63640365,0.07681046,0.08264705999999998,0.051990030000000007,0.02120477,0.02341924,0.10252479000000002,0.005,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Political similarity,MoDem,161.1257,0.55218299,0.08497707,0.10012313,0.08777209,0.03564376,0.02696038,0.11234037,0,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Political similarity,Right,573.0042,0.5481979,0.12340653,0.11003406,0.08031421,0.03019679,0.025,0.08152527,0.00132524,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Political similarity,UDI/PR,89.32552,0.66160007,0.07049399,0.10720401000000002,0.028293170000000003,0.01874852,0.0149999,0.09866034,0,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Political similarity,LR,397.5368,0.5774419399999999,0.11712007999999999,0.0932764,0.09770001,0.02971815,0.0149999,0.06783334,0.00191018,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Political similarity,Radical right,1008.8,0.3927716499999999,0.16138858,0.11194815999999999,0.14198017,0.025,0.02653753,0.1389093,0.00146461,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Political similarity,Debout la France,86.14185,0.30925363,0.20728612,0.1903039,0.05402405,0.04427703,0.06791111,0.12694399,0,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Political similarity,Reconquete,205.4045,0.44402771,0.14140041,0.13958769,0.07998345,0.01824543,0.04018096,0.13657442,0,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Political similarity,RN,717.2537,0.3878107999999999,0.16160042000000002,0.095,0.17029804,0.02455442,0.01766142,0.14101496,0.00205994,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Political similarity,No preference,1860.95,0.25946081,0.15742406,0.13737183,0.12427792,0.0117018,0.005,0.28313655,0.021627029999999995,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Politics,Total-left,1649.278,0.36929074,0.175,0.13881383,0.14808734,0.02227644,0.03423779,0.10208776,0.010206099999999997,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Politics,Very Left,217.9165,0.27727958999999996,0.235,0.14096711,0.16146721,0.04248135000000001,0.06959138,0.07321336,0,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Politics,Left,1431.362,0.38416449,0.1649999,0.13848593,0.14605034,0.01920035,0.0288554,0.10648368,0.01175991,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Politics,Center,776.1196,0.54070081,0.13645925,0.11842494,0.07995764,0.02842315,0.02410207,0.06733357,0.00459819,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Politics,Total-right,1622.94,0.475,0.13300042,0.11199501999999999,0.10052682000000002,0.03668714,0.0218415,0.12007276999999998,0.00087633,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Politics,Right,1193.119,0.50548856,0.11023687000000001,0.11375001,0.09320018,0.03724969,0.02112771,0.11775389000000001,0.00119203,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Politics,Very Right,429.8207,0.39035733,0.19632201999999999,0.10712352999999998,0.12086461,0.0349999,0.02382293,0.12650968,0,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Politics,Both left and Right,200.4265,0.41398632,0.16028883000000002,0.14501171,0.09111908999999999,0.01928654,0,0.15945052,0.01085742,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Politics,Neither left nor right,1673.316,0.24271823,0.1349999,0.13080219,0.14682218,0.02653702,0.00854986,0.2880809200000001,0.021489699999999997,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Loss of job risk,High risk,556.2398,0.25273165,0.18813144999999998,0.16654302999999998,0.14735634,0.0790156,0.04094943,0.12380771999999998,0.00146455,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
