Indicator,Category,BASE,Voter aux élections,Manifester dans la rue,Faire grève,Boycotter des entreprises ou des produits,Militer dans un parti politique,"Discuter sur internet, sur un blog ou un forum",Rien de tout cela,No rep.,Question
Total,Total,5979.002,0.5134214706735338,0.3208309681114005,0.2949840123819995,0.28502917376512,0.06961175125882212,0.06073833057757799,0,0.16977448744790516,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Gender,Man,2929.637,0.5505405618511782,0.3194583492767193,0.29710619438517466,0.3021355546779345,0.08194817310130913,0.055127205179344746,0,0.1442811515556364,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Gender,Woman,3049.36,0.4777625468950861,0.3221506152110607,0.29294602801899416,0.26859504945299995,0.05775966104362883,0.06612925335152295,0,0.19426758401762992,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Age,18-24,478.2759,0.40343805740577776,0.34757385851973727,0.3285645377490273,0.22913176264996837,0.07452729690122376,0.10601458279624794,0,0.19963882771429628,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Age,25-34,836.9062,0.46506597752531886,0.36462509179642827,0.37247662880260657,0.24494262319958915,0.07348270331848421,0.09139977694035484,0,0.15577588025993833,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Age,35-49,1494.556,0.44795658376133113,0.27633658424307955,0.30533643436579155,0.3053718294931739,0.04571952472841432,0.07826719105874921,0,0.21059632425951252,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Age,50-64,1554.412,0.509339222805794,0.35825360329179134,0.2928824533006693,0.29857824051795795,0.07150433733141535,0.05118509121133908,0,0.1558568127369063,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Age,65+,1614.848,0.6355793238744452,0.2953722579462587,0.23732023075856057,0.29049142705691183,0.0864403956285669,0.02441088573042169,0,0.1438013361009829,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Socio-Professional Category,Total-CSP+,1734.019,0.5247786788956753,0.3212137237250572,0.3325833799975664,0.30053084770120747,0.06979698607685383,0.08094559517513937,0,0.14066189586157937,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Socio-Professional Category,Small Business owners,212.9949,0.40492119764369944,0.2911011953807345,0.21942736657074888,0.29160397737222815,0.0759307382477233,0.12699308762791972,0,0.21740961872796014,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.5657289271164028,0.32051196074066807,0.29856204200971953,0.3098159534852374,0.09222419320878714,0.07490163509752705,0,0.12385478703059995,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Socio-Professional Category,Prof Intermed,896.9079,0.52668194805732,0.3303390459600144,0.38499192614983097,0.3000204368809774,0.053652621411852876,0.06928061398500336,0,0.13177908233387173,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Socio-Professional Category,Total-CSP-,1674.09,0.444555011976656,0.34289602112192297,0.347792412594305,0.27002437144956365,0.05669113966393683,0.06004139562389119,0,0.1917095257722106,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Socio-Professional Category,Salaried,956.6466,0.45977887759178776,0.3434761593257113,0.32952043105573153,0.2774307670146949,0.05553807435263973,0.050860045914551934,0,0.18938351947312623,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Socio-Professional Category,Blue collar,717.4432,0.42425574596009824,0.3421224147082305,0.37215615117684575,0.26014853858814185,0.058228665349396296,0.07228399404998193,0,0.19481110142238434,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Political similarity,Far left,187.3446,0.35349265471222546,0.4545862544209974,0.3324231389642402,0.30996361784647114,0.15276399746776792,0.15694153981486522,0,0.08460238512345698,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Political similarity,Radical left,828.7407,0.47116836424227754,0.4511611412351294,0.4020049938418615,0.27190567568360047,0.11035935606879209,0.09368843596072934,0,0.07003609210938959,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Political similarity,Left,1430.296,0.5471559033934235,0.38999437878592963,0.3562178038671715,0.3055877944145827,0.08616468199589455,0.07180317920206726,0,0.08548314474766062,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Political similarity,PC/LFI,641.3963,0.5055400226038099,0.45016068848541846,0.4223289095992602,0.26078931231751723,0.09797339024250686,0.07521287540947773,0,0.06578140534954754,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Political similarity,PS,449.3176,0.6254081745295532,0.3201699644082493,0.3122768838790201,0.2565203321659334,0.07933604203351928,0.0591802546795407,0,0.13406280991441244,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Political similarity,EELV,339.583,0.5222187211962908,0.36874048465323644,0.28948866698274056,0.4551237841705857,0.07289558075639829,0.08206459098364759,0,0.05841711746465517,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Political similarity,EM,672.9198,0.7425786847110161,0.2117793234795588,0.18707400198359447,0.26340746698194945,0.10520851073188811,0.05578320031599605,0,0.10608227013085364,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Political similarity,MoDem,161.1257,0.707980787670744,0.27146240481810163,0.21831365201206263,0.2603056495642843,0.09958777525869555,0.06788817674647807,0,0.11234036531726471,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Political similarity,Right,573.0042,0.7041000746591386,0.26439980719164013,0.22341633796052454,0.3217178861865236,0.10440363264353036,0.05529366102377609,0,0.08285050964722422,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Political similarity,UDI/PR,89.32552,0.7985920484985701,0.2308174640349141,0.12792883825361442,0.3435850135549169,0.06537848310314902,0.0211681051506893,0,0.09866033805344766,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Political similarity,LR,397.5368,0.7393345722961999,0.2541362208479818,0.22877097164337992,0.3161684654099947,0.10927426089861365,0.03711213653679357,0,0.06974353066181545,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Political similarity,Radical right,1008.8,0.5347642743854084,0.35569934575733547,0.3236208366375892,0.27564700634417133,0.07234401268834258,0.06687213521015067,0,0.14037390959555907,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Political similarity,Debout la France,86.14185,0.44351288020863255,0.3465892594598328,0.2977219551240193,0.3246521870612252,0.1223935868570271,0.17458645246184054,0,0.12694398831694467,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Political similarity,Reconquete,205.4045,0.5852734482448048,0.3425333427456555,0.244961429764197,0.3055737824633832,0.09925858488981497,0.049846424980952216,0,0.13657441779513108,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Political similarity,RN,717.2537,0.5312587442908974,0.3605637726232713,0.34925745241885825,0.2611912632866167,0.058625378997696355,0.05881143589778624,0,0.14307489804514079,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
