Indicator,Category,BASE,ST D'accord,ST Pas d'accord,Tout à fait d'accord,Plutôt d'accord,Pas vraiment d'accord,Pas du tout d'accord,No rep.,Question
Total,Total,5979.002,0.6387156251160311,0.35202563906150225,0.14367239,0.49504315,0.29141318,0.060612610000000004,0.00925796,"q5_i2. Pour chacune des affirmations suivantes à propos des gens et de la société, êtes-vous tout à fait d'accord, plutôt d'accord, pas vraiment d'accord ou pas du tout d'accord... ?
- Les gens de mon pays ont la possibilité de choisir leur propre vie"
Gender,Man,2929.637,0.6480342103816957,0.34178944353856805,0.1553131,0.49272145,0.28137128,0.06041841,0.0101776,"q5_i2. Pour chacune des affirmations suivantes à propos des gens et de la société, êtes-vous tout à fait d'accord, plutôt d'accord, pas vraiment d'accord ou pas du tout d'accord... ?
- Les gens de mon pays ont la possibilité de choisir leur propre vie"
Gender,Woman,3049.36,0.6297646063436262,0.36186117742739454,0.13248911,0.49727484,0.3010616,0.06079924999999999,0.00837444,"q5_i2. Pour chacune des affirmations suivantes à propos des gens et de la société, êtes-vous tout à fait d'accord, plutôt d'accord, pas vraiment d'accord ou pas du tout d'accord... ?
- Les gens de mon pays ont la possibilité de choisir leur propre vie"
Age,18-24,478.2759,0.6665345253649619,0.319190450532841,0.16154372,0.505,0.26696101000000005,0.05221992,0.014275349999999997,"q5_i2. Pour chacune des affirmations suivantes à propos des gens et de la société, êtes-vous tout à fait d'accord, plutôt d'accord, pas vraiment d'accord ou pas du tout d'accord... ?
- Les gens de mon pays ont la possibilité de choisir leur propre vie"
Age,25-34,836.9062,0.6835460174628889,0.315,0.17087864999999997,0.51266725,0.24800999,0.06543002,0.00301416,"q5_i2. Pour chacune des affirmations suivantes à propos des gens et de la société, êtes-vous tout à fait d'accord, plutôt d'accord, pas vraiment d'accord ou pas du tout d'accord... ?
- Les gens de mon pays ont la possibilité de choisir leur propre vie"
Age,35-49,1494.556,0.6037430514480555,0.3904728896073483,0.11973911,0.48400428,0.31785534,0.07261749,0.0057831,"q5_i2. Pour chacune des affirmations suivantes à propos des gens et de la société, êtes-vous tout à fait d'accord, plutôt d'accord, pas vraiment d'accord ou pas du tout d'accord... ?
- Les gens de mon pays ont la possibilité de choisir leur propre vie"
Age,50-64,1554.412,0.6323583451491624,0.3578115711921936,0.15323782,0.47912034,0.29109946,0.06671224,0.0098315,"q5_i2. Pour chacune des affirmations suivantes à propos des gens et de la société, êtes-vous tout à fait d'accord, plutôt d'accord, pas vraiment d'accord ou pas du tout d'accord... ?
- Les gens de mon pays ont la possibilité de choisir leur propre vie"
Age,65+,1614.848,0.6457319822051364,0.34059670012285986,0.13722307,0.50850897,0.29697681,0.04361983,0.01367179,"q5_i2. Pour chacune des affirmations suivantes à propos des gens et de la société, êtes-vous tout à fait d'accord, plutôt d'accord, pas vraiment d'accord ou pas du tout d'accord... ?
- Les gens de mon pays ont la possibilité de choisir leur propre vie"
Socio-Professional Category,Total-CSP+,1734.019,0.6645838367399666,0.32759052813146794,0.14157659,0.5220914600000001,0.265,0.06350692,0.00782503,"q5_i2. Pour chacune des affirmations suivantes à propos des gens et de la société, êtes-vous tout à fait d'accord, plutôt d'accord, pas vraiment d'accord ou pas du tout d'accord... ?
- Les gens de mon pays ont la possibilité de choisir leur propre vie"
Socio-Professional Category,Small Business owners,212.9949,0.657556589383126,0.33799269372177454,0.18878785,0.4687690199999999,0.27696358,0.06102911,0.00445061,"q5_i2. Pour chacune des affirmations suivantes à propos des gens et de la société, êtes-vous tout à fait d'accord, plutôt d'accord, pas vraiment d'accord ou pas du tout d'accord... ?
- Les gens de mon pays ont la possibilité de choisir leur propre vie"
