Indicator,Category,BASE,ST Elevé,ST Faible,Très élevé,Assez élevé,Assez faible,Très faible,Je ne sais pas,No rep.,Question
Total,Total,5979.002,0.43044474646437647,0.2428691276570906,0.17648915000000004,0.25395559,0.3081890499999999,0.1570291,0.0849999,0.01933721,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Gender,Man,2929.637,0.445,0.23424796314355667,0.18783930999999998,0.255,0.3085681500000001,0.17264402,0.06160391,0.01434461,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Gender,Woman,3049.36,0.4186157095259333,0.25115211060681586,0.1655856,0.25302982,0.30609748,0.14202761,0.1091245,0.024133829999999995,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Age,18-24,478.2759,0.42750931000286657,0.26453120468750363,0.17867018,0.24883901,0.28870651999999997,0.14499990000000001,0.11886177,0.01992262,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Age,25-34,836.9062,0.36776379479564136,0.30177503763265223,0.13888928,0.22887439,0.31321875000000005,0.18601511,0.1149999,0.01800257,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Age,35-49,1494.556,0.4348171630905767,0.23624066277877845,0.1549999,0.27836073,0.31072634000000005,0.13781136,0.09842917,0.0196725,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Age,50-64,1554.412,0.43691743244390807,0.2549999,0.1809602,0.2559573,0.28918838999999996,0.17414193,0.08475218,0.015,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Age,65+,1614.848,0.4535246660986049,0.19663491548430564,0.20956771,0.24395689,0.32601403,0.14668551,0.04994938,0.02382732,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Socio-Professional Category,Total-CSP+,1734.019,0.40002502856081734,0.2449999,0.14962339,0.25040152,0.34630686999999993,0.16477899,0.08160983,0.00727933,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Socio-Professional Category,Small Business owners,212.9949,0.36898456254116885,0.25552409940331905,0.125,0.24403472,0.3612522700000001,0.12601612,0.12950794,0.01418895,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.4234907779402397,0.2382553719603962,0.17931870999999996,0.2441719,0.32755432999999995,0.16098224,0.07727323,0.01069969,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Socio-Professional Category,Prof Intermed,896.9079,0.39817176323232295,0.24078938316855053,0.13857376,0.25959789,0.35746736,0.17197909,0.06881029,0.0035705099999999994,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
