Indicator,Category,BASE,ST 0 à 5,ST 6 à 8,ST 9 à 10,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,Je ne sais pas,No rep.,Moyenne,Question
Total,Total,5979.002,0.2455585397027798,0.6032881407298408,0.11703188926847656,0.01344587,0.0180687,0.03298729,0.04609525,0.045,0.09132843999999998,0.13230805,0.23211332000000004,0.23750067999999983,0.08540462,0.0316274,0.022885110000000004,0.01123527,6.489423,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Gender,Man,2929.637,0.2249999,0.615,0.1271562995688544,0.01352627,0.01706554,0.03253219,0.04903003,0.04043129,0.07421093,0.12630944,0.23131580000000004,0.255,0.09292066,0.035,0.02184535,0.0108125,6.57709,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Gender,Woman,3049.36,0.26358465382900015,0.595,0.10730533620169479,0.01336865,0.01903252,0.03342459,0.04327577,0.04670911,0.10777393,0.1380713,0.23051331999999988,0.225,0.07818362,0.02912165,0.02388407,0.01164147,6.404947,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Age,18-24,478.2759,0.19647209905412338,0.6528662640120483,0.10890153570355522,0.00947223,0.01721594,0.04691359,0.02097133,0.0190812,0.08281785,0.16692907,0.2709371000000001,0.21499990000000002,0.05340478,0.05549677,0.020284390000000003,0.021475849999999998,6.593807,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Age,25-34,836.9062,0.2249999,0.6082592051534569,0.12521056720573942,0.011344919999999998,0.01137076,0.0402147,0.0430531,0.04277629,0.08340738,0.13199568,0.26039155,0.21587234,0.09708316,0.02812738,0.02551203,0.00885067,6.530213,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Age,35-49,1494.556,0.3049999,0.565,0.0952012504048025,0.02837449,0.03352953,0.04155585999999999,0.06610396,0.05323972,0.08386223,0.14908274,0.19056961000000017,0.225,0.06750982,0.02769141,0.02186824,0.011612389999999998,6.063115,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Age,50-64,1554.412,0.27785876588703634,0.5711834442863283,0.1075245173094392,0.00918035,0.01657389,0.02450104,0.06245657,0.0568059,0.1083409,0.12269045,0.2280940900000001,0.22078117,0.07099283,0.03653169,0.028051219999999998,0.0149999,6.400496,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Age,65+,1614.848,0.1793908776553583,0.655,0.1445576301918199,0.00600095,0.00892233,0.0249999,0.02084581,0.02977774,0.08848858,0.11594893,0.24866049,0.28882939999999996,0.11926373,0.0249999,0.01826234,0.0049999,6.912489,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Socio-Professional Category,Total-CSP+,1734.019,0.23685461347309342,0.6284267934780414,0.11179739091670853,0.01646049,0.01688666,0.02535167,0.04415994,0.05403606,0.07995979,0.12900084,0.26103399,0.23839208,0.08381758999999998,0.02797981,0.00905036,0.01387063,6.507713,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Socio-Professional Category,Small Business owners,212.9949,0.2949999,0.5358297311344075,0.12808992140187395,0.0406534,0.03870505,0.06162486,0.03826987,0.05373692,0.06475963,0.13669445,0.18914195,0.20999338,0.09671470999999998,0.03137522,0.01831787,0.02001292,6.055929,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
