Indicator,Category,BASE,ST 1-2,ST 3-5,ST 6-7,1.0,2.0,3.0,4.0,5.0,6.0,7.0,Ne peut choisir,No rep.,moyenne,Question
Total,Total,5979.002,0.03185058309062281,0.4424890642284448,0.4611567281629944,0.013367959999999998,0.01848263,0.05882099,0.1349999,0.24791529,0.26716024999999993,0.19475023,0.03732487,0.02717788,5.313836,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Gender,Man,2929.637,0.030841817604023977,0.43917557021569564,0.4649999,0.01271402,0.0181278,0.06073606,0.13193078,0.24650913999999996,0.2616627100000001,0.20480384,0.035,0.02851565,5.333927,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Gender,Woman,3049.36,0.03281980481150143,0.4456738463152924,0.4549999,0.01399625,0.01882355,0.0569812,0.13942588,0.24926647,0.2709288899999999,0.1849999,0.03968518,0.02589268,5.294488,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Age,18-24,478.2759,0.0249999,0.46677660321166087,0.44020052024365014,0.01435323,0.013002379999999997,0.05032254,0.14169616,0.275,0.27208947000000033,0.16786911000000002,0.04052997,0.02513714,5.288236,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Age,25-34,836.9062,0.037719077717431174,0.4885736298763231,0.40594453715362605,0.01792486,0.01979421,0.07089213,0.1479351,0.2710984300000001,0.23865004,0.16729461,0.04141072,0.0249999,5.163518,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Age,35-49,1494.556,0.04065754645526832,0.515,0.39405254804771445,0.01788839,0.02276916,0.06895867,0.155,0.2850287100000002,0.2321907,0.16186184999999997,0.03425267,0.02204985,5.131136,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Age,50-64,1554.412,0.035,0.4449999,0.4486282915983665,0.01593547,0.01660785,0.06346119,0.1390639,0.24494458,0.25166339,0.19696503,0.03760576,0.03375408,5.286485,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Age,65+,1614.848,0.021322824191502856,0.34507538790028536,0.5649999,0.00405941,0.01726341,0.04123309,0.10725065,0.19673603,0.32499989999999995,0.24499990000000002,0.03683113,0.02662648,5.595433,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Socio-Professional Category,Total-CSP+,1734.019,0.04673984541115178,0.4859888501798423,0.4149999,0.027035449999999996,0.01970438,0.075,0.13026755,0.28072090000000005,0.25280882,0.16321223,0.03215236,0.01909831,5.142469,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Socio-Professional Category,Small Business owners,212.9949,0.10499990000000001,0.44752888449441747,0.4079962477974825,0.06266089,0.04257606,0.06003594000000001,0.12599532,0.26149748,0.28614577,0.12185048,0.00720674,0.0320315,4.901545,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
