Indicator,Category,BASE,ST Confiance,ST Pas Confiance,Très confiance,Plutôt confiance,Plutôt pas confiance,Pas du tout confiance,No rep.,Question
Total,Total,5979.002,0.6672561741909435,0.3127215879840816,0.13704938,0.53020638,0.23275958,0.07996212,0.020021199999999996,"q14_i1. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le ou la maire de votre commune"
Gender,Man,2929.637,0.692459168149501,0.295,0.15426621,0.53823875,0.21629147,0.07620367,0.0149999,"q14_i1. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le ou la maire de votre commune"
Gender,Woman,3049.36,0.6430447700501088,0.3321549439882467,0.12050909,0.52233583,0.24858190000000002,0.08357318,0.025,"q14_i1. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le ou la maire de votre commune"
Age,18-24,478.2759,0.6786223182058724,0.30326616917139254,0.17797363000000002,0.50092456,0.22799037,0.07499990000000001,0.01811154,"q14_i1. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le ou la maire de votre commune"
Age,25-34,836.9062,0.6049998999999999,0.3660426939124121,0.14484753,0.46150883000000004,0.27040199,0.09564086,0.02760075,"q14_i1. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le ou la maire de votre commune"
Age,35-49,1494.556,0.6266952860916554,0.3503688051836131,0.095,0.53169592,0.26618755,0.08418126,0.02293527,"q14_i1. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le ou la maire de votre commune"
Age,50-64,1554.412,0.6649999,0.31674716870430747,0.13020994,0.5349999,0.24161952,0.07570412,0.01746652,"q14_i1. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le ou la maire de votre commune"
Age,65+,1614.848,0.735,0.2449999,0.16678827,0.5683725700000001,0.1749999,0.07341849,0.01642077,"q14_i1. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le ou la maire de votre commune"
Socio-Professional Category,Total-CSP+,1734.019,0.6560129963973866,0.33067007916291574,0.13233275,0.525,0.24046399000000013,0.08888697,0.01331629,"q14_i1. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le ou la maire de votre commune"
Socio-Professional Category,Small Business owners,212.9949,0.615092661843077,0.3804501891829335,0.1393855,0.47570715999999996,0.22031434000000003,0.16013581,0.00445768,"q14_i1. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le ou la maire de votre commune"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.7026613001275521,0.29028060943343126,0.13757925,0.5649999,0.22141518999999996,0.06894745,0.00705821,"q14_i1. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le ou la maire de votre commune"
Socio-Professional Category,Prof Intermed,896.9079,0.6349999,0.34985420465133593,0.12302657,0.5121191300000001,0.26273868,0.08711562,0.015,"q14_i1. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le ou la maire de votre commune"
Socio-Professional Category,Total-CSP-,1674.09,0.6266497022262841,0.34965109402720285,0.12691594,0.49973377,0.28163892,0.06801211,0.02369931,"q14_i1. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le ou la maire de votre commune"
Socio-Professional Category,Salaried,956.6466,0.6281978109784742,0.33932906885363934,0.09157924000000002,0.53661864,0.27147674,0.06785226,0.03247244,"q14_i1. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le ou la maire de votre commune"
Socio-Professional Category,Blue collar,717.4432,0.6245849148754912,0.365,0.17403399,0.45055079,0.29518908,0.06822529,0.01200113,"q14_i1. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le ou la maire de votre commune"
Political similarity,Far left,187.3446,0.6358581992755595,0.3437950173103468,0.18134422,0.455,0.31224937,0.031059480000000004,0.02034693,"q14_i1. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le ou la maire de votre commune"
Political similarity,Radical left,828.7407,0.6323934615495534,0.34674838583407336,0.13398184,0.49841175,0.27615574,0.07059256,0.020858819999999997,"q14_i1. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le ou la maire de votre commune"
Political similarity,Left,1430.296,0.6861548938121899,0.2994029207940175,0.13891125,0.54724358,0.23704184000000003,0.06236098,0.0144433,"q14_i1. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le ou la maire de votre commune"
Political similarity,PC/LFI,641.3963,0.6313810977705984,0.3476108296851728,0.12014778,0.51123354,0.26547113,0.0821397,0.02100832,"q14_i1. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le ou la maire de votre commune"
