Indicator,Category,BASE,ST Oui,ST Non,Beaucoup,Assez,Peu,Pas du tout,No rep.,Question
Total,Total,5979.002,0.20559367600144637,0.7849999,0.03010203,0.17549166,0.42216828,0.36418586,0.00805186,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Gender,Man,2929.637,0.20173741661509598,0.7884519481423807,0.031155350000000002,0.17058212,0.44578868,0.34266464,0.00981149,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Gender,Woman,3049.36,0.2092990332397618,0.7843396647165306,0.0290901,0.18020896,0.39947563,0.38486338,0.006361329999999999,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Age,18-24,478.2759,0.30457754614020904,0.685,0.07153049,0.23304687,0.36762796999999997,0.31632411,0.01147028,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Age,25-34,836.9062,0.28499990000000003,0.7065495511922364,0.06128628,0.22444224,0.39927951,0.30727004,0.00772187,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Age,35-49,1494.556,0.195,0.8024155668974599,0.02638681,0.16741822,0.39327111,0.40914372,0.00377947,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Age,50-64,1554.412,0.16759153943742072,0.8249998999999999,0.02015297,0.14743845,0.4411131299999999,0.38499989999999995,0.00629555,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Age,65+,1614.848,0.1822380806119214,0.805,0.0146858,0.1675523,0.45943185000000003,0.34547567,0.01285517,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Socio-Professional Category,Total-CSP+,1734.019,0.25649188388362526,0.7345623087174938,0.03940054,0.21709139,0.42345972,0.31110276,0.00894587,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Socio-Professional Category,Small Business owners,212.9949,0.23881463828476646,0.7549999,0.051592360000000004,0.18722232,0.36425534,0.3914497,0.00548058,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.285,0.7016889814418246,0.04040476,0.245,0.43159018000000005,0.26954667,0.01345839,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Socio-Professional Category,Prof Intermed,896.9079,0.2411254265906232,0.751852559220406,0.03222421,0.20890116,0.43000469,0.32184765,0.00702135,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Socio-Professional Category,Total-CSP-,1674.09,0.1767142148868938,0.8181316416680107,0.03519227,0.14152196,0.4207679900000001,0.39751788,0.0049999,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Socio-Professional Category,Salaried,956.6466,0.15477627788568946,0.8383426021688678,0.0196971,0.1349999,0.4375681,0.40085398,0.00688092,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Socio-Professional Category,Blue collar,717.4432,0.20596640960566634,0.7911820754590746,0.055853690000000004,0.15011265,0.39811263,0.39306916999999997,0.00285219,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Political similarity,Far left,187.3446,0.33087604339810167,0.6629142233082779,0.13906758,0.19180846,0.42193231,0.24098213,0.00620992,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Political similarity,Radical left,828.7407,0.2162252921812577,0.7749999,0.05617136,0.16005391999999996,0.42320197000000004,0.3549999,0.005572849999999999,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Political similarity,Left,1430.296,0.2249999,0.767862736104974,0.0349999,0.19021147,0.45634347,0.31165081,0.00679435,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Political similarity,PC/LFI,641.3963,0.18273694438212382,0.8118765262599738,0.03195829,0.15077868,0.42306465,0.38881219,0.005386759999999999,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Political similarity,PS,449.3176,0.265,0.7304617045938107,0.03654598,0.22783283,0.51031479,0.2203065,0.0049999,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Political similarity,EELV,339.583,0.25416923108636175,0.735,0.03925712,0.21491214,0.4474426,0.28677169,0.011616109999999999,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Political similarity,EM,672.9198,0.5313752099432949,0.465,0.06489753,0.46647757999999995,0.40531829,0.05838266,0.00492332,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Political similarity,MoDem,161.1257,0.3077307344514252,0.6810726035635531,0.05564451,0.2524847899999999,0.5049999,0.17567415,0.01119665,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Political similarity,Right,573.0042,0.1892757505093331,0.8035440228884885,0.01981741,0.16945837000000002,0.51854414,0.28499990000000003,0.00718018,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Political similarity,UDI/PR,89.32552,0.27908295412106193,0.720917045878938,0.02015819,0.25892477,0.60679031,0.11412674,0,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Political similarity,LR,397.5368,0.1849999,0.805,0.01289603,0.17273978,0.53533308,0.26868204,0.01034941,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Political similarity,Radical right,1008.8,0.09780944686756543,0.8973024385408407,0.01966678,0.07814267,0.34745817,0.54984437,0.00488853,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Political similarity,Debout la France,86.14185,0.11294801539553655,0.8870519962132227,0.05140564,0.061542370000000006,0.33954704,0.54750484,0,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Political similarity,Reconquete,205.4045,0.05741977415295186,0.9385013473414652,0.01007512,0.04734467,0.37523647,0.56326517,0.0040785,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Political similarity,RN,717.2537,0.10755798122756285,0.8867349168083762,0.01860179,0.08895618,0.34045332,0.54698881,0.0049999,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Political similarity,No preference,1860.95,0.1148746607915312,0.8752056745210779,0.01230351,0.10257116,0.40999253,0.46521347,0.0099201,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Politics,Total-left,1649.278,0.1949999,0.7972997881497237,0.0349999,0.16124153,0.45584618000000005,0.3415848000000001,0.00632759,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Politics,Very Left,217.9165,0.20253092354181532,0.7974696730169583,0.06993192,0.13259895,0.355,0.4424691300000001,0,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Politics,Left,1431.362,0.1949999,0.7972735059335093,0.0298331,0.1649999,0.47183843,0.32603765,0.007290919999999999,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Politics,Center,776.1196,0.3670769298958563,0.6289378595773125,0.0555429,0.31153394,0.46784064999999997,0.16109708,0.00398492,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Politics,Total-right,1622.94,0.19562269708060678,0.7949999,0.02799588,0.16762678,0.4249999,0.3728977300000002,0.00647971,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Politics,Right,1193.119,0.22137406243635382,0.7719211579062943,0.02858355,0.19279049,0.47342092,0.29849998,0.00670397,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Politics,Very Right,429.8207,0.125,0.8649998999999999,0.02636462,0.09777840000000007,0.29499990000000004,0.5749999,0.00585718,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Politics,Both left and Right,200.4265,0.3149999,0.6770217511157456,0.02471734,0.29151489,0.36910329,0.30791886,0.006746059999999999,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Politics,Neither left nor right,1673.316,0.135,0.8537837443734477,0.01537315,0.11946895,0.37413262,0.47965148,0.01137474,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Loss of job risk,High risk,556.2398,0.2249999,0.775,0.08362526,0.14282547,0.25854926999999994,0.515,0,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Loss of job risk,Low risk,1874.312,0.2429792371814298,0.755,0.02838448,0.2145948,0.40594533,0.34661700000000006,0.00445839,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
Loss of job risk,Zero risk,3478.817,0.1838633363008172,0.8060464232525023,0.023071929999999997,0.16079147,0.45685703,0.34918938999999993,0.010091760000000002,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
1st round vote,Arthaud,24.07418,0.30886850559396,0.691131328252925,0.15238804,0.15648043,0.27190966,0.41922176,0,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
1st round vote,Poutou,32.85668,0.2852152439016967,0.7147849387095715,0.075,0.21087131,0.17131646,0.54281223,0,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
1st round vote,Roussel,98.04205,0.1649999,0.8265510564089592,0.04494789,0.12303118999999998,0.53089567,0.29565508,0.00546978,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
1st round vote,Melenchon,942.3053,0.1949999,0.7958898246672284,0.0349999,0.16367126000000004,0.41587154000000015,0.38016384,0.00529346,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
1st round vote,Hidalgo,75.31895,0.245,0.7549999,0.01741202,0.22525168,0.60354147,0.15379489,0,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
1st round vote,Jadot,198.8808,0.2170965221378836,0.7581948584277618,0.02109813,0.19599841,0.52775431,0.23044069999999997,0.0247087,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
1st round vote,Macron,1195.294,0.4526551626629097,0.5365986945471155,0.0649999,0.38697223999999997,0.4693806500000001,0.06789987,0.01074734,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
1st round vote,Pecresse,205.1207,0.1694750944200171,0.8185073471375633,0.02283083,0.1466442,0.55568014,0.26282706,0.01201729,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
1st round vote,Dupont-Aignan,88.56025,0.15660502313396812,0.8433949768660319,0.02609662,0.13050844,0.32499989999999995,0.51839504,0,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
1st round vote,Zemmour,303.4525,0.09387769090714362,0.9061223750010299,0.0188239,0.07499990000000001,0.34900751,0.5571686900000001,0,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
1st round vote,Le Pen,993.0248,0.11226084182389,0.8821875344905786,0.01857958,0.0936813,0.34022191999999996,0.54196552,0.00555139,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
1st round vote,Lassalle,134.5409,0.059849740859470986,0.9289873934246018,0.00240169,0.057448049999999994,0.425,0.5039875800000001,0.011162679999999998,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
1st round vote,Blank/Null/NA,96.61228,0.16149893160579587,0.8022294888393069,0.02589852,0.1349999,0.4025840700000001,0.40024591000000004,0.0362716,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
1st round vote,Blank,63.86856,0.165,0.8049999,0.02592053,0.13696669,0.43060134,0.3749999,0.03151154,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
1st round vote,Null,19.09123,0.1749999,0.825,0,0.1749999,0.35764505,0.46735505,0,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
2nd round vote,Macron,2287.563,0.35395064529370335,0.6362661924502189,0.05095212999999999,0.30199477,0.505,0.13226875,0.00978435,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
2nd round vote,Le Pen,1619.66,0.1149999,0.8800143239939247,0.02303833,0.09228523,0.31686706,0.5628093800000001,0.005,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
2nd round vote,Blank/Null/NA,370.4173,0.10822572271867431,0.8817943978318507,0.02015549,0.08807023999999998,0.45192193,0.42987246999999995,0.0099799,"q18. A votre avis, est-ce que les responsables politiques, en général, se préoccupent beaucoup, assez, peu ou pas du tout de ce que pensent les gens comme vous ?"
