Indicator,Category,BASE,Emmanuel Macron,Marine Le Pen,Blanc/Nul/ABS/NSP,J'ai voté blanc,J'ai voté nul,NSP,Question
Total,Total,4277.644,0.535,0.3784062,0.0849999,0.07173231,0.011936219999999999,0.0029252700000000006,q15bv13b. Avez-vous voté :
Gender,Man,2193.04,0.53894913,0.36989252,0.0911603071535403,0.07848689,0.01110363,0.00156973,q15bv13b. Avez-vous voté :
Gender,Woman,2084.604,0.53000747,0.3878290999999999,0.08178973080738597,0.065,0.01281212,0.00435131,q15bv13b. Avez-vous voté :
Age,18-24,331.1004,0.5217647,0.39325776,0.085,0.06663637,0.00772761,0.01061297,q15bv13b. Avez-vous voté :
Age,25-34,571.1031,0.50893157,0.41614413,0.07492475526748148,0.05958087,0.013468209999999998,0.00187569,q15bv13b. Avez-vous voté :
Age,35-49,992.2888,0.5228505,0.39762042999999997,0.07952965910730828,0.065496,0.01058484,0.0034488,q15bv13b. Avez-vous voté :
Age,50-64,1095.651,0.51299682,0.39966011,0.08706855558932543,0.07111404,0.015,0.00122903,q15bv13b. Avez-vous voté :
Age,65+,1287.5,0.57706726,0.32570718,0.0949999,0.08376544,0.011006849999999999,0.00245382,q15bv13b. Avez-vous voté :
Socio-Professional Category,Total-CSP+,1295.202,0.56554954,0.34103553,0.0934154672398591,0.07623897,0.01333621,0.00384027,q15bv13b. Avez-vous voté :
Socio-Professional Category,Small Business owners,128.3403,0.49341298000000006,0.39574888,0.11083751557382987,0.08674391000000001,0.01078025,0.01331337,q15bv13b. Avez-vous voté :
Socio-Professional Category,Cadres/Prof Lib,512.3323,0.6072088999999999,0.305,0.0849999,0.07343511,0.01326365,0.00109234,q15bv13b. Avez-vous voté :
Socio-Professional Category,Prof Intermed,637.0147,0.54806946,0.35696759,0.09496272221033518,0.07643918,0.01427618,0.00424738,q15bv13b. Avez-vous voté :
Socio-Professional Category,Total-CSP-,1100.693,0.46099657,0.4605877500000001,0.07628700282458414,0.06221956,0.01119612,0.005,q15bv13b. Avez-vous voté :
Socio-Professional Category,Salaried,618.6353,0.475,0.44073025999999993,0.08426974665040937,0.06982445,0.01175103,0.00269426,q15bv13b. Avez-vous voté :
Socio-Professional Category,Blue collar,482.0571,0.445,0.48895747,0.0649999,0.05246007,0.01048399,0.00309847,q15bv13b. Avez-vous voté :
Political similarity,Far left,105.1492,0.50161009,0.39828843,0.10010147485667985,0.06582545,0.03427604,0,q15bv13b. Avez-vous voté :
Political similarity,Radical left,506.9846,0.52582426,0.27027428,0.2039016569734071,0.17140207000000002,0.029229050000000003,0.00327055,q15bv13b. Avez-vous voté :
Political similarity,Left,983.711,0.67597892,0.16414200999999998,0.15987917182993786,0.13821082,0.01907886,0.00258962,q15bv13b. Avez-vous voté :
Political similarity,PC/LFI,401.8355,0.5321603,0.23677657,0.23106325847268344,0.19902847999999998,0.027908409999999998,0.00412637,q15bv13b. Avez-vous voté :
Political similarity,PS,331.8011,0.7498497999999999,0.13083489,0.11720512680639093,0.10163505,0.015,0.00268026,q15bv13b. Avez-vous voté :
Political similarity,EELV,250.0743,0.80626318,0.09162017,0.10211685087192086,0.08901422,0.01310263,0,q15bv13b. Avez-vous voté :
Political similarity,EM,604.4158,0.9649999,0.026205919999999976,0.008794176128420204,0.00699782,0.00114044,0.0006559199999999999,q15bv13b. Avez-vous voté :
Political similarity,MoDem,157.5233,0.88318236,0.07928218,0.03753579311758959,0.030986380000000004,0.00654941,0,q15bv13b. Avez-vous voté :
Political similarity,Right,492.8788,0.53903313,0.36672667,0.09424018643122813,0.0742336,0.01771979,0.00228676,q15bv13b. Avez-vous voté :
Political similarity,UDI/PR,77.19805,0.80226599,0.08929240999999999,0.10844183240379777,0.10844182999999999,0,0,q15bv13b. Avez-vous voté :
Political similarity,LR,342.1845,0.56182089,0.3394066700000001,0.09877308878689713,0.07705711,0.01842213,0.0032938199999999994,q15bv13b. Avez-vous voté :
Political similarity,Radical right,872.3463,0.05017401,0.93507223,0.014753670646622792,0.010965539999999998,0.00311602,0.0006721,q15bv13b. Avez-vous voté :
Political similarity,Debout la France,73.49611,0.15644814,0.7854897600000001,0.054999900000000004,0.0249999,0.0330622,0,q15bv13b. Avez-vous voté :
Political similarity,Reconquete,187.5405,0.06039288,0.9187519499999999,0.020854908673059953,0.01931761,0.0015373,0,q15bv13b. Avez-vous voté :
Political similarity,RN,611.3101,0.03426196,0.95808199,0.007656186279271354,0.00669709,0,0.0009591,q15bv13b. Avez-vous voté :
Political similarity,No preference,1027.943,0.4891220600000001,0.39470982,0.11616967088642075,0.09589553,0.01585367,0.0044205,q15bv13b. Avez-vous voté :
Politics,Total-left,1072.423,0.685,0.1503570499999999,0.16464286946475412,0.14341169,0.01959241,0.00163885,q15bv13b. Avez-vous voté :
Politics,Very Left,114.8022,0.58554923,0.22506241,0.1849999,0.15425941,0.03099624,0.0041324,q15bv13b. Avez-vous voté :
Politics,Left,957.6212,0.69618185,0.1421418,0.1616763496881648,0.1421111,0.01822529,0.00133991,q15bv13b. Avez-vous voté :
Politics,Center,661.6414,0.82865909,0.1149999,0.05634100284534795,0.04811836,0.0076234599999999994,0.00059919,q15bv13b. Avez-vous voté :
