Indicator,Category,BASE,ST Extreme gauche,ST Gauche,ST Centre,ST Droite,ST Extrème droite,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,NSP,Question
Total,Total,5979.002,0.052193459711169184,0.2249999,0.1493491388696642,0.2767607369925616,0.095,0.01915341,0.03304005,0.07128166,0.08486998,0.0693021,0.14934914,0.08325063,0.09557687,0.09793306999999998,0.04687077,0.04808634,0.20128577,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Gender,Man,2929.637,0.055,0.249308293143485,0.13671144240736993,0.29076301944575383,0.0949999,0.01861225,0.03636983,0.08185103,0.08732952,0.08012764000000001,0.13671144,0.08073881000000001,0.10147117,0.10855311,0.04143967,0.054999900000000004,0.17179562999999998,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Gender,Woman,3049.36,0.0495143899047669,0.20253610593698348,0.16149087021538946,0.265,0.0933993362541648,0.01967334,0.02984105,0.06112738,0.08250712,0.05890164,0.16149087,0.08566388,0.08991408,0.08773028000000001,0.0520887,0.04131064,0.22974977999999996,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Age,18-24,478.2759,0.0406448244621985,0.21041202368758286,0.14568254432222072,0.2496220277877267,0.07942426118480986,0.01359093,0.02705388,0.05052182,0.10176081999999999,0.05812927,0.14568254,0.085,0.08400377,0.08077158,0.04438853999999999,0.03503572,0.2740611300000001,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Age,25-34,836.9062,0.0639534514142684,0.18594306028560906,0.13071070569198795,0.3106128261446743,0.10780226027719714,0.02260398,0.04134946,0.074257,0.055,0.05740098,0.13071071,0.10858706,0.09176497999999998,0.11026064999999999,0.04528902,0.06251325,0.20026290999999993,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Age,35-49,1494.556,0.04778653994898819,0.20841494062450652,0.16922510765739124,0.2449999,0.08446649038242796,0.01737982,0.03040672,0.07042593,0.08534896,0.0526401,0.16922511,0.08205561,0.0848286,0.07811745,0.0417166,0.04274991999999999,0.24510483000000002,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Age,50-64,1554.412,0.05542577514841625,0.24007444615713208,0.15541722529162152,0.2349999,0.09775355568536527,0.025,0.03078036,0.08394866,0.095,0.06158965,0.15541723,0.0744845,0.08036299,0.08265562999999998,0.04042467,0.05732894,0.21300737000000006,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Age,65+,1614.848,0.0449999,0.252081929692454,0.13585835942454028,0.335,0.09991801085922637,0.0149999,0.0349999,0.06448749,0.08597057,0.10162381,0.13634456000000028,0.07919123,0.12557225,0.12967264,0.05940089,0.04051711,0.12721965,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Socio-Professional Category,Total-CSP+,1734.019,0.075,0.23419524238200387,0.14672088368120534,0.30221283619152967,0.0749518892238205,0.02532472,0.04606302,0.07408137,0.09615045,0.06396343,0.14672088,0.10437585,0.09755718000000001,0.10027980999999998,0.03392696,0.04102491,0.17053146,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Socio-Professional Category,Small Business owners,212.9949,0.1264159376586012,0.140074574555541,0.1835296525879258,0.23715671126397864,0.10346421440137768,0.01772729,0.10868866,0.01951002,0.08077644000000002,0.03978813,0.18352965,0.05772091,0.054434680000000006,0.12500116,0.04418985,0.05927433,0.20935914,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.06195208612863806,0.23218933422928023,0.1661886629380514,0.3400499805920909,0.08823675006743852,0.02170687,0.04024520999999999,0.06229752,0.10137392,0.06851781,0.16618865999999996,0.11091569,0.11901681,0.11011738,0.04688313999999999,0.0413536,0.1113833,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
