Indicator,Category,BASE,De la méfiance,De l'intérêt,Du dégoût,De l'ennui,De l'espoir,Du respect,De la peur,De l'enthousiasme,No rep.,Question
Total,Total,5979.002,0.35859747,0.16428926000000002,0.16171510000000003,0.12824281,0.08961957,0.04060997,0.0294182,0.01780832,0.00969834,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Gender,Man,2929.637,0.35736851,0.18327189000000002,0.16546033,0.11010339999999999,0.09761595,0.041273,0.01945262,0.01298394,0.01247297,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Gender,Woman,3049.36,0.36045135,0.14605248,0.15811731,0.14499990000000001,0.08193732,0.03997304,0.03899258,0.02244334,0.00703268,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Age,18-24,478.2759,0.37731935,0.135,0.115,0.15066308,0.07446746,0.06468624,0.04862982,0.02458731,0.00964674,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Age,25-34,836.9062,0.33243196000000014,0.13829567,0.16979035,0.13068836,0.08708669,0.05943407,0.0449999,0.030977630000000003,0.006295370000000001,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Age,35-49,1494.556,0.36152322,0.11251061,0.18977295,0.16777444,0.08030733,0.03049041,0.0371747,0.01637948,0.00406628,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Age,50-64,1554.412,0.35794242,0.16033966999999996,0.16515081000000004,0.14229123,0.10229251,0.029444169999999995,0.02042546,0.01895932,0.00315602,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Age,65+,1614.848,0.365,0.23821040999999998,0.14210378,0.07022574,0.09184004,0.04383727,0.01660546,0.00919002,0.022987279999999995,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Socio-Professional Category,Total-CSP+,1734.019,0.335,0.16965789,0.17794077000000003,0.12204641,0.09308647,0.0443705,0.02735892,0.02597632,0.00456272,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Socio-Professional Category,Small Business owners,212.9949,0.3686438099999999,0.13474726,0.21145727,0.08093123,0.06189101,0.05203965,0.055,0.02520708,0.010082690000000002,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.32798129,0.20389242,0.15304865,0.11772744,0.09787399,0.05230610000000001,0.01798631,0.02353267,0.00565106,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Socio-Professional Category,Prof Intermed,896.9079,0.3388419399999999,0.15325743,0.1849999,0.13663789,0.09702081,0.03330586,0.02700034,0.02627645,0.0026593799999999994,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Socio-Professional Category,Total-CSP-,1674.09,0.37900931,0.11206183999999998,0.17870861,0.1449974,0.08840863,0.03591969,0.04203519,0.0134081,0.0054509,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Socio-Professional Category,Salaried,956.6466,0.38310887000000005,0.11453665000000002,0.17537322999999996,0.16183834000000002,0.088654,0.0257557,0.03318819,0.00933026,0.00821418,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Socio-Professional Category,Blue collar,717.4432,0.37237492000000005,0.10876175,0.18315582,0.12254173,0.08808147,0.049472459999999996,0.055,0.01884555,0.0017663,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Political similarity,Far left,187.3446,0.28907283000000017,0.16103859,0.15779718,0.08748819,0.09860717,0.10815817,0.07283797,0.0249999,0,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Political similarity,Radical left,828.7407,0.3149999,0.19130842,0.14284323,0.09785458000000001,0.13766043,0.05229784,0.028692849999999995,0.0266921,0.00765065,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Political similarity,Left,1430.296,0.32754816999999997,0.1990502,0.11586252,0.12291748999999999,0.1309515,0.0449999,0.0233957,0.02775257,0.00752195,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Political similarity,PC/LFI,641.3963,0.32499989999999995,0.19885203000000004,0.13847534,0.10088244999999998,0.14906745,0.03598164,0.0149999,0.02685597,0.00988532,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Political similarity,PS,449.3176,0.34320668,0.217658,0.07761243,0.12184379000000001,0.11477821,0.06190608,0.01989886,0.03746078,0.00563559,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Political similarity,EELV,339.583,0.30935462,0.17622193,0.12376217,0.16595734,0.11813403,0.04259766,0.04237173,0.01660062,0.0049999,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Political similarity,EM,672.9198,0.25004317,0.30531876,0.029788740000000005,0.09432411,0.16427307,0.10037123000000002,0.01953041,0.03135051,0.005,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Political similarity,MoDem,161.1257,0.3749999,0.31764546000000016,0.05352988,0.07802213,0.10806711999999999,0.058525669999999995,0,0.00585491,0.00335493,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Political similarity,Right,573.0042,0.38447938000000004,0.21673977,0.11330971000000001,0.09735826,0.09987756000000002,0.04792794,0.01246169,0.01059275,0.01725308,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Political similarity,UDI/PR,89.32552,0.4081462,0.20589278,0.04028003,0.07699746,0.0649999,0.09319626,0.00776354,0.01772393,0.0849999,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Political similarity,LR,397.5368,0.3528513800000001,0.24357322,0.12297629,0.0972347,0.11948698,0.0449999,0.00665021,0.006477120000000001,0.0057502,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Political similarity,Radical right,1008.8,0.41903479,0.12341346,0.2257383,0.0885188,0.06944851,0.021653630000000004,0.03916496,0.01031154,0.00271677,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Political similarity,Debout la France,86.14185,0.50673826,0.10415423000000001,0.145,0.11904190999999999,0.0451715,0.01354986,0.04415294,0.022191299999999997,0,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Political similarity,Reconquete,205.4045,0.4126457599999999,0.17978014000000003,0.22913461,0.05026896,0.060697310000000004,0.00355219,0.05321695,0.00570408,0.005,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Political similarity,RN,717.2537,0.40983642,0.10958434,0.2345311,0.09580685,0.075,0.0278107,0.03454174,0.01020425,0.0026845999999999997,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Political similarity,No preference,1860.95,0.39017711,0.07824665,0.23439781,0.18957011,0.03781783,0.01658968,0.03357521,0.0080509,0.01157565,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Politics,Total-left,1649.278,0.33911881,0.21230642,0.11685022,0.11421367,0.12138099,0.04508866,0.02384819,0.02098707,0.00620603,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Politics,Very Left,217.9165,0.25959595,0.23121457,0.18771061,0.04190133000000001,0.17685916,0.03379434,0.0236546,0.02997482,0.015295100000000002,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Politics,Left,1431.362,0.35122562,0.20942766,0.10606213,0.12522276,0.11293474,0.04680813,0.02387765,0.01961874,0.00482227,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Politics,Center,776.1196,0.31225587,0.22870779,0.09137544,0.11677738,0.12788461,0.06909904,0.01907814,0.02058098,0.01424016,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Politics,Total-right,1622.94,0.3588095400000001,0.19003099000000004,0.17007239999999998,0.09499990000000001,0.08800547,0.040761729999999996,0.03834863,0.01564741,0.00332393,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Politics,Right,1193.119,0.34901724,0.21609295,0.13803393,0.10240068,0.09279426,0.0468911,0.03386953,0.01676178,0.00413783,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Politics,Very Right,429.8207,0.38556573999999993,0.11768727999999999,0.25900684,0.07459185,0.075,0.02374758,0.05078197,0.01255407,0.00106467,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Politics,Both left and Right,200.4265,0.40053759,0.18140116,0.12875159,0.10809519000000001,0.09750662,0.03964851,0.007685230000000001,0.03137421,0.0049999,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Politics,Neither left nor right,1673.316,0.39176711999999997,0.0610529,0.23558605,0.18260914,0.04132943,0.023867510000000005,0.035,0.013787850000000003,0.015,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Loss of job risk,High risk,556.2398,0.3149999,0.0869224,0.2574728600000001,0.13896427,0.0643294,0.03995074,0.06605275,0.028593709999999998,0.00271397,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Loss of job risk,Low risk,1874.312,0.3749999,0.13918841,0.18115376000000005,0.11727566999999998,0.08625143999999998,0.03842069,0.03736497,0.023386390000000003,0.00195877,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
Loss of job risk,Zero risk,3478.817,0.35686384,0.19201387,0.13632045,0.13222797,0.09644701,0.03951487,0.01958839,0.01326702,0.01375864,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
1st round vote,Arthaud,24.07418,0.4205473699999999,0.12400758999999999,0.14306099,0.16912518,0,0.03796547,0.0702934,0.035,0,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
1st round vote,Poutou,32.85668,0.3639575300000001,0.01896705,0.205,0.08513446999999999,0.14219306,0.03018276,0.07207947,0.08248566,0,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
1st round vote,Roussel,98.04205,0.35891834000000006,0.22240284,0.15436723,0.07857419,0.11203366,0.03242784,0.00974358,0.0252474,0.006284650000000001,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
1st round vote,Melenchon,942.3053,0.34999909,0.17420341,0.15433883,0.1016091,0.12920632,0.0352084,0.025744440000000004,0.01987264,0.00981754,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
1st round vote,Hidalgo,75.31895,0.31562535,0.35151831,0.0192367,0.12556789,0.09987201,0.03459613,0.023507840000000002,0.02461165,0.00546442,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
1st round vote,Jadot,198.8808,0.37925566,0.22346265000000004,0.0673067,0.14026281,0.11215582,0.03995949,0.0162928,0.01446697,0.006837089999999999,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
1st round vote,Macron,1195.294,0.26006405,0.30524825,0.03361389,0.12708848,0.13826966,0.08982301,0.01224076,0.02386621,0.00978673,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
1st round vote,Pecresse,205.1207,0.36761460000000007,0.27361997,0.07903093,0.10894015,0.105,0.04401810999999999,0.01080109,0.0033499100000000006,0.00762524,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
1st round vote,Dupont-Aignan,88.56025,0.45884627,0.0788137,0.25006095,0.12296442,0.02168471,0.021825630000000002,0.027708860000000002,0.0180955,0,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
1st round vote,Zemmour,303.4525,0.44770137,0.14268569,0.22575589,0.07251952,0.04848209,0.01326277,0.04539205,0.00420098,0,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
1st round vote,Le Pen,993.0248,0.40010341000000005,0.10791875,0.24235235999999996,0.09808771000000001,0.06961494,0.02550972,0.0349999,0.01729416,0.00411905,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
1st round vote,Lassalle,134.5409,0.51854797,0.08746545,0.19794583,0.10929123,0.03984931,0.03832118,0.00494107,0.0036376,0,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
1st round vote,Blank/Null/NA,96.61228,0.43440058000000004,0.08508621,0.15112313,0.14416252,0.06538227,0.02241949,0.05430438,0.01735836,0.0257627,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
1st round vote,Blank,63.86856,0.4389538000000001,0.08402553999999998,0.15192214,0.14766834,0.0623682,0.02612672,0.04767782,0.026257539999999996,0.0149999,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
1st round vote,Null,19.09123,0.47040725000000005,0.07573184,0.16924054,0.13480142,0.07198557,0.011320979999999998,0.06651279,0,0,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
2nd round vote,Macron,2287.563,0.31565111,0.26106254,0.04841436,0.12835944,0.13469334,0.06909082,0.01159338,0.02394379,0.0071936000000000005,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
2nd round vote,Le Pen,1619.66,0.40417506000000003,0.10572298999999999,0.245,0.10269995,0.06218416,0.02456566,0.03651997,0.01602174,0.00311047,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
2nd round vote,Blank/Null/NA,370.4173,0.4076164499999999,0.15072949,0.1663344,0.10847593,0.09029486,0.028886689999999996,0.0249999,0.00918923,0.01347305,"q41. Quand vous pensez à la politique, pouvez-vous me dire ce que vous éprouvez d'abord... ?"
