Indicator,Category,BASE,ST Bonne,ST Mauvaise,Très bonne,Assez bonne,Assez mauvaise,Très mauvaise,No rep.,Question
Total,Total,5979.002,0.46289832316496965,0.496780231884853,0.07025667,0.39123642000000003,0.345,0.15318638,0.04032053000000001,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Gender,Man,2929.637,0.4350003089119915,0.5349999,0.07015067,0.365,0.35402189,0.18356287999999998,0.027264559999999997,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Gender,Woman,3049.36,0.4897017734868956,0.457433691004014,0.07035863,0.4183474499999999,0.33342997,0.125,0.05286395,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Age,18-24,478.2759,0.565,0.39387412161055996,0.08643272999999999,0.47810304,0.28499990000000003,0.10808429,0.04238004,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Age,25-34,836.9062,0.5543690559348228,0.425,0.0942005,0.46016854,0.32583843,0.09867695,0.021115519999999995,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Age,35-49,1494.556,0.48945345641113475,0.4618864063976191,0.08303811,0.40641548,0.31873071,0.14315556,0.0486596,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Age,50-64,1554.412,0.46676164363116085,0.4919485953530981,0.07046343,0.39629834,0.3219768,0.16997193,0.04129098,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Age,65+,1614.848,0.3573303493579582,0.6016584842660114,0.04102853,0.31630191,0.41373757999999994,0.18792114999999998,0.041011769999999996,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Socio-Professional Category,Total-CSP+,1734.019,0.4749999,0.4964041916495725,0.07414325,0.40227754,0.36016768,0.13623674,0.02717498,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Socio-Professional Category,Small Business owners,212.9949,0.4849999,0.495,0.14460351,0.3406202299999999,0.355,0.13849116,0.021285099999999998,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
