Indicator,Category,BASE,ST Inquiet,ST pas Inquiet,Très inquiet,Plutôt inquiet,Plutôt pas inquiet,Pas du tout inquiet,No rep.,Question
Total,Total,5979.002,0.7680477444228986,0.21400762200782,0.22304805000000008,0.545,0.18019746,0.03380991,0.01794458,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Gender,Man,2929.637,0.7526580938184491,0.23081538770844304,0.19965112,0.55300776,0.19933500000000004,0.03148036,0.01652749,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Gender,Woman,3049.36,0.785,0.1949999,0.24627683000000003,0.5376051999999999,0.16181202,0.0349999,0.01930605,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Age,18-24,478.2759,0.7349998999999999,0.24962850940220907,0.25216387,0.48320756000000004,0.18929195000000001,0.06033662,0.015,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Age,25-34,836.9062,0.7549999,0.22763602420438514,0.22101705000000016,0.5349999,0.1963913,0.03124472,0.01634703,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Age,35-49,1494.556,0.775,0.2049999,0.24794421,0.52668465,0.16320232,0.043584420000000006,0.01858375,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Age,50-64,1554.412,0.7893042513825164,0.19028970440269374,0.23406142999999996,0.55524372,0.15460373,0.035686,0.02040678,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Age,65+,1614.848,0.7549999,0.22590825885779964,0.18378566,0.57358637,0.20947761,0.01643062,0.0167204,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Socio-Professional Category,Total-CSP+,1734.019,0.7704742566257925,0.2211905405880789,0.2093127,0.5611619,0.18077778,0.04041282,0.00833474,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Socio-Professional Category,Small Business owners,212.9949,0.7688292067087052,0.22847809971036864,0.23002241,0.53880727,0.14645365,0.08202450000000001,0.00269261,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.7502097576043298,0.23544477893797847,0.16202855,0.5876396700000001,0.195,0.04098638,0.0143454,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Socio-Professional Category,Prof Intermed,896.9079,0.7794422370457434,0.2149999,0.22588852,0.5535461999999999,0.18423776,0.03132752,0.005,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Socio-Professional Category,Total-CSP-,1674.09,0.7749999,0.19712781272213561,0.24273337000000003,0.53268803,0.15146689,0.04566087,0.027450730000000003,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Socio-Professional Category,Salaried,956.6466,0.7737157065106383,0.20562379043630113,0.23883731000000002,0.53487808,0.16041127,0.045212430000000005,0.0206605,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Socio-Professional Category,Blue collar,717.4432,0.7776962691959447,0.1849999,0.24792848,0.53102632,0.13954038,0.0449999,0.03650492,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
