Indicator,Category,BASE,ST Très + Assez,Très fortement,Assez fortement,Pas très fortement,No rep.,Question
Total,Total,3823.963,0.985,0.6573359599999999,0.32645451999999997,0.0149999,0.00120962,q19v13b. Dans quelle mesure pensez-vous que voter à une élection est un devoir ?
Gender,Man,1980.905,0.9856626138053062,0.6656800800000001,0.3199839,0.0139553,0.00038208,q19v13b. Dans quelle mesure pensez-vous que voter à une élection est un devoir ?
Gender,Woman,1843.063,0.9809550731581068,0.64754488,0.33340834999999996,0.01694596,0.00209905,q19v13b. Dans quelle mesure pensez-vous que voter à une élection est un devoir ?
Age,18-24,283.4844,0.9917554546211361,0.65675561,0.33499989999999996,0.00824449,0,q19v13b. Dans quelle mesure pensez-vous que voter à une élection est un devoir ?
Age,25-34,535.681,0.985,0.63994604,0.345,0.012344060000000002,0.0027099000000000003,q19v13b. Dans quelle mesure pensez-vous que voter à une élection est un devoir ?
Age,35-49,858.537,0.9719833856898421,0.60143488,0.3705485,0.0270466,0.00097023,q19v13b. Dans quelle mesure pensez-vous que voter à une élection est un devoir ?
Age,50-64,958.1087,0.9882258662300009,0.64906936,0.33915651,0.01177412,0,q19v13b. Dans quelle mesure pensez-vous que voter à une élection est un devoir ?
Age,65+,1188.157,0.9850474306005016,0.7100470400000001,0.275,0.01298275,0.00197021,q19v13b. Dans quelle mesure pensez-vous que voter à une élection est un devoir ?
Socio-Professional Category,Total-CSP+,1144.459,0.9876989914011773,0.65751067,0.3301892,0.01100818,0.00129333,q19v13b. Dans quelle mesure pensez-vous que voter à une élection est un devoir ?
Socio-Professional Category,Small Business owners,118.3425,1,0.61041671,0.38958269,0,0,q19v13b. Dans quelle mesure pensez-vous que voter à une élection est un devoir ?
Socio-Professional Category,Cadres/Prof Lib,434.9997,0.9850694149904011,0.705,0.28006934999999994,0.01344287,0.00148778,q19v13b. Dans quelle mesure pensez-vous que voter à une élection est un devoir ?
Socio-Professional Category,Prof Intermed,575.0071,0.9868109454648473,0.63181103,0.355,0.01174032,0.00144865,q19v13b. Dans quelle mesure pensez-vous que voter à une élection est un devoir ?
Socio-Professional Category,Total-CSP-,989.5644,0.9860241536579126,0.6210239700000001,0.365,0.01397603,0,q19v13b. Dans quelle mesure pensez-vous que voter à une élection est un devoir ?
Socio-Professional Category,Salaried,534.217,0.985,0.6259933700000001,0.35900673,0.0149999,0,q19v13b. Dans quelle mesure pensez-vous que voter à une élection est un devoir ?
Socio-Professional Category,Blue collar,455.3476,0.9875299661181919,0.61570413,0.37182539,0.0124701,0,q19v13b. Dans quelle mesure pensez-vous que voter à une élection est un devoir ?
Political similarity,Far left,100.9906,0.9761684750858,0.7011681300000001,0.275,0.02383187,0,q19v13b. Dans quelle mesure pensez-vous que voter à une élection est un devoir ?
Political similarity,Radical left,495.4678,0.9914553478550977,0.63792178,0.3535339699999999,0.006920969999999999,0.00162363,q19v13b. Dans quelle mesure pensez-vous que voter à une élection est un devoir ?
Political similarity,Left,952.4399,0.9766506002111,0.6453321599999999,0.33131791,0.02250466,0.00084463,q19v13b. Dans quelle mesure pensez-vous que voter à une élection est un devoir ?
Political similarity,PC/LFI,394.4771,0.995369312946176,0.6203691100000001,0.375,0.00259159,0.0020393,q19v13b. Dans quelle mesure pensez-vous que voter à une élection est un devoir ?
Political similarity,PS,332.0254,0.978080291447582,0.69761289,0.28046767,0.02191965,0,q19v13b. Dans quelle mesure pensez-vous que voter à une élection est un devoir ?
Political similarity,EELV,225.9369,0.9418682826930881,0.61005484,0.33181365999999995,0.05813189,0,q19v13b. Dans quelle mesure pensez-vous que voter à une élection est un devoir ?
