Indicator,Category,BASE,ST D'accord,ST Pas D'accord,Tout à fait d'accord,Plutôt d'accord,Pas vraiment d'accord,Pas du tout d'accord,No rep.,Question
Total,Total,1575.317,0.3089804782148609,0.6585398367439697,0.10935868999999998,0.1996216,0.29278183,0.365758,0.03248046,"q5v13b_groupe3. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Gender,Man,798.5598,0.2988273389168851,0.6765750041512233,0.11158757,0.18723995,0.27614914,0.40042524,0.02459724,"q5v13b_groupe3. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Gender,Woman,776.7581,0.319417847074913,0.6399973170540482,0.10706727,0.21235054000000003,0.30988116,0.33011667000000006,0.0405849,"q5v13b_groupe3. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Age,18-24,117.067,0.4149999,0.5658736450067057,0.15404965,0.26495819,0.30587775,0.2599959,0.01511805,"q5v13b_groupe3. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Age,25-34,203.9082,0.4649999,0.525793469806511,0.1738062,0.29434358,0.24941737999999997,0.27637613,0.00605704,"q5v13b_groupe3. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Age,35-49,432.3072,0.37458270415112216,0.5698780866939065,0.14195602,0.23262671,0.30591926,0.26395859,0.05553935,"q5v13b_groupe3. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Age,50-64,399.3349,0.24375352617564858,0.7095938772193464,0.08267071,0.16108289,0.30963259,0.39996129,0.04665249999999999,"q5v13b_groupe3. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Age,65+,422.7003,0.1962533501868818,0.7906824291347794,0.05776705,0.13848623,0.28071804,0.50996463,0.01306383,"q5v13b_groupe3. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Socio-Professional Category,Total-CSP+,464.3317,0.315,0.6501009946122567,0.11639942,0.19830908000000003,0.28331557,0.3669760299999999,0.0349999,"q5v13b_groupe3. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Socio-Professional Category,Small Business owners,66.37943,0.425383285153247,0.45316237274107357,0.19847022,0.22691307,0.14940803,0.30375419,0.12145425,"q5v13b_groupe3. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Socio-Professional Category,Cadres/Prof Lib,157.6206,0.32448931167626566,0.6680611544430106,0.09499990000000001,0.22792592,0.28013921,0.38948607000000013,0.0074489,"q5v13b_groupe3. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
