Indicator,Category,BASE,...s'ouvrir davantage,...se fermer davantage,Rien ne doit changer,No rep.,Question
Total,Total,5979.002,0.38399318000000005,0.35261152,0.20756407,0.05583024,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Gender,Man,2929.637,0.39581423000000004,0.35313179999999994,0.20308103,0.04797512,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Gender,Woman,3049.36,0.37101569000000006,0.35211257,0.21187174,0.065,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Age,18-24,478.2759,0.38092469,0.34660789,0.22491871,0.047548709999999994,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Age,25-34,836.9062,0.39160135000000007,0.35021583,0.21855902000000002,0.03962365,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Age,35-49,1494.556,0.36136538,0.39029719,0.17940914,0.06892769,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Age,50-64,1554.412,0.38499989999999995,0.35997971000000006,0.20856644999999996,0.04645394,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Age,65+,1614.848,0.3995942600000001,0.315,0.22181981999999997,0.06358592,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Socio-Professional Category,Total-CSP+,1734.019,0.36673739,0.37499191,0.22517556,0.03309523,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Socio-Professional Category,Small Business owners,212.9949,0.44688398999999995,0.3269568,0.16153622000000004,0.06462333,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.3840570200000001,0.36501703,0.21860079,0.03232518,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Socio-Professional Category,Prof Intermed,896.9079,0.33179204,0.39691166000000005,0.24932793999999997,0.02196733,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Socio-Professional Category,Total-CSP-,1674.09,0.39276508,0.35368421,0.18542133,0.06812889,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Socio-Professional Category,Salaried,956.6466,0.38470277,0.3582071,0.18619185,0.07089789,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Socio-Professional Category,Blue collar,717.4432,0.40295258999999994,0.34765344,0.18439397,0.065,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Political similarity,Far left,187.3446,0.4186627900000001,0.36776475,0.18857256,0.0249999,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Political similarity,Radical left,828.7407,0.39499989999999996,0.37119082000000014,0.18697223,0.04683705,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Political similarity,Left,1430.296,0.4163971,0.30275726,0.23725844,0.04358795,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Political similarity,PC/LFI,641.3963,0.39028211,0.37051851,0.18650466,0.052694960000000006,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Political similarity,PS,449.3176,0.45499989999999996,0.23713605,0.27093947999999995,0.03692457,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Political similarity,EELV,339.583,0.4141005300000001,0.26159663,0.28909916,0.03520335,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Political similarity,EM,672.9198,0.59443696,0.14746796,0.24672851,0.011366299999999998,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Political similarity,MoDem,161.1257,0.43956175000000003,0.19117837999999998,0.35425987,0.015,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Political similarity,Right,573.0042,0.39289625,0.33898827,0.22999481999999996,0.03812077,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Political similarity,UDI/PR,89.32552,0.42308863,0.19991756,0.35199381,0.025,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Political similarity,LR,397.5368,0.43229104999999995,0.30383778,0.22768197,0.03618958,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Political similarity,Radical right,1008.8,0.29612986,0.55884169,0.11456433,0.03046439,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Political similarity,Debout la France,86.14185,0.17895146,0.64541625,0.11416067,0.06147160000000001,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
