Indicator,Category,BASE,ST 0 à 5,ST 6 à 8,ST 9 à 10,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,Ne sait pas,No rep.,Moyenne,Question
Total,Total,5979.002,0.255,0.35332552155025204,0.2249999,0.01559606,0.015,0.022465790000000003,0.03365757,0.035,0.12775679,0.08367445,0.133733,0.13591807,0.08407388000000002,0.14279112,0.15612117,0.014212100000000002,6.816546,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Gender,Man,2929.637,0.265,0.34994813350595994,0.26378954116158415,0.01693727,0.010267490000000002,0.02752075,0.04052594,0.0414693,0.125,0.09267698,0.13032434,0.12694696,0.08435038,0.17908926000000017,0.11061094,0.01428039,6.871676,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Gender,Woman,3049.36,0.235717560406118,0.356570887005798,0.19139029173334732,0.01430752,0.01802447,0.01760931,0.02705893,0.02797795,0.13073943,0.07502548,0.13700813,0.14453728,0.08380844,0.10758201999999999,0.20217347,0.014146519999999997,6.757401,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Age,18-24,478.2759,0.19507181942472956,0.3949999,0.19619821947959326,0.01082266,0.01735438,0.01233667,0.03144221,0.02530709,0.0978088,0.11733974,0.17498601,0.1045659,0.08094401,0.11525417000000002,0.1984096,0.01342868,6.817297,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Age,25-34,836.9062,0.19291803549788494,0.42615815249068534,0.20002958515542124,0.01858736,0.00737387,0.00788301,0.02703608,0.0349999,0.09499990000000001,0.09707023,0.18112247999999997,0.15000355,0.07950417,0.12052545,0.16957002,0.01132398,6.940412,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Age,35-49,1494.556,0.24862808753904167,0.35369581333854333,0.21761546573029045,0.01581861,0.01872392,0.0171264,0.040715339999999996,0.0249999,0.13107726,0.07776162,0.13349282,0.1424415,0.07820135,0.13941405,0.1664372600000001,0.01378997,6.792793,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Age,50-64,1554.412,0.23570803622205697,0.3394881151200582,0.24560090889674036,0.01396298,0.01551342,0.026950759999999997,0.02107275,0.03585266,0.12235533,0.07959048,0.12500991,0.13488785,0.0803738,0.16522703999999996,0.16460340000000004,0.01460078,6.938586,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Age,65+,1614.848,0.30454160391566265,0.3156543526077996,0.24038150959099555,0.01682555,0.01143977,0.03364795,0.043327229999999994,0.04393424,0.15536657,0.07616488,0.10663058999999998,0.13285876,0.09636597000000001,0.14401547,0.12346599,0.01595752,6.664144,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Socio-Professional Category,Total-CSP+,1734.019,0.2774059569128135,0.3749999,0.1963697629610748,0.02217112,0.01929605,0.02579425,0.03930257,0.03356369,0.13727825,0.09436471000000002,0.15216379,0.13316296,0.06723404,0.12913572,0.13541645,0.0111166,6.564447,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Socio-Professional Category,Small Business owners,212.9949,0.22592893069270673,0.3293954456186509,0.28499990000000003,0.07374364,0.03247124,0.01555822,0.025,0.02349453,0.055757810000000005,0.0877998,0.0919168,0.14967889,0.08261066,0.20360944999999994,0.14616256,0.012196399999999998,6.724089,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.3049999,0.395,0.202281085725763,0.011809890000000002,0.01700962,0.02133203,0.04423976000000001,0.04328177999999999,0.16764298000000014,0.085,0.15728183,0.14612689,0.08153779,0.12074332,0.08985195999999998,0.014142149999999997,6.612288,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Socio-Professional Category,Prof Intermed,896.9079,0.275,0.3815262414345999,0.1749999,0.01747824,0.01688935,0.03124416,0.04057700000000001,0.0304551,0.136023,0.09942966,0.15837579,0.12372106,0.054999900000000004,0.1207891,0.16085026000000016,0.00916738,6.507725,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Socio-Professional Category,Total-CSP-,1674.09,0.19661499680423397,0.3649999,0.24612661206984093,0.01057272,0.00905153,0.01531215,0.02123299,0.03280393,0.10764158,0.09297129,0.132632,0.14289507,0.08800907,0.15811742,0.17131473999999997,0.01744524,7.119309,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Socio-Professional Category,Salaried,956.6466,0.2205581455053517,0.3584256715071166,0.23345151699697672,0.013895320000000001,0.00992625,0.02326506,0.02667017,0.04099097000000001,0.10581034,0.07120876,0.13131411,0.15590282,0.06969423,0.16375723,0.18049319,0.00707087,7.001144,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Socio-Professional Category,Blue collar,717.4432,0.165,0.38192932903956717,0.263027651526978,0.00614234,0.00788515,0.005,0.013983,0.021887249999999997,0.11008349,0.12198962999999999,0.13438931,0.12555023,0.11243025,0.15059743,0.15878337,0.03127855,7.277414,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Political similarity,Far left,187.3446,0.18449488269210856,0.4854467649454534,0.1825057674467265,0.0,0.0,0.01370757,0.04227075,0.01644619,0.11207038,0.13582441,0.18229845,0.1673239,0.08177893,0.10072683999999998,0.13759516,0.00995789,6.983738,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Political similarity,Radical left,828.7407,0.2128216944093611,0.4633668890643359,0.2158920154398113,0.00712977,0.0037933900000000007,0.01782596,0.03387154,0.02709242,0.12310871,0.10013594000000002,0.18823056000000024,0.1749999,0.08732490000000001,0.12856711,0.09704834,0.01087146,7.011727,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
