Indicator,Category,BASE,"une société où, avant tout, l'on réduit les écarts de rémunération entre les plus modestes et les plus riches","une société où, avant tout, l'on rémunère davantage ceux qui travaillent plus que les autres",No rep.,Question
Total,Total,5979.002,0.45804333,0.47086052,0.07109524,q7v13b. Pour vous une société juste c'est :
Gender,Man,2929.637,0.43982036,0.49652363000000005,0.06365714,q7v13b. Pour vous une société juste c'est :
Gender,Woman,3049.36,0.4749999,0.4467587300000001,0.07824137,q7v13b. Pour vous une société juste c'est :
Age,18-24,478.2759,0.4811609600000001,0.42383904,0.095,q7v13b. Pour vous une société juste c'est :
Age,25-34,836.9062,0.45868605,0.45183236000000004,0.08948133999999999,q7v13b. Pour vous une société juste c'est :
Age,35-49,1494.556,0.45697284,0.4490788600000001,0.09394797,q7v13b. Pour vous une société juste c'est :
Age,50-64,1554.412,0.4973837799999999,0.45761632,0.0449999,q7v13b. Pour vous une société juste c'est :
Age,65+,1614.848,0.41447759,0.52756123,0.05796188,q7v13b. Pour vous une société juste c'est :
Socio-Professional Category,Total-CSP+,1734.019,0.4749999,0.45758452000000005,0.06741558,q7v13b. Pour vous une société juste c'est :
Socio-Professional Category,Small Business owners,212.9949,0.46177458000000005,0.43258134,0.10564441,q7v13b. Pour vous une société juste c'est :
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.4239256,0.50866482,0.06740968,q7v13b. Pour vous une société juste c'est :
Socio-Professional Category,Prof Intermed,896.9079,0.5170428800000001,0.4349999,0.04795722000000001,q7v13b. Pour vous une société juste c'est :
Socio-Professional Category,Total-CSP-,1674.09,0.46448226,0.45625988,0.07925751,q7v13b. Pour vous une société juste c'est :
Socio-Professional Category,Salaried,956.6466,0.4611426,0.46274005,0.07611671,q7v13b. Pour vous une société juste c'est :
Socio-Professional Category,Blue collar,717.4432,0.46893496,0.44761996,0.08344556000000002,q7v13b. Pour vous une société juste c'est :
Political similarity,Far left,187.3446,0.60408653,0.31091347,0.085,q7v13b. Pour vous une société juste c'est :
Political similarity,Radical left,828.7407,0.6928821,0.22772081,0.07939758,q7v13b. Pour vous une société juste c'est :
Political similarity,Left,1430.296,0.685,0.25033762,0.06466238,q7v13b. Pour vous une société juste c'est :
Political similarity,PC/LFI,641.3963,0.7187071400000001,0.20342104,0.0778717,q7v13b. Pour vous une société juste c'est :
Political similarity,PS,449.3176,0.6518208899999999,0.27981076,0.06836863,q7v13b. Pour vous une société juste c'est :
Political similarity,EELV,339.583,0.6641580900000001,0.30084191,0.035,q7v13b. Pour vous une société juste c'est :
Political similarity,EM,672.9198,0.30921694,0.62915521,0.06162783,q7v13b. Pour vous une société juste c'est :
Political similarity,MoDem,161.1257,0.35299939999999985,0.585,0.06200060000000001,q7v13b. Pour vous une société juste c'est :
Political similarity,Right,573.0042,0.25068682,0.6724825099999999,0.07683078,q7v13b. Pour vous une société juste c'est :
Political similarity,UDI/PR,89.32552,0.33744578,0.61971741,0.042837,q7v13b. Pour vous une société juste c'est :
Political similarity,LR,397.5368,0.20927044,0.70028309,0.09044697,q7v13b. Pour vous une société juste c'est :
Political similarity,Radical right,1008.8,0.33710649000000004,0.6049999,0.05789361,q7v13b. Pour vous une société juste c'est :
