Indicator,Category,BASE,ST 0 à 5,ST 6 à 8,ST 9 à 10,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,Je ne sais pas,Moyenne,Question
Total,Total,5979.002,0.1882630244980684,0.4987143339306459,0.23140902110419095,0.01280662,0.00630993,0.01747154,0.02243864,0.029201580000000005,0.1000347,0.12741963,0.2003801,0.17091498,0.08736379,0.14404508,0.08161298,7.063226,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Gender,Man,2929.637,0.20674916380425287,0.4914909253262435,0.22823909583337457,0.01605261,0.00855403,0.02078737,0.02574785,0.03107861,0.10452851,0.13634645,0.19096782,0.16417754000000004,0.08083121,0.14740778,0.07352269,6.955534,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Gender,Woman,3049.36,0.17050305637904348,0.5056556129810845,0.234454639662093,0.0096881,0.00415395,0.01428593,0.01925941,0.0273983,0.09571742999999999,0.11884353000000002,0.20942345,0.17738837000000002,0.09364011,0.1408144,0.08938571,7.168492,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Age,18-24,478.2759,0.155,0.5442820765169226,0.1880066714630614,0.01068071,0.00557669,0.01659794,0.01458646,0.03009376,0.07590713,0.1520303,0.23003736999999994,0.16210505000000003,0.075,0.11311588,0.11426870999999998,7.008522,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Age,25-34,836.9062,0.1649999,0.545,0.20760175991048938,0.01375565,0.00332612,0.01132512,0.02332266,0.02299642,0.095,0.14047348,0.215,0.185,0.06892574,0.13867599,0.08219882,7.077553,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Age,35-49,1494.556,0.19288430811558752,0.47775018132475466,0.2405791418989988,0.02127679,0.00458108,0.02386627,0.01927858,0.03682205,0.0870595,0.11985493,0.21037752999999998,0.14751786,0.0986048,0.14197434,0.0887857,6.992692,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Age,50-64,1554.412,0.1689500595723656,0.4956301160824801,0.2617418033314205,0.00810289,0.005,0.0128585,0.02087479,0.023219380000000005,0.09929755,0.12680467,0.17818114,0.19024011000000002,0.08957077999999999,0.17217108,0.07367911,7.27976,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Age,65+,1614.848,0.22251790880627775,0.4859299451093849,0.21891688877219403,0.00963293,0.011322529999999999,0.0194378,0.02873617,0.03085879,0.12252942999999998,0.12010752999999999,0.19666656,0.16915561,0.08808588,0.13083108,0.07263631,6.927298,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Socio-Professional Category,Total-CSP+,1734.019,0.20817764972586805,0.5249999,0.20557629414671927,0.02066663,0.00762775,0.01982673,0.0249999,0.03718057,0.09675419,0.14972264,0.2131126599999999,0.1649999,0.06794522,0.13763113,0.05953268,6.857738,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Socio-Professional Category,Small Business owners,212.9949,0.1749999,0.5227406853403532,0.22698707809435814,0.0428034,0.00731429,0.04267482,0.01316019,0.02063692,0.04901883,0.15358081,0.23759856000000004,0.13122511,0.08049873,0.14648834,0.075,6.793193,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
