Indicator,Category,BASE,ST D'accord,ST Pas d'accord,Tout à fait d'accord,Plutôt d'accord,Ni d'accord ni pas d'accord,Pas vraiment d'accord,Pas du tout d'accord,No rep.,Question
Total,Total,5979.002,0.2949999,0.455,0.05288396,0.24456506000000003,0.23448746,0.2680503899999999,0.185,0.01501313,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Gender,Man,2929.637,0.3096319782962872,0.4447223324937526,0.04796840000000001,0.26166378,0.235,0.2624613899999999,0.18106895,0.011837479999999997,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Gender,Woman,3049.36,0.28574399218196606,0.46105215520633835,0.05760661,0.22813741,0.2349999,0.27273850000000016,0.18845345,0.01806413,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Age,18-24,478.2759,0.3488248101148312,0.375,0.11089076,0.23840453999999991,0.2649999,0.198463,0.17597197,0.011269829999999998,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Age,25-34,836.9062,0.37096988885970733,0.3731972591432588,0.09167322,0.27989041000000003,0.23849339,0.2049999,0.16760385,0.01733923,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Age,35-49,1494.556,0.265,0.490938379023603,0.03864757,0.22567826000000002,0.23114671,0.29645246,0.19448619,0.01358822,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Age,50-64,1554.412,0.2497767644614169,0.5133449175636832,0.0410963,0.20868045,0.21822265,0.30318976,0.21015503,0.01865726,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Age,65+,1614.848,0.3206737104668675,0.425,0.04012355,0.2786349699999999,0.24198401,0.26153013,0.165,0.01272734,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Socio-Professional Category,Total-CSP+,1734.019,0.33470521372603185,0.42649451937954547,0.07151732,0.26318789,0.22723067,0.24982085,0.17667355,0.01156987,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Socio-Professional Category,Small Business owners,212.9949,0.29833855176814095,0.4749999,0.08529185,0.21304674,0.225,0.24395359999999994,0.23129746,0.0014103499999999999,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.3516131141608166,0.37677750441883223,0.06719759,0.28441559,0.2603461,0.21866317,0.15811405,0.01126331,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
