Indicator,Category,BASE,Nathalie Arthaud,Philippe Poutou,Fabien Roussel,Jean-Luc Mélenchon,Anne Hidalgo,Yannick Jadot,Emmanuel Macron,Valérie Pécresse,Nicolas Dupont-Aignan,Eric Zemmour,Marine Le Pen,Jean Lassalle,ST Blanc ou nul + NSP,J'ai voté blanc,J'ai voté nul,No rep.,Question
Total,Total,4388.087,0.00548626,0.0074877,0.02234278,0.21474170999999997,0.01716442,0.04532289,0.27239524,0.0467449,0.020181969999999997,0.06915371,0.22630016000000003,0.030660489999999995,0.0149999,0.014554990000000002,0.0043507,0.00311126,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Gender,Man,2277.301,0.00318454,0.005738630000000001,0.02353307,0.20463175,0.0172695,0.04112586000000001,0.27915906,0.05783772,0.01945946,0.07944036,0.21568853,0.0367899,0.0149999,0.01179461,0.00336065,0.00098911,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Gender,Woman,2110.782,0.00796957,0.00937477,0.021058610000000002,0.22564944999999997,0.01705108,0.04985115,0.2649999,0.03477703,0.02096152,0.05805569,0.23825175,0.02404757,0.028352837952948243,0.01753315,0.00541886,0.0049999,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Age,18-24,342.0195,0.01128799,0.005,0.01128949,0.23138344,0.01200354,0.05316635,0.2893203899999997,0.02980991,0.015,0.06013724,0.22209699000000002,0.0221485,0.03735617413627001,0.01993593,0.00969411,0.007726120000000001,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Age,25-34,599.8777,0.00758684,0.00355453,0.012384710000000002,0.27961209,0.01279233,0.04899483999999999,0.21318162,0.026212939999999997,0.025231489999999995,0.04927763000000001,0.27295547,0.02142258,0.025433267481021548,0.01995838,0.005,0.00183455,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Age,35-49,1037.63,0.00670255,0.0141488,0.01602422,0.22262261,0.01565126,0.05113873,0.25054935000000006,0.03244129,0.02625579,0.07007322,0.24321444,0.02908369,0.021847575725451266,0.015,0.00358432,0.00350973,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Age,50-64,1110.303,0.0049999,0.00694034,0.02617806,0.23943329,0.01747864,0.03853221,0.2522944699999998,0.03694655,0.0221843,0.06686469,0.23633333,0.03263071,0.0149999,0.01408864,0.00277833,0.00231654,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Age,65+,1298.252,0.00210287,0.00514438,0.03162613,0.15233968,0.02148496,0.04271933,0.32850000999999984,0.08050562999999998,0.012938060000000001,0.08193617,0.185,0.03674678,0.01895598851378623,0.010880879999999999,0.00522851,0.00284661,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Socio-Professional Category,Total-CSP+,1352.315,0.00633649,0.00974245,0.02200654,0.23950071,0.022560949999999996,0.051272849999999995,0.27621619,0.04012121,0.01944014,0.06383218,0.19777603999999996,0.028293939999999997,0.02290097351578589,0.01589414,0.00431132,0.00269553,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Socio-Professional Category,Small Business owners,137.851,0.02368446,0.00885147,0.02406685,0.14209444,0.00438612,0.02550589,0.2878258199999999,0.0386437,0.020685630000000003,0.08079434,0.265,0.0457254,0.03273588149523761,0.01996663,0.00874353,0.00402572,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
