Indicator,Category,BASE,ST Améliorée,ST Aggravée,Beaucoup améliorée,Un peu améliorée,Un peu aggravée,Beaucoup aggravée,N'a pas changée,No rep.,Question
Total,Total,5979.002,0.3334240396641446,0.4261977166088922,0.0593043,0.27375165,0.27156589,0.155,0.20222455,0.03815361,"q8v13b_i6. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de rôle de la France dans le monde"
Gender,Man,2929.637,0.3445280080774512,0.44958368562385026,0.06166057,0.28286726,0.27616254,0.17342148999999998,0.17877665,0.02711399,"q8v13b_i6. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de rôle de la France dans le monde"
Gender,Woman,3049.36,0.3227569063672377,0.405,0.05704059,0.2649999,0.26786785,0.13657997,0.22475182000000002,0.04875987,"q8v13b_i6. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de rôle de la France dans le monde"
Age,18-24,478.2759,0.3749999,0.355,0.08975296,0.28499990000000003,0.25799888000000004,0.09670203,0.20365971,0.06688652,"q8v13b_i6. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de rôle de la France dans le monde"
Age,25-34,836.9062,0.37117337641900605,0.3789278894098287,0.06769528,0.3034781,0.24522808,0.13370005,0.23059597,0.01930259,"q8v13b_i6. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de rôle de la France dans le monde"
Age,35-49,1494.556,0.30133926062322186,0.445,0.04258167,0.25875758,0.28768797000000007,0.15831157,0.2049999,0.04766131,"q8v13b_i6. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de rôle de la France dans le monde"
Age,50-64,1554.412,0.3076166421772349,0.4393751463575937,0.06105376,0.24656282,0.26611317,0.17326179,0.21098544,0.04202441,"q8v13b_i6. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de rôle de la France dans le monde"
Age,65+,1614.848,0.3559470612714014,0.44209058685399494,0.05973049,0.2962911900000001,0.28079144,0.16129896,0.1749999,0.02688802,"q8v13b_i6. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de rôle de la France dans le monde"
Socio-Professional Category,Total-CSP+,1734.019,0.36666086127083963,0.4012105403689348,0.06697187,0.29968882,0.2545396,0.14667094,0.21405612999999998,0.01807274,"q8v13b_i6. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de rôle de la France dans le monde"
Socio-Professional Category,Small Business owners,212.9949,0.3083518901156788,0.46238524959987304,0.05183655,0.25651534,0.34111564,0.12095008,0.16458239,0.065,"q8v13b_i6. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de rôle de la France dans le monde"
