Indicator,Category,BASE,ST Improbable,ST probable,Tout à fait improbable,Plutôt improbable,Plutôt probable,Tout à fait probable,No rep.,Question
Total,Total,1935.377,0.5165971281047569,0.42445601037937314,0.18820674,0.3283909,0.31447558,0.10998033,0.05894696,"comp2v13b_i6_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Gender,Man,971.6732,0.5387070467725157,0.408579551231834,0.22071865,0.31798819,0.31092594,0.09765339,0.05271372,"comp2v13b_i6_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Gender,Woman,963.7041,0.495,0.44046331233829966,0.15542582,0.33911076000000007,0.31805427,0.12240925,0.0649999,"comp2v13b_i6_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Age,18-24,154.9066,0.6462352152845651,0.3440324685972063,0.2091182,0.4371172,0.22135182999999997,0.1226807,0.00973222,"comp2v13b_i6_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Age,25-34,254.6808,0.48187495877192155,0.46075204726858093,0.20043737,0.28143778,0.35345326,0.10729867000000001,0.05737288000000001,"comp2v13b_i6_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Age,35-49,476.7228,0.505,0.39283206089576583,0.15749253,0.345,0.3112999800000001,0.08141043,0.10479706,"comp2v13b_i6_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Age,50-64,527.0114,0.4692192616706204,0.48812321706892875,0.20941520000000002,0.25980425,0.37312312,0.115,0.04265743,"comp2v13b_i6_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Age,65+,522.0563,0.5549999,0.39521771885522694,0.18267206,0.37321645,0.26661052,0.12860728,0.04889346,"comp2v13b_i6_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Socio-Professional Category,Total-CSP+,602.8223,0.5635335653641214,0.405,0.24100601,0.32252722,0.31501638,0.08988082,0.03156894,"comp2v13b_i6_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Socio-Professional Category,Small Business owners,69.45517,0.5149999,0.467141178979189,0.1649999,0.35061434000000014,0.31045565,0.15668553,0.01724458,"comp2v13b_i6_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Socio-Professional Category,Cadres/Prof Lib,192.9888,0.5649999,0.4062909868344692,0.21358727,0.35265357,0.29964915,0.10664194,0.02746802,"comp2v13b_i6_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Socio-Professional Category,Prof Intermed,327.2908,0.58574026523202,0.39382377995348483,0.28040257,0.30533773,0.3293212,0.06450255,0.020435819999999997,"comp2v13b_i6_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
