Indicator,Category,BASE,ST Improbable,ST probable,Tout à fait improbable,Plutôt improbable,Plutôt probable,Tout à fait probable,No rep.,Question
Total,Total,2045.387,0.7174705813618646,0.2249999,0.46984159,0.24929238,0.14909037,0.07499990000000001,0.05677576,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Gender,Man,988.965,0.7462784830605734,0.20992765163580104,0.50728266,0.23899552000000002,0.1405889,0.06933877,0.043794129999999994,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Gender,Woman,1056.424,0.690501730365838,0.2405688435703846,0.43157094,0.25893088,0.15704859,0.08352024999999999,0.06892835,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Age,18-24,172.1535,0.6981653001536419,0.2436810753194097,0.3785923,0.31957306,0.13034182,0.11333932,0.05815362,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Age,25-34,293.5343,0.6953732493953859,0.25987995270058734,0.42784983,0.26752349,0.19605524999999996,0.0638247,0.04474734,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Age,35-49,510.9997,0.710532315381007,0.225,0.45496468,0.25579271,0.14737218,0.07687053,0.0649999,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Age,50-64,498.25,0.707888208730557,0.2137609633718013,0.46681565,0.24107215,0.14933353,0.06442752,0.07835065,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Age,65+,570.4509,0.749252740244603,0.21461145911067891,0.52919471,0.2200575,0.13190832,0.08270314,0.03613608,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Socio-Professional Category,Total-CSP+,622.673,0.7500493838660099,0.21318380594629924,0.50213884,0.24791038,0.13899382,0.07419002,0.03676625,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Socio-Professional Category,Small Business owners,83.97375,0.6614713526548476,0.2660290864704744,0.46276449000000003,0.19870685999999999,0.19909996,0.06692917,0.07249928,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Socio-Professional Category,Cadres/Prof Lib,221.9442,0.7149998999999999,0.24664393122235231,0.52265029,0.19445915,0.14700618,0.09963770000000001,0.03624621,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Socio-Professional Category,Prof Intermed,308.3514,0.7926618786228957,0.17892683477357327,0.49931117999999997,0.29335096,0.11905417,0.05987266,0.028411350000000002,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Socio-Professional Category,Total-CSP-,565.5397,0.6947657255538382,0.21823030284169262,0.4221334799999999,0.27207144,0.14379125,0.075,0.08700383,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Socio-Professional Category,Salaried,328.1974,0.730702010436402,0.2073184004504606,0.46666488,0.26403753,0.13750645,0.06981186,0.0619791,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Socio-Professional Category,Blue collar,237.3422,0.6450723891495065,0.2333194012695593,0.36007251000000007,0.28500000000000003,0.15248199,0.08083742,0.12160808,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
