Indicator,Category,BASE,Plutôt de gauche,Plutôt de droite,Ni de gauche ni de droite,Vous ne savez pas,No rep.,Question
Total,Total,480.0323,0.2401171999999999,0.21992833,0.13646978,0.1649999,0.23848479,"ce1_i4. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre ancien conjoint"
Gender,Man,206.5727,0.2983993600000001,0.20689128,0.1849999,0.10132733000000001,0.20838213,"ce1_i4. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre ancien conjoint"
Gender,Woman,273.4595,0.1959315,0.22977647999999998,0.09967059,0.21339727,0.26122439,"ce1_i4. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre ancien conjoint"
Age,18-24,10.60496,0.26383296,0.029434839999999997,0.15564217,0,0.55109006,"ce1_i4. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre ancien conjoint"
Age,25-34,9.216074,0,0.12672392,0.25952342,0,0.61375267,"ce1_i4. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre ancien conjoint"
Age,35-49,74.92497,0.18531539,0.11985877,0.10237427,0.2219124,0.37053935,"ce1_i4. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre ancien conjoint"
Age,50-64,137.2983,0.155,0.22400292,0.14233119,0.24163410999999993,0.23703177999999997,"ce1_i4. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre ancien conjoint"
Age,65+,247.988,0.3114562,0.25951643,0.13813297,0.11881801,0.17207671,"ce1_i4. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre ancien conjoint"
Socio-Professional Category,Total-CSP+,93.52774,0.21776982999999997,0.21124193,0.11101476,0.14122495,0.31874843,"ce1_i4. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre ancien conjoint"
Socio-Professional Category,Small Business owners,4.911169,0.39260326999999995,0.4162227,0,0,0.1911741,"ce1_i4. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre ancien conjoint"
