Indicator,Category,BASE,ST Souvent + De temps en temps,Souvent,De temps et temps,Jamais,No rep.,Question
Total,Total,5979.002,0.7449998999999999,0.12499990000000001,0.6202322100000001,0.24661273000000003,0.00815516,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Gender,Man,2929.637,0.7698465714353007,0.12961203,0.64023563,0.21682359,0.01332997,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Gender,Woman,3049.36,0.7215838733373561,0.12160322,0.59998065,0.27523205,0.00318353,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Age,18-24,478.2759,0.7067242986736317,0.14119599,0.56552839,0.28963533,0.0036406,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Age,25-34,836.9062,0.7687200787854123,0.15707292,0.61171485,0.2249999,0.00621233,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Age,35-49,1494.556,0.7349998999999999,0.10176700999999999,0.63414793,0.2582654,0.00581932,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Age,50-64,1554.412,0.7321083470791527,0.1216754,0.61043366,0.25747601,0.01041647,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Age,65+,1614.848,0.7657216035193405,0.13023622,0.63548458,0.22379506,0.010484309999999998,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Socio-Professional Category,Total-CSP+,1734.019,0.7704442684884075,0.13561674,0.63482811,0.22138045000000003,0.00817497,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Socio-Professional Category,Small Business owners,212.9949,0.7157706592974762,0.10764633,0.60812489,0.28075391,0.00347547,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
