Indicator,Category,BASE,Les deux questions sont de même importance,Les questions de nature économique et sociale,Les questions liées à son identité culturelle,No rep.,Question
Total,Total,5979.002,0.515,0.37129962,0.09972554,0.01397484,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Gender,Man,2929.637,0.4949999,0.3818679900000001,0.10769508,0.01543703,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Gender,Woman,3049.36,0.535,0.36036089000000004,0.09206902,0.01257009,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Age,18-24,478.2759,0.48768796,0.3814104,0.12737232,0.00352955,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Age,25-34,836.9062,0.4431027,0.39464614,0.1460227,0.01622839,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Age,35-49,1494.556,0.52114514,0.36861000999999993,0.09695783,0.01328646,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Age,50-64,1554.412,0.51084867,0.39369504,0.08755536,0.00790238,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Age,65+,1614.848,0.55799276,0.3378052899999999,0.08181990000000001,0.022382869999999996,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Socio-Professional Category,Total-CSP+,1734.019,0.46176339,0.41731913,0.11657687,0.00434082,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Socio-Professional Category,Small Business owners,212.9949,0.52699759,0.34148456,0.13151813,0,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.41883050000000005,0.4349999,0.13996852,0.00620108,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Socio-Professional Category,Prof Intermed,896.9079,0.47698910999999994,0.42287118,0.09588041000000001,0.00425809,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Socio-Professional Category,Total-CSP-,1674.09,0.50100909,0.38192523,0.10119922,0.01586676,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Socio-Professional Category,Salaried,956.6466,0.51072345,0.39176808,0.08250847,0.015,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Socio-Professional Category,Blue collar,717.4432,0.48729350000000005,0.36880062,0.12499990000000001,0.01890598,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Political similarity,Far left,187.3446,0.31969339,0.45976004,0.22054700000000002,0,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Political similarity,Radical left,828.7407,0.35127175,0.5405599499999999,0.10316829999999999,0.005,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Political similarity,Left,1430.296,0.40929773,0.52595687,0.0597455,0.0049999,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Political similarity,PC/LFI,641.3963,0.36049522000000006,0.56420375,0.06888329,0.006417970000000001,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Political similarity,PS,449.3176,0.43722724999999996,0.4955971,0.06250174,0.00467399,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Political similarity,EELV,339.583,0.465,0.49260719000000003,0.03883925,0.0035535600000000003,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Political similarity,EM,672.9198,0.49753552,0.4320587699999999,0.06482113,0.00558403,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Political similarity,MoDem,161.1257,0.50798991,0.46425815000000004,0.02216837,0.00558333,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Political similarity,Right,573.0042,0.57086335,0.28327785,0.14040925,0.00544964,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Political similarity,UDI/PR,89.32552,0.48310472,0.43030402,0.08659153,0,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Political similarity,LR,397.5368,0.60014545,0.26760265,0.12439749,0.00785504,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Political similarity,Radical right,1008.8,0.5535441799999999,0.21499990000000002,0.22590404,0.00555188,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Political similarity,Debout la France,86.14185,0.52673375,0.20315723,0.27010878,0,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Political similarity,Reconquete,205.4045,0.47736958,0.10814836,0.41090293000000006,0.00357925,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Political similarity,RN,717.2537,0.58026511,0.24711912,0.16761587,0.0049999,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Political similarity,No preference,1860.95,0.58944364,0.31691034,0.06864612,0.0249999,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Politics,Total-left,1649.278,0.3955543,0.53824617,0.06119963,0.0049999,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Politics,Very Left,217.9165,0.37004192,0.53207215,0.09788625,0,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Politics,Left,1431.362,0.39943851,0.5393655099999999,0.054999900000000004,0.00619608,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Politics,Center,776.1196,0.45401972,0.47214511000000003,0.065,0.00883517,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Politics,Total-right,1622.94,0.54557137,0.25955513,0.19032478000000003,0.00454815,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Politics,Right,1193.119,0.5624428899999999,0.28266066,0.14989645,0.005,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Politics,Very Right,429.8207,0.49608819,0.1949999,0.30254778,0.00636413,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Politics,Both left and Right,200.4265,0.56806859,0.39775309000000003,0.03276408,0.00141432,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Politics,Neither left nor right,1673.316,0.62303175,0.27186778,0.07612214,0.028979239999999996,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Loss of job risk,High risk,556.2398,0.4749999,0.35809745,0.15831997,0.00858268,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Loss of job risk,Low risk,1874.312,0.46846176,0.42886926,0.10000016,0.0026690899999999994,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
Loss of job risk,Zero risk,3478.817,0.54722602,0.34499989999999997,0.09059654,0.01717754,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
1st round vote,Arthaud,24.07418,0.3700345299999999,0.46342471,0.16654063000000002,0,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
1st round vote,Poutou,32.85668,0.48755860000000006,0.43623092999999996,0.06121057,0.0149999,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
1st round vote,Roussel,98.04205,0.50111926,0.42024601,0.06711709,0.01151743,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
1st round vote,Melenchon,942.3053,0.37906737999999995,0.5528928999999999,0.05303972,0.015,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
1st round vote,Hidalgo,75.31895,0.43877697000000004,0.5449999,0.01622313,0,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
1st round vote,Jadot,198.8808,0.44990633,0.49138388,0.05264234,0.006067599999999999,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
1st round vote,Macron,1195.294,0.50457611,0.409306,0.07863809,0.007481130000000001,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
1st round vote,Pecresse,205.1207,0.56401621,0.31758799,0.10890827,0.0094874,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
1st round vote,Dupont-Aignan,88.56025,0.57053768,0.24783636,0.1692441,0.01238172,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
1st round vote,Zemmour,303.4525,0.54469217,0.13052507,0.3152726,0.00951051,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
1st round vote,Le Pen,993.0248,0.59179106,0.24328889,0.15956973,0.00535031,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
1st round vote,Lassalle,134.5409,0.63912268,0.29127879,0.06037016,0.00922798,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
1st round vote,Blank/Null/NA,96.61228,0.54239534,0.3466579,0.07823099,0.03271557,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
1st round vote,Blank,63.86856,0.52161784,0.38575459,0.07300935,0.01961798,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
1st round vote,Null,19.09123,0.6049999,0.26344046000000004,0.10598678,0.02557286,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
2nd round vote,Macron,2287.563,0.4809106800000001,0.4349999,0.07681939,0.007270029999999999,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
2nd round vote,Le Pen,1619.66,0.55852339,0.2605069,0.17398052999999997,0.00698901,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
2nd round vote,Blank/Null/NA,370.4173,0.5163903,0.40663975,0.05406362,0.0229066,"q9v13b. Pour l'avenir de la France, qu'est-ce qui vous paraît le plus important ?"
