Indicator,Category,BASE,Méfiance,Lassitude,Morosité,Confiance,Sérénité,Peur,Bien-être,Enthousiasme,No rep.,Nombre moyen,Question
Total,Total,5979.002,0.39999250711071843,0.39350145726661406,0.320166643195637,0.17091949459123779,0.158583121397183,0.14112430469165255,0.1211010466295211,0.07110405716539316,0.007399746646681167,1.789738,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Gender,Man,2929.637,0.40983985387950794,0.380024555943279,0.3323953104087639,0.1820168505517919,0.17915263904709014,0.12036552651403569,0.12135708280582201,0.06310798914677825,0.00824434904392592,1.803124,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Gender,Woman,3049.36,0.3905321116562164,0.4064505338825196,0.30841888133903506,0.16025841488049952,0.13882191673006794,0.16106819135818662,0.1208551958443739,0.0787862699058163,0.006588313613348375,1.7769,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Age,18-24,478.2759,0.3942931266241933,0.2679802599294675,0.22532600952713697,0.20135325656174605,0.1943052116989378,0.13530637859862896,0.1632213958512231,0.08923592010385638,0.0039283748146205985,1.677611,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Age,25-34,836.9062,0.38205500210178867,0.3759185915936577,0.25407948943382186,0.15767059677655632,0.1539073315504175,0.14777390823487746,0.15017214593463402,0.12388031060111634,0.0068732672789375915,1.757539,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Age,35-49,1494.556,0.3957123051929804,0.4438219109889492,0.31037512144074897,0.15163948356568774,0.13187923369883764,0.13413615816336089,0.12026093368197646,0.08624762136714852,0.0068304700526443975,1.786274,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Age,50-64,1554.412,0.40153755889686904,0.4260532600108594,0.34044358895839716,0.17086724755084237,0.157647329022164,0.14854317902846864,0.11841049863228023,0.05758067359232945,0.006860517031520601,1.833661,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Age,65+,1614.848,0.41345123503883957,0.36188570069752696,0.3720514252734623,0.18666722812301842,0.17604257490488268,0.13872791742628407,0.09692720305564362,0.03738402623652505,0.009746663463062778,1.800686,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Socio-Professional Category,Total-CSP+,1734.019,0.3771830066452559,0.3885220980854304,0.29130297880242373,0.17095573923930474,0.1535843609556758,0.13761262131499136,0.13479627385859094,0.08559364113080652,0.004134165196575124,1.746772,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Socio-Professional Category,Small Business owners,212.9949,0.5409340787032929,0.2474506197096738,0.23454955963734342,0.12205935447280662,0.11460382384742544,0.12383296501465527,0.11518534011847231,0.07685019688264837,0,1.575465,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.31281134391868515,0.3775066598143898,0.25509802541039656,0.21441433185032713,0.16968332413248488,0.12534102648021472,0.13421805860369085,0.07415149139872575,0.00803139080872866,1.676691,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Socio-Professional Category,Prof Intermed,896.9079,0.3777320949007139,0.4256986698411286,0.3343616440439425,0.1553064701515061,0.1541965457099887,0.15117694916055482,0.1369709197566439,0.09300663981218138,0.002638324403207955,1.833288,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Socio-Professional Category,Total-CSP-,1674.09,0.40434421088471945,0.4223124802131307,0.2999538853944531,0.1581102569156975,0.13284011014939462,0.1342762336552993,0.11948569073347311,0.08200909150643038,0.009724495098829812,1.770548,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Socio-Professional Category,Salaried,956.6466,0.3998668891939824,0.4646447287849034,0.3203965811408309,0.14083173451930944,0.12702287344145685,0.13674182294694823,0.1116339095335728,0.0865549723377473,0.01343387411819579,1.812036,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Socio-Professional Category,Blue collar,717.4432,0.41031415448637604,0.36586603650295935,0.27269489765879723,0.18114953211627063,0.14059677476906882,0.1309885995156132,0.1299554166796758,0.07594760114807694,0.004778364336019911,1.715712,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Political similarity,Far left,187.3446,0.3372684881229563,0.3101023461578289,0.22333299171686824,0.19728046605026242,0.2533352976280074,0.14196955770275738,0.24522660380923705,0.1708897934608203,0,1.879406,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Political similarity,Radical left,828.7407,0.3918523610581694,0.3677416832550881,0.29208713895673283,0.14110288055117845,0.16415062033275304,0.14481912134881272,0.14871623898765923,0.11255119966957097,0.001895841485762676,1.766369,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Political similarity,Left,1430.296,0.3690678712658079,0.3965453304770481,0.33096736619552874,0.14778752090476377,0.15978273028799633,0.12917899511709463,0.1315257121602801,0.07718828829836621,0.007105368399268403,1.754509,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Political similarity,PC/LFI,641.3963,0.4077957730657317,0.3845770547787694,0.3121692470006453,0.12469398404699249,0.13810078106156834,0.1456514014814242,0.12052662293187534,0.09551115277715197,0.0024495947357351454,1.733271,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Political similarity,PS,449.3176,0.3328436277590729,0.3715590041431718,0.32535983455800527,0.1944098784467824,0.18097174470797492,0.10005857771874505,0.14167918194168222,0.05954255965045661,0.009677929375568639,1.7231,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Political similarity,EELV,339.583,0.34384936819569883,0.4522096218008557,0.3738918025931804,0.12971732978388198,0.17269851553228516,0.13659641383697063,0.13886572649396467,0.06592821195407308,0.012495177909377087,1.836708,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Political similarity,EM,672.9198,0.17714473552420362,0.18403099448106594,0.15481711193518158,0.4481939749729462,0.29270531198517263,0.0905463474250572,0.1908533528066792,0.1569782907264729,0.004648617859067306,1.703189,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Political similarity,MoDem,161.1257,0.2805727453782978,0.3651809115491818,0.21049596681348787,0.28283545083124545,0.20443796365198105,0.10879201766074562,0.1203463507063119,0.05690120818714829,0,1.629563,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Political similarity,Right,573.0042,0.41947825164283264,0.36100765055474293,0.33971269320539016,0.1652712144169275,0.1642431416733071,0.14052607293279876,0.1165196171336964,0.04025220059469023,0.004123184437391558,1.754244,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Political similarity,UDI/PR,89.32552,0.2110234566784498,0.23118656348152244,0.17156563992014823,0.36700430067465606,0.3430063435398977,0.04922655921846299,0.2746265568899011,0.030046844395644156,0.01107856411023412,1.696481,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Political similarity,LR,397.5368,0.4348845188671841,0.34305553599063027,0.354229344302213,0.14327292467011857,0.15019210800107058,0.15037246866202073,0.09667829494024201,0.03943808472574111,0,1.712123,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Political similarity,Radical right,1008.8,0.5103015463917526,0.47256770420301347,0.39466514670896113,0.1056849722442506,0.08646638580491674,0.2307656621728787,0.07423848136399683,0.04708722244250595,0.004423922482157019,1.930316,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Political similarity,Debout la France,86.14185,0.5645393034860523,0.5784729489789225,0.44708083237125734,0.057602860862635295,0.04371757746089734,0.18975956518231268,0.04413521418451078,0.05459189696993969,0.01593887291717092,2.011968,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Political similarity,Reconquete,205.4045,0.5024612411120496,0.48029989605875234,0.4671308564320645,0.08024030632240287,0.1025713652816759,0.2449105058555192,0.06161768607795836,0.045829477932567204,0.002696735952717686,1.99043,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Political similarity,RN,717.2537,0.5060326631985308,0.45763416765922577,0.36761748318621434,0.11874635153502869,0.08698842543440348,0.23163979495679143,0.08146814718418323,0.04654611053243783,0.0035356081118856552,1.903405,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Political similarity,No preference,1860.95,0.4576595824713184,0.45562497649050215,0.35041215508208173,0.11467573013783282,0.1304131760659878,0.12198205217765119,0.10153840780246648,0.051031865445068374,0.012402514844568634,1.805731,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Politics,Total-left,1649.278,0.37296338155241265,0.39402659830544035,0.3397714636343903,0.1481022605042934,0.1786072451096783,0.11263061776122642,0.129737800419335,0.08596379749199347,0.011349475346181784,1.782028,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Politics,Very Left,217.9165,0.39399637016930794,0.44574944990397697,0.3608149451739542,0.12579919372787282,0.15914292859879817,0.10747130208130178,0.125090665461312,0.1225195889251158,0.019138358040809208,1.876497,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Politics,Left,1431.362,0.3697611086503623,0.38615186095481085,0.3365674790863527,0.15149766446223947,0.18157049020443464,0.1134161029844302,0.1304452682130726,0.08039831992186462,0.010163662302059156,1.767774,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Politics,Center,776.1196,0.266924195703858,0.30513789369576544,0.20238169478003132,0.29822581468113935,0.2209417208378709,0.10416729586522488,0.1548899164510212,0.0868981662104655,0.0032128785305769883,1.644851,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Politics,Total-right,1622.94,0.4298977164898271,0.37466147855127113,0.3425873414913675,0.1674280010351584,0.13406971299000578,0.1827145180967873,0.10373328650473831,0.06236441273244852,0.0023821693962808236,1.801747,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Politics,Right,1193.119,0.40264307248480663,0.34222604786278654,0.3351574319074627,0.1773354543846842,0.15156149554235582,0.1574759935932627,0.10925599206784907,0.06719913101710727,0.0020895769826815265,1.746505,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Politics,Very Right,429.8207,0.5055521988587334,0.46469795428651994,0.3632119160384784,0.13992627623564896,0.08551530905793975,0.25277307491239953,0.0884031178582139,0.048943850307814396,0.003194364533862608,1.95527,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Politics,Both left and Right,200.4265,0.41378585167131093,0.43422336866631905,0.32055646334192334,0.2358814328444592,0.10540053336260426,0.15540594681840972,0.10491317265930404,0.044579005271259034,0.003307257772799505,1.820767,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Politics,Neither left nor right,1673.316,0.4564464213573527,0.45193095625691737,0.3368981112951767,0.13126803305532248,0.14204896146334584,0.14550760286759942,0.11662041120744676,0.06168243177020957,0.009262637780311668,1.859627,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Loss of job risk,High risk,556.2398,0.4850357705435678,0.46903943227363454,0.3271419988285628,0.11348170339483081,0.08018151523857157,0.22550507892459334,0.08661492759058234,0.07128937914906486,0.003519690608259244,1.864851,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Loss of job risk,Low risk,1874.312,0.39438556654388385,0.4048533541907644,0.30884719299668356,0.16125490313245608,0.14450118230049214,0.13105907661051097,0.12711859071488632,0.08463825659762089,0.0036917717007627334,1.763165,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
Loss of job risk,Zero risk,3478.817,0.3863899710735,0.374582508939102,0.3260073754957504,0.18769090182093512,0.17965960842435805,0.13430036705006326,0.12559789721620884,0.064867194796392,0.009061281464359867,1.795366,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
1st round vote,Arthaud,24.07418,0.2923289599064226,0.3242846485321619,0.2584611396940623,0.16341885788010227,0.10877192909581967,0.14671556829765334,0.18531459846192064,0.11852490925963004,0,1.597821,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
1st round vote,Poutou,32.85668,0.409884687071244,0.35478051951688366,0.23414678537210698,0.12384784463920276,0.3418215108769359,0.2199771857655734,0.06292437336943356,0.05411566232498232,0,1.801498,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
1st round vote,Roussel,98.04205,0.47809506227174975,0.4610828720941677,0.3244482342015492,0.10727386871245552,0.16088515081029006,0.15224742852684128,0.0863730919539116,0.0662605382078404,0.006742758846841737,1.849134,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
1st round vote,Melenchon,942.3053,0.39868108563116433,0.40473008058004134,0.31867272740586305,0.13411364660689057,0.13861059679914778,0.13360086163157525,0.13196880034528088,0.08767757116509904,0.012281645874219321,1.769791,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
1st round vote,Hidalgo,75.31895,0.34493922180274683,0.4773571591213101,0.3196040305925667,0.07206750757943385,0.1385712360567958,0.09862332122261397,0.055883691952689205,0.024372684430677805,0.034481933165557935,1.586111,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
1st round vote,Jadot,198.8808,0.3395385577692769,0.37099513879670637,0.3082892868492082,0.17502629715890122,0.19453190051528352,0.07792180039501048,0.12242634784252679,0.08052401237324065,0.011273466317512802,1.688286,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
1st round vote,Macron,1195.294,0.20726632945534737,0.22826116419893347,0.1922762098697057,0.370274760853815,0.26246705831368683,0.10724148201195689,0.1815186891258552,0.11264835262286933,0.005577912212392934,1.671275,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
1st round vote,Pecresse,205.1207,0.38867539941117596,0.3478322763134096,0.3099001709725055,0.16553673032512078,0.2027513069134417,0.11052614387528903,0.12382348539177176,0.03702884691793661,0.0055017167940632035,1.695402,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
1st round vote,Dupont-Aignan,88.56025,0.5317320129516346,0.5171423974074147,0.4925023359803072,0.08556216812847751,0.06400947377632742,0.18864818019370994,0.07159506663542617,0.0552637215906685,0,2.006455,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
1st round vote,Zemmour,303.4525,0.48351982600242216,0.4780777881216995,0.43087402476499614,0.07733777115034479,0.11059012530791475,0.1952248210181165,0.07330620113526828,0.0410010133381666,0.0018253983737158204,1.893388,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
1st round vote,Le Pen,993.0248,0.5270705223071971,0.4703233997781324,0.3692321682197665,0.1066948176923678,0.09699555338396382,0.207972650834098,0.08559463973105204,0.04574737710478127,0.005413361277583399,1.920026,"q1. Parmi les qualificatifs suivants, quels sont ceux qui caractérisent le mieux votre état d'esprit actuel ?"
