Indicator,Category,BASE,ST Oui,ST Non,"Oui, tout à fait","Oui, plutôt","Non, plutôt pas","Non, pas du tout",No rep.,Question
Total,Total,5979.002,0.44401239537969717,0.5414729749212326,0.13953212,0.30399440999999994,0.30447673,0.23699674,0.015,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Gender,Man,2929.637,0.47313472624765457,0.5100655815037836,0.1549999,0.31813332000000005,0.30415017,0.20591526999999998,0.01680134,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Gender,Woman,3049.36,0.4149999,0.575,0.1238836,0.2919427200000001,0.305,0.26685777,0.01231591,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Age,18-24,478.2759,0.5369839876941322,0.457948226118021,0.14662016,0.39043184000000014,0.2524823,0.2054658,0.0049999,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Age,25-34,836.9062,0.5145117816070666,0.465,0.14247188,0.3720399,0.26550168,0.19946943,0.02051693,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Age,35-49,1494.556,0.45595026215143497,0.5349999,0.1293809,0.32656916,0.28242348,0.25425176,0.00737412,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Age,50-64,1554.412,0.43184702639969325,0.5499358599907875,0.15818342,0.27366348,0.31327505,0.23666132,0.01821827,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Age,65+,1614.848,0.38060263256975274,0.6021561162412808,0.12735112,0.25325145,0.35201908,0.25013766,0.01724194,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Socio-Professional Category,Total-CSP+,1734.019,0.49308369746813613,0.49626884134487564,0.15112147,0.34029159999999997,0.305,0.19293912,0.01064781,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Socio-Professional Category,Small Business owners,212.9949,0.42436325940198566,0.5756372570423047,0.09473297000000001,0.3296302400000001,0.37787323,0.19776389,0,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.5320150226079983,0.4571115311744871,0.15478354,0.37723154999999997,0.27023051,0.18688102,0.01087348,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Socio-Professional Category,Prof Intermed,896.9079,0.4841618632191778,0.5071827330320092,0.15918457,0.32497751,0.30852031,0.19866253999999997,0.00865417,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Socio-Professional Category,Total-CSP-,1674.09,0.48240662091046477,0.505,0.1503191,0.33208746,0.25665048,0.2474588,0.01348391,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Socio-Professional Category,Salaried,956.6466,0.43998504776999153,0.549636511539371,0.13320269,0.30678236,0.27873292,0.27090338,0.01037801,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Socio-Professional Category,Blue collar,717.4432,0.5349999,0.445,0.17314221,0.3649999,0.22803535999999994,0.21619718,0.01762535,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Political similarity,Far left,187.3446,0.6258605799153004,0.3741395802174175,0.23599986,0.38986097999999997,0.26408885,0.11005073,0,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Political similarity,Radical left,828.7407,0.7199780341426457,0.275,0.29795037,0.4229324699999999,0.19787589,0.07624137,0.0049999,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Political similarity,Left,1430.296,0.6149998999999999,0.375,0.2249999,0.39116352,0.25597492,0.11772871,0.01013295,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Political similarity,PC/LFI,641.3963,0.7449998999999999,0.245,0.3149999,0.43246841000000014,0.17853579999999997,0.06636604,0.00762985,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Political similarity,PS,449.3176,0.46888815394723016,0.5217609993465646,0.155,0.31414171,0.33725480999999996,0.18425259000000002,0.00935089,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Political similarity,EELV,339.583,0.5630249453005598,0.42107908817579204,0.14778628,0.4149999,0.29459782000000007,0.12672048,0.01589552,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Political similarity,EM,672.9198,0.30559852749168626,0.6821175420904542,0.0810164,0.225,0.38057328,0.30112652,0.012283799999999997,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Political similarity,MoDem,161.1257,0.4537912946227697,0.5410143757327354,0.08066218,0.37312912,0.3815837000000001,0.15943062,0.00519418,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Political similarity,Right,573.0042,0.36541913654385083,0.6283714848861492,0.077099,0.28832005,0.40158917999999993,0.22799187,0.0049999,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Political similarity,UDI/PR,89.32552,0.3549999,0.635,0.05164305000000001,0.3049999,0.36588601000000004,0.26607592,0.011395119999999998,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Political similarity,LR,397.5368,0.3299948583376432,0.6636157960722125,0.06381706,0.26617787,0.4338876300000001,0.22972824,0.00638977,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Political similarity,Radical right,1008.8,0.49748632038065027,0.4986642545598731,0.17505233999999997,0.32243378,0.27181909,0.22684495999999998,0.00384997,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Political similarity,Debout la France,86.14185,0.5376319408046146,0.46236805919538526,0.165,0.37263193999999994,0.28188122,0.18048684,0,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Political similarity,Reconquete,205.4045,0.5123889690829558,0.485,0.21712071,0.29499990000000004,0.2670292,0.21677169,0.0040785,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Political similarity,RN,717.2537,0.4849999,0.5073566019945244,0.16423742000000002,0.32340598,0.27205924,0.23529736,0.005,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Political similarity,No preference,1860.95,0.332068728337677,0.6465934065934066,0.0849999,0.24683097,0.30907596,0.33775510000000014,0.02133807,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Politics,Total-left,1649.278,0.6155469241692425,0.3737865902534321,0.24631439000000002,0.36923223,0.25050713,0.12327933999999999,0.010666880000000002,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Politics,Very Left,217.9165,0.8044686841060681,0.175,0.49212978,0.31233872,0.12599932,0.04599578,0.023536799999999997,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Politics,Left,1431.362,0.5867845450696609,0.4045080839088923,0.20889041,0.37793961000000004,0.26946258,0.1349999,0.0087075,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Politics,Center,776.1196,0.43479973962775836,0.5559326165709512,0.10129431,0.33350543000000005,0.3554755,0.20045725,0.00926708,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Politics,Total-right,1622.94,0.41367678410785363,0.5819769061086669,0.12231611,0.29136068,0.33909916,0.24222405,0.005,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Politics,Right,1193.119,0.3762617140452881,0.6193811346563084,0.095,0.28161499,0.37390339000000006,0.24512567,0.00435595,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Politics,Very Right,429.8207,0.517536033048199,0.4749999,0.19912269999999999,0.31772861999999985,0.24397941,0.23416927,0.005,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Politics,Both left and Right,200.4265,0.4207310410549503,0.5792692084130591,0.08263781999999999,0.33809322,0.43722916,0.14204025,0,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Politics,Neither left nor right,1673.316,0.32051501330292664,0.6579916764078034,0.07814902,0.24236606,0.28666982,0.37132251,0.021493509999999997,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Loss of job risk,High risk,556.2398,0.5820523810054584,0.41203308357294827,0.2842551,0.29811201000000004,0.21671858,0.1949999,0.00591441,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
