Indicator,Category,BASE,Manifester dans la rue,Faire grève,Boycotter des entreprises ou des produits,Voter aux élections,Militer dans un parti politique,"Discuter sur internet, sur un blog ou un forum",Rien de tout cela,No rep.,Question
Total,Total,5979.002,0.17465356,0.17126253,0.15886762,0.12815288,0.04871726,0.03273807,0.10847049,0.17713725,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Gender,Man,2929.637,0.17768159000000014,0.17321986,0.175,0.13363898,0.06210817,0.02894436,0.09879053000000002,0.15061651,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Gender,Woman,3049.36,0.17093105000000003,0.16938245999999998,0.14417993,0.12288224,0.03585218,0.03638288,0.11777071,0.20261726999999996,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Age,18-24,478.2759,0.19637933000000002,0.15846958,0.10366918,0.12098076,0.04363193,0.0657583,0.10926777,0.20184314,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Age,25-34,836.9062,0.1949999,0.23820256999999997,0.10135527,0.14735092,0.03694913,0.04891129,0.07347561,0.15875531,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Age,35-49,1494.556,0.14867198,0.1621972,0.16448504,0.12546837,0.02860699,0.04015538,0.10843561999999998,0.22197896999999997,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Age,50-64,1554.412,0.20861158999999993,0.16427234,0.17139375,0.11230941,0.055,0.026009890000000004,0.10106761,0.16133541,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Age,65+,1614.848,0.14830715,0.15590984,0.18776627999999998,0.13806253,0.06918094,0.01418812,0.1335291,0.15305651,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Socio-Professional Category,Total-CSP+,1734.019,0.18966632000000008,0.1849999,0.16655204,0.1411037,0.04630359,0.041885500000000006,0.07961758,0.14987137,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Socio-Professional Category,Small Business owners,212.9949,0.16026834,0.10260875000000001,0.14507329,0.10100392,0.04813101000000001,0.07030173,0.11170108,0.26091221,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.1799997,0.17817882,0.1965711,0.13770672,0.06207965,0.03106329,0.08395497,0.13044565,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Socio-Professional Category,Prof Intermed,896.9079,0.19967435,0.21316514000000003,0.15308372,0.15624603,0.03584956,0.03872813,0.07022532,0.1330267,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Socio-Professional Category,Total-CSP-,1674.09,0.18403873,0.19183234,0.13960605,0.12458016,0.03592559,0.03772726,0.09045385999999998,0.19583565,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Socio-Professional Category,Salaried,956.6466,0.1841608,0.19745787,0.14628359,0.1133198,0.02908067,0.03568601,0.10169081,0.19231992000000003,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Socio-Professional Category,Blue collar,717.4432,0.18387616,0.18433125,0.13070225,0.13959474,0.045052680000000005,0.0404491,0.07547041,0.20052347,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
