Indicator,Category,BASE,ST D'accord,ST Pas d'accord,Tout à fait d'accord,Plutôt d'accord,Pas vraiment d'accord,Pas du tout d'accord,No rep.,Question
Total,Total,5979.002,0.525151020186981,0.4615808792169663,0.10941721999999998,0.41573409999999994,0.36752287000000006,0.09405874000000002,0.013266609999999998,"q5_i3. Pour chacune des affirmations suivantes à propos des gens et de la société, êtes-vous tout à fait d'accord, plutôt d'accord, pas vraiment d'accord ou pas du tout d'accord... ?
- J'ai une liberté et un contrôle total sur mon propre avenir"
Gender,Man,2929.637,0.5360783605613938,0.4449999,0.11923778,0.4170693200000001,0.3549999,0.09306675,0.01562625,"q5_i3. Pour chacune des affirmations suivantes à propos des gens et de la société, êtes-vous tout à fait d'accord, plutôt d'accord, pas vraiment d'accord ou pas du tout d'accord... ?
- J'ai une liberté et un contrôle total sur mon propre avenir"
Gender,Woman,3049.36,0.5146538945877167,0.475,0.09998249,0.41467095000000004,0.37933435,0.0950119,0.01099962,"q5_i3. Pour chacune des affirmations suivantes à propos des gens et de la société, êtes-vous tout à fait d'accord, plutôt d'accord, pas vraiment d'accord ou pas du tout d'accord... ?
- J'ai une liberté et un contrôle total sur mon propre avenir"
Age,18-24,478.2759,0.595,0.3932911944758245,0.16768191999999998,0.42662822999999994,0.30410899,0.08918219,0.01239868,"q5_i3. Pour chacune des affirmations suivantes à propos des gens et de la société, êtes-vous tout à fait d'accord, plutôt d'accord, pas vraiment d'accord ou pas du tout d'accord... ?
- J'ai une liberté et un contrôle total sur mon propre avenir"
Age,25-34,836.9062,0.584760394892522,0.40826498835831304,0.13112951,0.45363087999999996,0.315107,0.09315813,0.00697451,"q5_i3. Pour chacune des affirmations suivantes à propos des gens et de la société, êtes-vous tout à fait d'accord, plutôt d'accord, pas vraiment d'accord ou pas du tout d'accord... ?
- J'ai une liberté et un contrôle total sur mon propre avenir"
Age,35-49,1494.556,0.44974239841130076,0.5381804361964355,0.07809637,0.37164629,0.41318071000000006,0.125,0.01207663,"q5_i3. Pour chacune des affirmations suivantes à propos des gens et de la société, êtes-vous tout à fait d'accord, plutôt d'accord, pas vraiment d'accord ou pas du tout d'accord... ?
- J'ai une liberté et un contrôle total sur mon propre avenir"
Age,50-64,1554.412,0.520613839831396,0.46699581578114424,0.1210598,0.39955410999999996,0.3750734,0.0919226,0.01239165,"q5_i3. Pour chacune des affirmations suivantes à propos des gens et de la société, êtes-vous tout à fait d'accord, plutôt d'accord, pas vraiment d'accord ou pas du tout d'accord... ?
- J'ai une liberté et un contrôle total sur mon propre avenir"
Age,65+,1614.848,0.5479350997740964,0.4333373791217502,0.09868935,0.44924594,0.36341619,0.06992101,0.01872816,"q5_i3. Pour chacune des affirmations suivantes à propos des gens et de la société, êtes-vous tout à fait d'accord, plutôt d'accord, pas vraiment d'accord ou pas du tout d'accord... ?
- J'ai une liberté et un contrôle total sur mon propre avenir"
Socio-Professional Category,Total-CSP+,1734.019,0.5403612071148008,0.448955461272339,0.1101808,0.43018058,0.35940258,0.08955259,0.01068339,"q5_i3. Pour chacune des affirmations suivantes à propos des gens et de la société, êtes-vous tout à fait d'accord, plutôt d'accord, pas vraiment d'accord ou pas du tout d'accord... ?
- J'ai une liberté et un contrôle total sur mon propre avenir"
Socio-Professional Category,Small Business owners,212.9949,0.4680680147740627,0.4893835486201782,0.12903267,0.3390353,0.40012723,0.08925636,0.04254869,"q5_i3. Pour chacune des affirmations suivantes à propos des gens et de la société, êtes-vous tout à fait d'accord, plutôt d'accord, pas vraiment d'accord ou pas du tout d'accord... ?
- J'ai une liberté et un contrôle total sur mon propre avenir"
