Indicator,Category,BASE,ST Elevé,ST Faible,Très élevé,Assez élevé,Assez faible,Très faible,Je ne sais pas,No rep.,Question
Total,Total,5979.002,0.25780740665415397,0.33960383354947865,0.08335468,0.175,0.3791947599999999,0.23051406,0.10908985999999998,0.02284664,"q14v13b_i6. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Un barrage hydraulique"
Gender,Man,2929.637,0.21707819091580285,0.3583638519038365,0.06744119,0.14963693,0.4095579199999999,0.28035859,0.07800547,0.0149999,"q14v13b_i6. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Un barrage hydraulique"
Gender,Woman,3049.36,0.2969380788099798,0.3215811514547315,0.09864339,0.19829449000000002,0.35297866,0.18262708,0.13895388,0.02850096,"q14v13b_i6. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Un barrage hydraulique"
Age,18-24,478.2759,0.30899528912077734,0.3149999,0.11960159,0.18939357,0.35795530999999997,0.19104895,0.12499990000000001,0.01700068,"q14v13b_i6. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Un barrage hydraulique"
Age,25-34,836.9062,0.26978423627402925,0.36956363807556925,0.10006586,0.16971841999999998,0.33846983,0.23402252,0.13554124,0.02218213,"q14v13b_i6. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Un barrage hydraulique"
Age,35-49,1494.556,0.2949999,0.325,0.0836971,0.21306074,0.3582453700000001,0.205,0.11824394999999999,0.02175284,"q14v13b_i6. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Un barrage hydraulique"
Age,50-64,1554.412,0.2811497852564185,0.32117199301086197,0.08391610000000001,0.19723349000000004,0.3786858699999999,0.21499990000000002,0.10615693000000001,0.01900771,"q14v13b_i6. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Un barrage hydraulique"
Age,65+,1614.848,0.17792299956404567,0.3640132074350032,0.06310123,0.115,0.42825541,0.27938394,0.08462933,0.02963009,"q14v13b_i6. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Un barrage hydraulique"
Socio-Professional Category,Total-CSP+,1734.019,0.2763180218901869,0.33257461423433077,0.08923703,0.18708111,0.3815206199999999,0.23903873,0.09353571,0.00958712,"q14v13b_i6. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Un barrage hydraulique"
Socio-Professional Category,Small Business owners,212.9949,0.235,0.3949999,0.05602932,0.17521232,0.36303541000000006,0.24355208,0.1524467,0.00972443,"q14v13b_i6. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Un barrage hydraulique"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.28308906348853025,0.3392985826122193,0.10093461,0.18215439,0.37181523,0.25342565,0.08587285,0.00579739,"q14v13b_i6. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Un barrage hydraulique"
Socio-Professional Category,Prof Intermed,896.9079,0.2790545160768458,0.30786148722739537,0.08884159999999999,0.19021284,0.40072219,0.22776441,0.08009712,0.01236072,"q14v13b_i6. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Un barrage hydraulique"
Socio-Professional Category,Total-CSP-,1674.09,0.27756279530969064,0.3536460405354551,0.09590016000000001,0.18166275000000004,0.345,0.21373456999999987,0.13976304,0.02393948,"q14v13b_i6. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Un barrage hydraulique"
Socio-Professional Category,Salaried,956.6466,0.29500695450127556,0.3323020225023535,0.08759379,0.20741327,0.3444391800000001,0.1849999,0.14688183,0.02867203,"q14v13b_i6. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Un barrage hydraulique"
Socio-Professional Category,Blue collar,717.4432,0.255,0.3821062071534025,0.10697593,0.14732665,0.34499989999999997,0.25279738000000007,0.13027108,0.01762906,"q14v13b_i6. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Un barrage hydraulique"
Political similarity,Far left,187.3446,0.32975223198320097,0.3601488914011933,0.19252319,0.1372291,0.29180692,0.30662624,0.05352271,0.01829239,"q14v13b_i6. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Un barrage hydraulique"
Political similarity,Radical left,828.7407,0.28499990000000003,0.2949999,0.12232729,0.16272822,0.405,0.2313985899999999,0.06345265,0.01509325,"q14v13b_i6. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Un barrage hydraulique"
Political similarity,Left,1430.296,0.2546414867971385,0.29629531229899264,0.08028219,0.17435936,0.43120850999999993,0.22664503999999996,0.06965025,0.01785539,"q14v13b_i6. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Un barrage hydraulique"
Political similarity,PC/LFI,641.3963,0.2720001658880789,0.27683461847223,0.10182383,0.17017622,0.43700689,0.21048157,0.06635306,0.01415882,"q14v13b_i6. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Un barrage hydraulique"
Political similarity,PS,449.3176,0.24874543084891398,0.3309296141526617,0.08028693,0.16845857,0.39980295,0.24645640000000002,0.08447323,0.020522420000000003,"q14v13b_i6. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Un barrage hydraulique"
Political similarity,EELV,339.583,0.22965584260696204,0.2872248905274999,0.03958841,0.19006747,0.46181050999999995,0.23096027,0.05626462,0.02130845,"q14v13b_i6. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Un barrage hydraulique"
Political similarity,EM,672.9198,0.2114809223922375,0.38506505530079516,0.05365959,0.15782133,0.39139107000000006,0.31004274,0.07502233,0.012062370000000001,"q14v13b_i6. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Un barrage hydraulique"
Political similarity,MoDem,161.1257,0.19198551193260915,0.3708466123033135,0.0449999,0.14632085,0.4217552,0.29907178,0.07177483,0.01607744,"q14v13b_i6. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Un barrage hydraulique"
Political similarity,Right,573.0042,0.25344840404311175,0.2982381280974904,0.07919856,0.17424970000000004,0.44047861999999993,0.23907224,0.059165880000000004,0.00783507,"q14v13b_i6. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Un barrage hydraulique"
Political similarity,UDI/PR,89.32552,0.19173938198176738,0.38926882261642587,0.08811334000000001,0.10362601999999999,0.41899213,0.28867271,0.1005961,0,"q14v13b_i6. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Un barrage hydraulique"
Political similarity,LR,397.5368,0.2579107141779075,0.28432613031045173,0.06672545,0.19118524,0.44702024,0.23877581,0.0449999,0.01129336,"q14v13b_i6. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Un barrage hydraulique"
Political similarity,Radical right,1008.8,0.2788579500396511,0.35061915146708966,0.09108859,0.18776943,0.3569297600000001,0.2549999,0.09555557,0.01365675,"q14v13b_i6. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Un barrage hydraulique"
Political similarity,Debout la France,86.14185,0.2968444490105564,0.26804590335591816,0.12751665,0.1693278,0.4349999,0.18911630999999987,0.07903934,0,"q14v13b_i6. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Un barrage hydraulique"
