Indicator,Category,BASE,ST 1-2,ST 3-5,ST 6-7,1.0,2.0,3.0,4.0,5.0,6.0,7.0,Ne peut choisir,No rep.,moyenne,Question
Total,Total,5979.002,0.13153596536679532,0.5399489747620088,0.23784537954661997,0.0696652,0.06187066,0.08952678000000001,0.17577398,0.27471081999999986,0.17140151,0.06644376,0.06560739,0.0249999,4.433857,"q1v13b_i5. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Choisir certains produits pour des raisons politiques, éthiques ou environnementales, même s'ils coûtent un peu plus cher..."
Gender,Man,2929.637,0.14028656109954918,0.5317706596414504,0.24543296660985642,0.07100805,0.06927848,0.08842826,0.17000393,0.2737403900000001,0.17744198,0.06799105,0.057107960000000006,0.0249999,4.427456,"q1v13b_i5. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Choisir certains produits pour des raisons politiques, éthiques ou environnementales, même s'ils coûtent un peu plus cher..."
Gender,Woman,3049.36,0.12312895164887057,0.5478083925807382,0.235,0.06837513,0.05475382,0.09058222,0.18131808,0.27586612999999993,0.16559888,0.065,0.07377319,0.02473255,4.440117,"q1v13b_i5. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Choisir certains produits pour des raisons politiques, éthiques ou environnementales, même s'ils coûtent un peu plus cher..."
Age,18-24,478.2759,0.11492370826127765,0.545,0.2119916558622335,0.07203735,0.04288635,0.07811119,0.18766465000000002,0.27665329,0.15158113,0.06041053,0.10634761,0.02430789,4.43832,"q1v13b_i5. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Choisir certains produits pour des raisons politiques, éthiques ou environnementales, même s'ils coûtent un peu plus cher..."
Age,25-34,836.9062,0.1221022140832509,0.5303706675849695,0.2606517910848312,0.07026458,0.051837640000000004,0.09872376,0.1428362,0.28881086,0.17962885,0.08102286999999998,0.05913623,0.02773892,4.523417,"q1v13b_i5. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Choisir certains produits pour des raisons politiques, éthiques ou environnementales, même s'ils coûtent un peu plus cher..."
Age,35-49,1494.556,0.13083825564247842,0.5749998999999999,0.2089492799199227,0.0699124,0.06092588,0.10438438,0.20299005,0.26771148,0.14832633,0.060622970000000005,0.05797266000000001,0.02715341,4.339128,"q1v13b_i5. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Choisir certains produits pour des raisons politiques, éthiques ou environnementales, même s'ils coûtent un peu plus cher..."
Age,50-64,1554.412,0.1549999,0.5072130168835547,0.24718317923433425,0.08382778,0.07479092,0.07761269,0.16262928,0.26697105,0.1676901,0.07949308,0.065096,0.02189032,4.396656,"q1v13b_i5. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Choisir certains produits pour des raisons politiques, éthiques ou environnementales, même s'ils coûtent un peu plus cher..."
Age,65+,1614.848,0.1149999,0.545,0.2514390208861763,0.05479087,0.06113085,0.08585885,0.17678723,0.28052814,0.19793758,0.05350132,0.06445337,0.02501281,4.510046,"q1v13b_i5. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Choisir certains produits pour des raisons politiques, éthiques ou environnementales, même s'ils coûtent un peu plus cher..."
Socio-Professional Category,Total-CSP+,1734.019,0.1149999,0.5734705905759971,0.245,0.0641854,0.05223009000000001,0.09318006,0.16891234000000002,0.31069252999999997,0.175,0.06765203,0.05055583,0.01759172,4.507341,"q1v13b_i5. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Choisir certains produits pour des raisons politiques, éthiques ou environnementales, même s'ils coûtent un peu plus cher..."
Socio-Professional Category,Small Business owners,212.9949,0.215,0.4549999,0.2510177943227749,0.15563002,0.05733057,0.0698236,0.14239571,0.24446742999999999,0.1849999,0.06561143,0.07108889,0.00865245,4.174226,"q1v13b_i5. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Choisir certains produits pour des raisons politiques, éthiques ou environnementales, même s'ils coûtent un peu plus cher..."
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.08755905364326005,0.5718626960253171,0.28772839831150354,0.04136338,0.04619567,0.08848719,0.15360167,0.32977391,0.20958334,0.07814489,0.03941607,0.01343391,4.716261,"q1v13b_i5. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Choisir certains produits pour des raisons politiques, éthiques ou environnementales, même s'ils coûtent un peu plus cher..."
Socio-Professional Category,Prof Intermed,896.9079,0.11538475689644388,0.5985098358482516,0.21261358050252427,0.05881921,0.05656550999999999,0.105,0.18235284000000002,0.31115796,0.14949885,0.06311473,0.05372801,0.01976289,4.438341,"q1v13b_i5. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Choisir certains produits pour des raisons politiques, éthiques ou environnementales, même s'ils coûtent un peu plus cher..."
