Indicator,Category,BASE,ST Confiance,ST Pas Confiance,Très confiance,Plutôt confiance,Plutôt pas confiance,Pas du tout confiance,No rep.,Question
Total,Total,5979.002,0.4337842670064335,0.5488479515477667,0.08714312,0.34499989999999997,0.25211248,0.29837739,0.01736711,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Gender,Man,2929.637,0.4557520266162668,0.5318280046299252,0.105,0.35075003999999993,0.23049074000000003,0.30133843,0.01242079,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Gender,Woman,3049.36,0.4126803657160847,0.565199910800955,0.07163293,0.33893466000000005,0.275,0.29231314,0.022119269999999996,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Age,18-24,478.2759,0.4673087228522282,0.5198649984245496,0.10975173999999999,0.35755701,0.26170773,0.25815727,0.01282634,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Age,25-34,836.9062,0.4318142224301839,0.5544345351964175,0.08315162,0.34741372,0.27111115,0.28332351,0.015,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Age,35-49,1494.556,0.3922298662612843,0.586212560787284,0.054999900000000004,0.33723034999999996,0.28079302,0.30541974,0.02155699,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Age,50-64,1554.412,0.42375013831596775,0.561392861094742,0.08984587,0.33376120000000004,0.23483516999999998,0.32655776,0.015,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Age,65+,1614.848,0.47299665355500947,0.507881113268865,0.10950621999999999,0.3634905,0.22951281,0.27836837,0.01912311,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Socio-Professional Category,Total-CSP+,1734.019,0.45966664725127004,0.5296330086348534,0.09878519,0.36088163,0.25783339,0.2717995,0.01070049,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Socio-Professional Category,Small Business owners,212.9949,0.4296467192406954,0.556893615762631,0.11301261,0.31663406,0.2307089,0.32618448,0.01346018,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.5345483358951327,0.4572264233205302,0.1013956,0.43315259,0.2285653,0.22866096,0.00822549,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Socio-Professional Category,Prof Intermed,896.9079,0.41215257441706105,0.5758388347343132,0.09261901,0.31755367,0.28282001,0.295,0.01200731,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Socio-Professional Category,Total-CSP-,1674.09,0.381023063276168,0.6026115680757905,0.06644183,0.31458141,0.2749999,0.3276118000000001,0.01636506,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Socio-Professional Category,Salaried,956.6466,0.3789644995341017,0.6016592752224279,0.04706566000000001,0.33189895,0.2734203,0.32823856,0.01937602,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Socio-Professional Category,Blue collar,717.4432,0.3837686384092845,0.605,0.09227826,0.29149025,0.27781753,0.326064,0.01235022,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Political similarity,Far left,187.3446,0.4509134504010257,0.5442676223387276,0.12695663,0.3237757500000001,0.25091404,0.29335358,0.005,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Political similarity,Radical left,828.7407,0.3528397965732828,0.6381765732031743,0.08077435,0.27206519,0.29504017,0.34313652,0.00898434,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Political similarity,Left,1430.296,0.450327344829322,0.5396017327881781,0.07234202,0.37798526,0.29329999,0.24630174000000002,0.01007185,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Political similarity,PC/LFI,641.3963,0.32419332634129633,0.66560627181666,0.06728502,0.2549999,0.30792881,0.35958538000000007,0.01020089,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Political similarity,PS,449.3176,0.5960492088447014,0.3949999,0.08850808,0.50970618,0.25836914,0.1349999,0.0084167,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Political similarity,EELV,339.583,0.49575420442130497,0.492227526112909,0.060503289999999994,0.43525087999999995,0.31188664,0.1803408,0.012018059999999999,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Political similarity,EM,672.9198,0.9375671513901063,0.05712652533035883,0.3613386,0.5765349700000001,0.04560881,0.01151772,0.0049999,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Political similarity,MoDem,161.1257,0.7641009472728435,0.225,0.20100307,0.56264233,0.145,0.07849002,0.01286458,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Political similarity,Right,573.0042,0.5449999,0.4364838861565064,0.0849999,0.4613836500000001,0.25783406,0.17864982,0.01713257,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Political similarity,UDI/PR,89.32552,0.7496157872912467,0.23858668832826274,0.05475093,0.695,0.18511761000000004,0.05333382,0.01179764,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Political similarity,LR,397.5368,0.5618777934520779,0.41804959943331027,0.10021917000000001,0.46165864,0.2509334,0.16711598,0.02007307,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Political similarity,Radical right,1008.8,0.17602864789849326,0.8135721649484536,0.025,0.15282762,0.28109149,0.53068127,0.01039962,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Political similarity,Debout la France,86.14185,0.265,0.7249998999999999,0.04843081,0.21570677,0.36494305999999993,0.36182471,0.00909453,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Political similarity,Reconquete,205.4045,0.1149999,0.875,0.0124094,0.10302939,0.27610442,0.59631069,0.01214607,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Political similarity,RN,717.2537,0.1827982204901836,0.8071462022433624,0.023261479999999998,0.15953672,0.27214558,0.535,0.010056220000000001,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Political similarity,No preference,1860.95,0.31897203041457317,0.6517848410757946,0.025,0.29442059,0.29897257,0.35236331,0.02924353,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Politics,Total-left,1649.278,0.4149999,0.5761892779749684,0.07147982,0.34451766,0.28991904,0.28627023,0.00781341,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Politics,Very Left,217.9165,0.26284999070744985,0.7271060245552768,0.0649999,0.19705626000000004,0.19015654999999998,0.5377425699999999,0.01004472,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
Politics,Left,1431.362,0.43931325548673217,0.5532128839524871,0.0723455,0.36707516999999995,0.3049999,0.24810572,0.007473710000000001,"q14_i8. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les personnalités politiques suivantes :
- Le président de la République"
