Indicator,Category,BASE,Il s'est amélioré,Il est resté stable,Il s'est dégradé,No rep.,Question
Total,Total,5979.002,0.07861307,0.4590919200000001,0.45499989999999996,0.00729511,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Gender,Man,2929.637,0.08351472,0.45540011,0.45023973999999994,0.010846709999999999,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Gender,Woman,3049.36,0.075,0.45982075,0.46129628,0.00388297,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Age,18-24,478.2759,0.11625079000000002,0.475,0.40410219,0.00464702,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Age,25-34,836.9062,0.12081258,0.51660903,0.36105922,0.0015187399999999998,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Age,35-49,1494.556,0.09288049,0.44759654,0.4540976,0.0054249300000000006,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Age,50-64,1554.412,0.07146207,0.41957242,0.50236578,0.00660111,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Age,65+,1614.848,0.03927446,0.4679594,0.47929496,0.01347197,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Socio-Professional Category,Total-CSP+,1734.019,0.10524994,0.51309709,0.37944463,0.00220861,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Socio-Professional Category,Small Business owners,212.9949,0.10178529999999998,0.53563442,0.36036886,0.00221187,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.13296757,0.51849488,0.34820381,0.0003339,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Socio-Professional Category,Prof Intermed,896.9079,0.08335977,0.50697513,0.40614180999999994,0.00352211,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Socio-Professional Category,Total-CSP-,1674.09,0.07690644,0.42917939,0.4849999,0.00891427,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Socio-Professional Category,Salaried,956.6466,0.07610315,0.4349999,0.48047639000000003,0.00842056,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Socio-Professional Category,Blue collar,717.4432,0.07797753,0.42098984,0.49146051,0.0095726,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Political similarity,Far left,187.3446,0.15840494,0.46499989999999997,0.37659516,0,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Political similarity,Radical left,828.7407,0.09858916,0.41383282000000005,0.48686218,0.0007168099999999999,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Political similarity,Left,1430.296,0.07834532,0.48675778,0.43086241999999997,0.00403521,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
