Indicator,Category,BASE,ST Bien,ST Pas Bien,Très bien,Assez bien,Pas très bien,Pas bien du tout,No rep.,Question
Total,Total,5979.002,0.4320428392564511,0.5561190646867152,0.05457804,0.37746433,0.3790365,0.17708256,0.01183759,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Gender,Man,2929.637,0.4314285353441399,0.5579807327665509,0.05609309,0.3749999,0.3724624000000001,0.18585255,0.01059206,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Gender,Woman,3049.36,0.4326340609177008,0.555,0.053122590000000004,0.37951144,0.38567372,0.16865706,0.013034240000000002,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Age,18-24,478.2759,0.5171680195468766,0.47153661725376506,0.09207454999999999,0.42509334,0.32883196,0.14270456,0.01129548,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Age,25-34,836.9062,0.455,0.5349999,0.07762581,0.3772502200000001,0.37350793,0.1649999,0.00661614,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Age,35-49,1494.556,0.39062658073702156,0.6005667904046419,0.03211097,0.35851557,0.40860403,0.1919627,0.00880629,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Age,50-64,1554.412,0.4149999,0.575,0.06218394,0.35315058,0.37743771,0.19751102,0.00971825,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Age,65+,1614.848,0.44989534618738114,0.5305556312420736,0.04500024,0.4048952,0.37094674,0.15960902,0.01954973,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Socio-Professional Category,Total-CSP+,1734.019,0.48028873962742047,0.5149999,0.061598400000000005,0.4179189,0.35363315,0.16184955000000004,0.005,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Socio-Professional Category,Small Business owners,212.9949,0.444469327669348,0.545167982895365,0.07376393,0.3695153499999999,0.30135787,0.245,0.01036285,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.5249999,0.4676080241209956,0.06331567,0.4630579899999999,0.31573382,0.15187412,0.00601848,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Socio-Professional Category,Prof Intermed,896.9079,0.4581527267180944,0.5401437538904497,0.052828,0.40532489,0.38800137999999995,0.15214238,0.00170228,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Socio-Professional Category,Total-CSP-,1674.09,0.3749999,0.607143582483618,0.05344303,0.32464777999999994,0.39982695000000007,0.20708224000000003,0.015,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Socio-Professional Category,Salaried,956.6466,0.37652211380879835,0.6047511170791805,0.04097397,0.33554815,0.39353843,0.21121269,0.01872634,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Socio-Professional Category,Blue collar,717.4432,0.3801827099343892,0.6103341700081624,0.07006945,0.31011319,0.40875919,0.2015747,0.00948377,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Political similarity,Far left,187.3446,0.4787343750500414,0.5143196547965619,0.10197219,0.37676223000000003,0.41442748,0.09989228000000001,0.00694631,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Political similarity,Radical left,828.7407,0.38323748308729133,0.6116948280686589,0.05386775,0.32936949,0.45264472,0.15905023,0.00506855,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Political similarity,Left,1430.296,0.4799527510389458,0.5167362559917666,0.05996213,0.41999055,0.39677843,0.11995789999999999,0.00331183,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Political similarity,PC/LFI,641.3963,0.35534349044420743,0.6401366830460357,0.03981697,0.31552645,0.46380732,0.17632952,0.00452008,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Political similarity,PS,449.3176,0.635,0.3628862969089125,0.10721351999999999,0.52581025,0.30251475,0.06037171,0.00409006,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Political similarity,EELV,339.583,0.515,0.4849999,0.03549123,0.4772839,0.39489933,0.09232526,0,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Political similarity,EM,672.9198,0.835,0.16275817712601115,0.14620784,0.68706895,0.15118889,0.011569300000000001,0.00396516,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Political similarity,MoDem,161.1257,0.7047752158718318,0.2890829954501361,0.07499990000000001,0.62977528,0.23827875000000004,0.05080429000000001,0.00614178,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Political similarity,Right,573.0042,0.4981691233676821,0.4949999,0.06694211,0.43122685999999993,0.37468504,0.12213371,0.00501258,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Political similarity,UDI/PR,89.32552,0.6797454971434815,0.32025461480660844,0.09449427,0.58525134,0.28196164,0.03829295,0,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Political similarity,LR,397.5368,0.51390261228646,0.4788731508630144,0.0649999,0.44890205000000005,0.3890704,0.08980258,0.00722507,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Political similarity,Radical right,1008.8,0.22053201823949248,0.775,0.02065845,0.19987361,0.42796045,0.34703588,0.00447217,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Political similarity,Debout la France,86.14185,0.2349999,0.765,0.04288149,0.19439192,0.405,0.3577265900000001,0,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Political similarity,Reconquete,205.4045,0.2049999,0.7865480064945022,0.02348796,0.18190069,0.40125143,0.38529687,0.00806306,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Political similarity,RN,717.2537,0.225,0.7731618533302791,0.01717917,0.20567897,0.43843273,0.33472856,0.00398093,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Political similarity,No preference,1860.95,0.3253638195545286,0.6512087912087912,0.027954559999999996,0.29740923,0.43022209,0.22098675,0.02342823,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Politics,Total-left,1649.278,0.47035987868630996,0.5249999,0.060118120000000004,0.40962724999999983,0.40170990000000006,0.12354473,0.005,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Politics,Very Left,217.9165,0.2983828668320205,0.701617821505026,0.07287874,0.22550417,0.45691253,0.24470514999999998,0,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Politics,Left,1431.362,0.4965420347892427,0.4984042471436296,0.05817538,0.4384205400000001,0.3933054,0.10509878,0.0049999,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Politics,Center,776.1196,0.702028398715868,0.29057415893117505,0.10347857000000002,0.5985495,0.2387806,0.05179347,0.00739757,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Politics,Total-right,1622.94,0.4057240563421938,0.5896859403305112,0.0481506,0.35757348,0.37527110999999996,0.21441501,0.00458892,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Politics,Right,1193.119,0.4749999,0.5174606221173245,0.05400503000000001,0.42323031999999994,0.36276465,0.155,0.005,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Politics,Very Right,429.8207,0.20593151981744948,0.7901734374356564,0.03189953,0.175,0.4090191899999999,0.38018644,0.00389484,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Politics,Both left and Right,200.4265,0.46970016439941825,0.5230915073605535,0.05163693,0.41806323,0.37453141,0.14856035,0.0072085299999999995,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Politics,Neither left nor right,1673.316,0.2901661132744801,0.682282366271523,0.03387422,0.25629188,0.42728216999999996,0.2549999,0.02755183,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Loss of job risk,High risk,556.2398,0.31908180608435427,0.6789034153974599,0.07134471,0.24773722,0.34600131,0.33290174,0.00201489,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Loss of job risk,Low risk,1874.312,0.39409575353516385,0.5992422819679968,0.04485746,0.34923823,0.4088521,0.19039034,0.00666211,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
Loss of job risk,Zero risk,3478.817,0.472394207571137,0.5118837811819362,0.05753873,0.4149999,0.3667380400000001,0.14499990000000001,0.01572343,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
1st round vote,Arthaud,24.07418,0.5468452092656947,0.4531547907343054,0.08133597999999999,0.46550911,0.29125881,0.16189611,0,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
1st round vote,Poutou,32.85668,0.4406342941526655,0.5593660101994481,0.03002495,0.41060935000000004,0.44827931,0.11108666,0,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
1st round vote,Roussel,98.04205,0.42980527232957694,0.5523401438464414,0.05248268,0.37839971000000006,0.4349999,0.11626338000000001,0.01785433,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
1st round vote,Melenchon,942.3053,0.3846841358103366,0.6091890812881983,0.04202302000000001,0.34266124,0.44854454,0.16064443,0.00612637,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
1st round vote,Hidalgo,75.31895,0.6549999,0.345,0.012476990000000002,0.6442866,0.28526407,0.05797242,0,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
1st round vote,Jadot,198.8808,0.5898291841143036,0.40782302766280104,0.04454190000000001,0.54528743,0.35814322,0.049679799999999996,0.00234774,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
1st round vote,Macron,1195.294,0.8181234909570364,0.1699425413329273,0.141138,0.67698642,0.1553504,0.01459212,0.01193394,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
1st round vote,Pecresse,205.1207,0.5729709385742151,0.4168807926260002,0.04440905,0.52828102,0.365,0.05216187,0.01014806,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
1st round vote,Dupont-Aignan,88.56025,0.30276021126859964,0.6972396758139233,0.06214122,0.24061901,0.37707075000000007,0.32016904000000007,0,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
1st round vote,Zemmour,303.4525,0.19908881950222854,0.7961061451133209,0.01590266,0.1831862,0.4555770699999999,0.34052908,0.00480514,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
1st round vote,Le Pen,993.0248,0.2149999,0.777203449500959,0.02252811,0.1949999,0.47857586000000013,0.29870513,0.005191,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
1st round vote,Lassalle,134.5409,0.3817072726583515,0.6182922070537659,0.02037543,0.36133191,0.43755416,0.18073805,0,"q22. Diriez-vous qu'en France la démocratie fonctionne très bien, assez bien, pas très bien ou pas bien du tout ?"
