Indicator,Category,BASE,ST Oui,ST Non,Beaucoup,Assez,Peu,Pas du tout,No rep.,Question
Total,Total,5979.002,0.5813543798781133,0.4134144795402309,0.19122188,0.390133,0.27962158,0.13379306,0.00522985,q23. Est-ce que vous vous intéressez à la politique... ?
Gender,Man,2929.637,0.641177729527583,0.355,0.23170226,0.40947632999999994,0.25726139,0.09764687999999999,0.00391547,q23. Est-ce que vous vous intéressez à la politique... ?
Gender,Woman,3049.36,0.5238820604979406,0.4696254295983419,0.15233131,0.3715501,0.30110479,0.16852041,0.00649264,q23. Est-ce que vous vous intéressez à la politique... ?
Age,18-24,478.2759,0.5368646005370541,0.4586292138073443,0.13736433,0.39950016,0.31849127,0.14013809,0.00450609,q23. Est-ce que vous vous intéressez à la politique... ?
Age,25-34,836.9062,0.5542021316128378,0.4394745791105383,0.18322854,0.37097383,0.29933307,0.14014151,0.00632293,q23. Est-ce que vous vous intéressez à la politique... ?
Age,35-49,1494.556,0.517844563870474,0.47861987105200476,0.16583286000000003,0.35201157000000005,0.28938173,0.18923834,0.00353496,q23. Est-ce que vous vous intéressez à la politique... ?
Age,50-64,1554.412,0.558602030864404,0.4349999,0.17669466,0.38190724,0.28481484,0.15145836,0.00512636,q23. Est-ce que vous vous intéressez à la politique... ?
Age,65+,1614.848,0.6892865458544706,0.30416819415821184,0.24879783999999996,0.44048876000000003,0.24386332,0.06030493,0.00654599,q23. Est-ce que vous vous intéressez à la politique... ?
Socio-Professional Category,Total-CSP+,1734.019,0.6049998999999999,0.385,0.19450341,0.41450301000000006,0.26712481,0.11785672,0.006012419999999999,q23. Est-ce que vous vous intéressez à la politique... ?
Socio-Professional Category,Small Business owners,212.9949,0.5067379547585411,0.4876248210637907,0.14070426,0.36667087000000004,0.25915419,0.22847078,0.0049999,q23. Est-ce que vous vous intéressez à la politique... ?
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.6949998999999999,0.2963844428341334,0.23475877,0.46301902999999994,0.22981824,0.06656617,0.00583765,q23. Est-ce que vous vous intéressez à la politique... ?
Socio-Professional Category,Prof Intermed,896.9079,0.5768213213419126,0.4149999,0.17748043,0.39934078,0.29266238,0.12412199999999998,0.00639334,q23. Est-ce que vous vous intéressez à la politique... ?
Socio-Professional Category,Total-CSP-,1674.09,0.495,0.4987525760263785,0.15763304,0.33861448999999993,0.33023302000000004,0.16851955000000002,0.0049999,q23. Est-ce que vous vous intéressez à la politique... ?
Socio-Professional Category,Salaried,956.6466,0.49732001347205956,0.49763392249551713,0.15576776,0.3415987300000001,0.30637646,0.19125715,0.0049999,q23. Est-ce que vous vous intéressez à la politique... ?
Socio-Professional Category,Blue collar,717.4432,0.4911790926445466,0.5002446186680701,0.16012027,0.33105854,0.36204329,0.13820118,0.00857681,q23. Est-ce que vous vous intéressez à la politique... ?
Political similarity,Far left,187.3446,0.6147922064473702,0.3802739443784342,0.18343335999999996,0.43129269000000015,0.29018072,0.09009323000000001,0.005,q23. Est-ce que vous vous intéressez à la politique... ?
Political similarity,Radical left,828.7407,0.705,0.2912732535037799,0.24627872,0.45744805,0.23162203000000003,0.0596513,0.0049999,q23. Est-ce que vous vous intéressez à la politique... ?
Political similarity,Left,1430.296,0.685,0.3104278415097294,0.25649474,0.42807761,0.24172773,0.06870002,0.0049999,q23. Est-ce que vous vous intéressez à la politique... ?
Political similarity,PC/LFI,641.3963,0.7282165488014196,0.2649999,0.265,0.46321664000000007,0.21451760999999997,0.05075953999999999,0.00650621,q23. Est-ce que vous vous intéressez à la politique... ?
Political similarity,PS,449.3176,0.705,0.29353001084310965,0.26512338,0.43860423,0.23089413999999997,0.06263574,0.00274269,q23. Est-ce que vous vous intéressez à la politique... ?
Political similarity,EELV,339.583,0.5749998999999999,0.4180642140507622,0.22970196,0.34499989999999997,0.30806139000000005,0.11060925,0.0066275,q23. Est-ce que vous vous intéressez à la politique... ?
Political similarity,EM,672.9198,0.7375905717144896,0.2588944477484538,0.28153444,0.45605539,0.23726587,0.02162855,0.00351508,q23. Est-ce que vous vous intéressez à la politique... ?
Political similarity,MoDem,161.1257,0.7735215424975657,0.22647802305901543,0.2785221200000001,0.4949999,0.18700350000000002,0.03947448,0,q23. Est-ce que vous vous intéressez à la politique... ?
Political similarity,Right,573.0042,0.7434233466351555,0.2515711054124909,0.25172172,0.49170163000000006,0.20814786,0.04342324000000001,0.00500581,q23. Est-ce que vous vous intéressez à la politique... ?
Political similarity,UDI/PR,89.32552,0.7772661161110509,0.22273399583903905,0.30640908,0.47085715,0.19412235,0.028611670000000002,0,q23. Est-ce que vous vous intéressez à la politique... ?
Political similarity,LR,397.5368,0.7571160707637632,0.2349999,0.24858463,0.50853154,0.19283551,0.04283352,0.007215310000000001,q23. Est-ce que vous vous intéressez à la politique... ?
Political similarity,Radical right,1008.8,0.6487633822363204,0.34713431800158606,0.21164948,0.437114,0.25155343,0.09558088,0.00410242,q23. Est-ce que vous vous intéressez à la politique... ?
Political similarity,Debout la France,86.14185,0.645139267382811,0.3548607326171889,0.20949074,0.43564853,0.29335695,0.06150372,0,q23. Est-ce que vous vous intéressez à la politique... ?
Political similarity,Reconquete,205.4045,0.8243217651025172,0.16917414175444062,0.3345451,0.489777,0.15818879,0.010985350000000001,0.00650392,q23. Est-ce que vous vous intéressez à la politique... ?
Political similarity,RN,717.2537,0.5989229473476401,0.3949999,0.17671446,0.42111577,0.27327011,0.12389966,0.005,q23. Est-ce que vous vous intéressez à la politique... ?
Political similarity,No preference,1860.95,0.3329335017061178,0.6612101346086676,0.07058615,0.2623474,0.37752147999999996,0.28368984,0.00585626,q23. Est-ce que vous vous intéressez à la politique... ?
Politics,Total-left,1649.278,0.6925005972310307,0.30110963706543104,0.28056822,0.41248204,0.23555992,0.0649999,0.00638992,q23. Est-ce que vous vous intéressez à la politique... ?
Politics,Very Left,217.9165,0.9133824194129402,0.08661803947842406,0.51494586,0.39843665,0.0604649,0.026153170000000003,0,q23. Est-ce que vous vous intéressez à la politique... ?
Politics,Left,1431.362,0.6588725284030175,0.3337646241831207,0.245,0.41387262999999996,0.26221704,0.07154759,0.0073627399999999996,q23. Est-ce que vous vous intéressez à la politique... ?
Politics,Center,776.1196,0.7049998999999999,0.295,0.22365714999999997,0.4827771200000001,0.245,0.04736191,0.00120382,q23. Est-ce que vous vous intéressez à la politique... ?
Politics,Total-right,1622.94,0.6850752338348922,0.3049999,0.22700531,0.45807004999999995,0.25428087,0.05475533,0.00588772,q23. Est-ce que vous vous intéressez à la politique... ?
Politics,Right,1193.119,0.6796832503715053,0.3152719049818166,0.21593068000000004,0.46379751,0.26867077,0.04660114,0.0049999,q23. Est-ce que vous vous intéressez à la politique... ?
