Indicator,Category,BASE,ST Bonne,ST Mauvaise,Très bonne,Assez bonne,Assez mauvaise,Très mauvaise,No rep.,Question
Total,Total,5979.002,0.8872024127103486,0.0849999,0.40947018,0.47968336999999994,0.0649999,0.01862371,0.02722284,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Gender,Man,2929.637,0.9190688129621519,0.06745060906863204,0.4652405100000001,0.45309026,0.055,0.013188279999999998,0.01348095,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Gender,Woman,3049.36,0.8565872838890783,0.10298679067082928,0.35518043,0.5014062,0.07914103,0.023845790000000002,0.04042524,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Age,18-24,478.2759,0.8742744512111107,0.10702255748198895,0.41086076,0.46341411,0.07848909,0.028533449999999995,0.01870287,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Age,25-34,836.9062,0.8517392988604936,0.13048833907551408,0.31896239,0.53300411,0.09526166,0.0349999,0.01777194,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Age,35-49,1494.556,0.8615033494897482,0.09340887862348417,0.36220141999999994,0.49930153,0.08319856,0.01021038,0.04508756,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Age,50-64,1554.412,0.8849999,0.087955381198807,0.43370902,0.45186990000000005,0.0685537,0.01940165,0.02646706,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Age,65+,1614.848,0.935,0.0449999,0.47638354,0.45837689,0.03228068,0.01412197,0.01883784,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Socio-Professional Category,Total-CSP+,1734.019,0.905,0.08495102994834544,0.41680926999999995,0.48630015,0.07080666,0.01414442,0.01193983,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Socio-Professional Category,Small Business owners,212.9949,0.8079817873573499,0.18134842665246914,0.34065548,0.46732664,0.14388269,0.03746573,0.01066966,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.9049999,0.07776482430616098,0.45315904000000007,0.45350220999999996,0.06765209,0.01011273,0.01557392,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
