Indicator,Category,BASE,Emmanuel Macron,Marine Le Pen,ST Blanc + Nul ,Blanc,Nul,Vous n'aviez pas voté,No rep.,Question
Total,Total,5979.002,0.44828448000000015,0.23450083999999996,0.135,0.10642025,0.0258558,0.17993872999999996,0.0049999,"q16v13b. Et au second tour de l'élection présidentielle de 2017, aviez-vous voté pour... ?"
Gender,Man,2929.637,0.4518466700000001,0.24365681,0.1400932607008991,0.11222622,0.02786704,0.15940326,0.005,"q16v13b. Et au second tour de l'élection présidentielle de 2017, aviez-vous voté pour... ?"
Gender,Woman,3049.36,0.44292606,0.22570418,0.12476591809428864,0.10084237,0.0239236,0.19966852,0.00693399,"q16v13b. Et au second tour de l'élection présidentielle de 2017, aviez-vous voté pour... ?"
Age,18-24,478.2759,0.39313626,0.19666226000000003,0.10499990000000001,0.06373068,0.04481681,0.29647678,0.00517701,"q16v13b. Et au second tour de l'élection présidentielle de 2017, aviez-vous voté pour... ?"
Age,25-34,836.9062,0.42795046,0.26715013,0.12144933327056245,0.09056244,0.03088684,0.17845023,0.0049999,"q16v13b. Et au second tour de l'élection présidentielle de 2017, aviez-vous voté pour... ?"
Age,35-49,1494.556,0.42211228,0.2249999,0.125,0.09715983,0.02576033,0.22094482,0.00902284,"q16v13b. Et au second tour de l'élection présidentielle de 2017, aviez-vous voté pour... ?"
Age,50-64,1554.412,0.43950278,0.27665529,0.1221759739374117,0.10172039,0.02045562,0.15842074,0.00324661,"q16v13b. Et au second tour de l'élection présidentielle de 2017, aviez-vous voté pour... ?"
Age,65+,1614.848,0.50665549,0.19645855,0.16329623593056436,0.14037693,0.02291923,0.12895684,0.00463356,"q16v13b. Et au second tour de l'élection présidentielle de 2017, aviez-vous voté pour... ?"
Socio-Professional Category,Total-CSP+,1734.019,0.50632357,0.215,0.1349999,0.10243308,0.03341308,0.1402551,0.00257517,"q16v13b. Et au second tour de l'élection présidentielle de 2017, aviez-vous voté pour... ?"
Socio-Professional Category,Small Business owners,212.9949,0.395,0.2134414,0.11209390459583775,0.07081785,0.04127606999999999,0.26729191,0.01217277,"q16v13b. Et au second tour de l'élection présidentielle de 2017, aviez-vous voté pour... ?"
