Indicator,Category,BASE,Parce que j'ai été déçu(e) par les programmes proposés ou les politiques mises en œuvre,Parce que j'ai changé d'opinion sur la situation économique et sociale française,Parce que le résultat de l'élection en 2022 est plus incertain qu'en 2017,"Pour des raisons personnelles, liées à mon emploi ou à mon expérience de vie","Je ne sais pas trop, j'ai voulu essayer autre chose",Question
Total,Total,711.1082,0.5427378,0.17980456,0.13889471,0.06060165,0.0779613,q17v13b. Pourquoi avez-vous changé votre vote cette année ?
Gender,Man,375.2752,0.58207497,0.15865943,0.15805102,0.05485324,0.04636091,q17v13b. Pourquoi avez-vous changé votre vote cette année ?
Gender,Woman,335.8328,0.49878035,0.20343307999999996,0.11748861,0.06702523,0.11327306000000001,q17v13b. Pourquoi avez-vous changé votre vote cette année ?
Age,18-24,46.12116,0.52173643,0.13686464,0.13872203,0.08767699999999999,0.1149999,q17v13b. Pourquoi avez-vous changé votre vote cette année ?
Age,25-34,75.89776,0.465,0.19433829000000002,0.13118612,0.08360330000000002,0.12587229,q17v13b. Pourquoi avez-vous changé votre vote cette année ?
Age,35-49,165.2003,0.54041076,0.19864177,0.08966346,0.08078944,0.09049493,q17v13b. Pourquoi avez-vous changé votre vote cette année ?
Age,50-64,171.4454,0.58278268,0.16925289,0.12209835000000001,0.07071907,0.05514676000000001,q17v13b. Pourquoi avez-vous changé votre vote cette année ?
Age,65+,252.4434,0.5442728800000002,0.17802862000000003,0.185,0.028657409999999998,0.06404109,q17v13b. Pourquoi avez-vous changé votre vote cette année ?
Socio-Professional Category,Total-CSP+,209.9245,0.50542266,0.1974809,0.11393782,0.10827668999999998,0.07488197,q17v13b. Pourquoi avez-vous changé votre vote cette année ?
Socio-Professional Category,Small Business owners,22.01477,0.4546802,0.24565012,0.09593446,0,0.2037354,q17v13b. Pourquoi avez-vous changé votre vote cette année ?
Socio-Professional Category,Cadres/Prof Lib,76.11571,0.45581641,0.22127035,0.10375867,0.15349052,0.06566375,q17v13b. Pourquoi avez-vous changé votre vote cette année ?
Socio-Professional Category,Prof Intermed,111.1111,0.54659713,0.17285411,0.12499990000000001,0.09942192999999999,0.056126930000000005,q17v13b. Pourquoi avez-vous changé votre vote cette année ?
