Indicator,Category,BASE,Un devoir,Un choix,No rep.,Question
Total,Total,5979.002,0.63956543,0.3530441999999999,0.00738907,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Gender,Man,2929.637,0.67616056,0.31430061,0.00953987,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Gender,Woman,3049.36,0.60440978,0.39026779,0.005322720000000001,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Age,18-24,478.2759,0.59272148,0.39563357,0.011644840000000002,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Age,25-34,836.9062,0.6400729299999999,0.35561596,0.0043108,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Age,35-49,1494.556,0.5750000000000001,0.4223868600000001,0.00261314,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Age,50-64,1554.412,0.61638015,0.3787658,0.00485535,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Age,65+,1614.848,0.7357701800000002,0.24964771,0.01458302,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Socio-Professional Category,Total-CSP+,1734.019,0.66000373,0.33759243999999994,0.00240323,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Socio-Professional Category,Small Business owners,212.9949,0.55561189,0.44438866999999993,0,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.7274825199999999,0.26847485,0.00404281,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Socio-Professional Category,Prof Intermed,896.9079,0.64109938,0.35694858,0.00195096,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Socio-Professional Category,Total-CSP-,1674.09,0.59110585,0.40289614,0.005997700000000001,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Socio-Professional Category,Salaried,956.6466,0.5588974700000001,0.43610263,0.0049999,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Socio-Professional Category,Blue collar,717.4432,0.63468105,0.35861835,0.00670122,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Political similarity,Far left,187.3446,0.53906331,0.45220535,0.00873147,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Political similarity,Radical left,828.7407,0.59785624,0.39795994,0.00418447,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Political similarity,Left,1430.296,0.66628891,0.32871119,0.0049999,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Political similarity,PC/LFI,641.3963,0.61502865,0.38211539000000005,0.00285634,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Political similarity,PS,449.3176,0.7390946300000001,0.2549999,0.00590547,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Political similarity,EELV,339.583,0.6655241500000001,0.32499989999999995,0.00947595,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
