Indicator,Category,BASE,ST Inquiet,ST pas Inquiet,Très inquiet,Plutôt inquiet,Plutôt pas inquiet,Pas du tout inquiet,No rep.,Question
Total,Total,5979.002,0.875482563812489,0.10499990000000001,0.28572879,0.58994388,0.0849999,0.02332908,0.01599835,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Gender,Man,2929.637,0.8794683436889963,0.10653640707022746,0.25942054,0.62004951,0.08771510000000002,0.01882131,0.01399508,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Gender,Woman,3049.36,0.8716527402471338,0.11042343311383372,0.3110048,0.56064814,0.08276356,0.027659920000000005,0.01792299,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Age,18-24,478.2759,0.8149999,0.16630850519543217,0.26126733999999996,0.5549999,0.12747521,0.0388333,0.01742425,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Age,25-34,836.9062,0.8393167597515707,0.14137856787295877,0.25553509,0.58378215,0.1129403,0.028438230000000002,0.01930446,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Age,35-49,1494.556,0.8587346342325077,0.12337095431686736,0.2805579,0.57901526,0.08753255,0.0349999,0.01789439,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Age,50-64,1554.412,0.895,0.09267826033252445,0.30696579,0.58582422,0.07092438,0.02175388,0.014533130000000002,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Age,65+,1614.848,0.9106076856769182,0.07587525265535827,0.29308734,0.61751979,0.06984713,0.006028140000000001,0.01351825,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Socio-Professional Category,Total-CSP+,1734.019,0.8649998999999999,0.12830199669092437,0.28345122,0.58165107,0.09525841,0.03304356,0.00659541,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Socio-Professional Category,Small Business owners,212.9949,0.8268944467684438,0.16834764588260095,0.27638418,0.55051083,0.10194709,0.06640056,0.00475773,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.8630997365842515,0.1270799952036292,0.22809954000000002,0.6349999,0.09035153,0.03672846,0.00982057,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Socio-Professional Category,Prof Intermed,896.9079,0.875,0.121585951021281,0.31693288,0.5564812000000001,0.0979567,0.02362932,0.0049999,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Socio-Professional Category,Total-CSP-,1674.09,0.8611932452854983,0.10832918182415521,0.27931366,0.58187899,0.08103453000000001,0.02729463,0.030477599999999997,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Socio-Professional Category,Salaried,956.6466,0.8649998999999999,0.10785121694887119,0.28363891,0.5835098400000001,0.08023331,0.02761794,0.025,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
