Indicator,Category,BASE,ST 0 à 5,ST 6 à 8,ST 9 à 10,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,Je ne sais pas,No rep.,Moyenne,Question
Total,Total,1488.807,0.2659759122572637,0.358285257927992,0.2149999,0.05112258,0.02069263,0.03816442,0.03380948,0.02688697,0.09529973,0.08034339,0.14180888999999988,0.13615969,0.08388979,0.1349999,0.13975398,0.01706855,6.465524,"q4v13b_groupe4. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Gender,Man,709.652,0.255,0.37111739275024935,0.282752250398787,0.05633914,0.021990680000000002,0.03873593,0.01994819,0.025,0.09230829,0.06145289999999999,0.15227943,0.15738517,0.08931647,0.19202476999999998,0.08190432999999998,0.0113147,6.779108,"q4v13b_groupe4. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Gender,Woman,779.1553,0.2778751553124262,0.34659765517862745,0.16077500852525806,0.0449999,0.01951036,0.03764387,0.04643429,0.029890969999999996,0.09802436,0.09754881,0.13222114,0.11682769000000001,0.07894716,0.0818279,0.19381443000000004,0.02230912,6.135709,"q4v13b_groupe4. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Age,18-24,150.494,0.235,0.3549999,0.16847096894228342,0.03845068,0.00989677,0.02915104,0.04626984,0.03189446,0.07922615,0.07458836,0.10360765,0.18251452,0.03311254,0.13535842,0.22780191,0.00812763,6.563811,"q4v13b_groupe4. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Age,25-34,226.9345,0.3149999,0.40829649083766456,0.1472743016156644,0.0449999,0.03901483,0.05239534,0.04922257,0.03075254,0.10236751,0.13388224,0.1485835099999999,0.12645644,0.07112722,0.07614708,0.08725236000000001,0.03779846,5.91873,"q4v13b_groupe4. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Age,35-49,338.9696,0.2749999,0.3553150489011404,0.17032409396004833,0.03368809,0.01765426,0.04852302,0.04271775,0.011689649999999998,0.12402590000000001,0.07074779,0.125,0.15972822,0.06672643,0.10359773000000001,0.17729740999999982,0.01860375,6.371689,"q4v13b_groupe4. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Age,50-64,403.0794,0.255,0.365,0.2149999,0.06700578,0.02033671,0.03431386,0.01747547,0.029040210000000004,0.08673733,0.07672516,0.17085031,0.11558933999999998,0.08347422,0.13338734,0.15279843,0.01226538,6.416539,"q4v13b_groupe4. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Age,65+,369.3302,0.24659740795634907,0.32396754990520676,0.3303328566144875,0.058330459999999994,0.01701067,0.02778828,0.028912149999999998,0.0340693,0.08048659,0.06254715,0.13736827,0.12405219,0.12862826,0.20170449,0.08729457,0.011807360000000001,6.884256,"q4v13b_groupe4. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Socio-Professional Category,Total-CSP+,438.0569,0.26295122848196206,0.42273503738897844,0.19857719396726775,0.046617410000000005,0.01844842,0.05142476000000001,0.03465383,0.02340226,0.08840443,0.09942704,0.16293922000000002,0.16025076,0.08086796,0.11770918,0.10085473,0.015,6.429944,"q4v13b_groupe4. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Socio-Professional Category,Small Business owners,52.24401,0.40120408062091706,0.3181109183617413,0.10975204621544173,0.01161705,0.04669946,0.10582823,0.020637619999999995,0.07168979,0.14473186,0.11792393,0.08354384,0.11664325,0.03589587,0.07385616,0.13097919,0.03995386,5.569885,"q4v13b_groupe4. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
