Indicator,Category,BASE,ST D'accord,ST Pas D'accord,Tout à fait d'accord,Plutôt d'accord,Pas vraiment d'accord,Pas du tout d'accord,No rep.,Question
Total,Total,1488.807,0.329930205862815,0.6462997554417732,0.10418597,0.22574424,0.31830284,0.32799772,0.02376971,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Gender,Man,709.652,0.3057034997435362,0.6749999,0.09797949000000002,0.20772407,0.27353308,0.40257464,0.01818844,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Gender,Woman,779.1553,0.35199568045035434,0.6191515350020721,0.10983886,0.24215699,0.35907861,0.26007267,0.02885311,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Age,18-24,150.494,0.49362413119459914,0.4990096615147448,0.11448716000000002,0.37888393999999986,0.24426269000000003,0.255,0.00736621,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Age,25-34,226.9345,0.43431959442041645,0.512135439961751,0.16308552000000004,0.27123408,0.31128096999999993,0.19939943,0.055,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Age,35-49,338.9696,0.3340771561815573,0.6389726394343327,0.08388717,0.25019011,0.3470084,0.29196412,0.02695003,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Age,50-64,403.0794,0.32902872238075176,0.6556995966551502,0.10532486,0.22370379,0.33025101,0.32572044,0.0149999,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Age,65+,369.3302,0.1962642643358166,0.7849999,0.08118486,0.11507932,0.31280274,0.47241791,0.01851479,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Socio-Professional Category,Total-CSP+,438.0569,0.33461155388717767,0.6385444447970116,0.10499990000000001,0.22854109,0.27861472,0.3610001500000001,0.02684414,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Socio-Professional Category,Small Business owners,52.24401,0.4011929788697307,0.5663497116702948,0.1341332,0.26705971,0.30595508,0.26039464,0.0324575,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
