Indicator,Category,BASE,...s'ouvrir davantage,...se fermer davantage,Rien ne doit changer,No rep.,Question
Total,Total,5979.002,0.14029641,0.58751879,0.23275473,0.03942914,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Gender,Man,2929.637,0.14748005,0.5849999,0.23768003000000001,0.02984002,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Gender,Woman,3049.36,0.13339501,0.58951583,0.22844685000000003,0.04864188,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Age,18-24,478.2759,0.17020508,0.5465381,0.26081452,0.022442359999999998,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Age,25-34,836.9062,0.16372982,0.56974631,0.22152387,0.045,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Age,35-49,1494.556,0.14480769,0.5890166,0.2174498,0.04872523,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Age,50-64,1554.412,0.12683677,0.5917166899999999,0.24499990000000002,0.03644664,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Age,65+,1614.848,0.12807465,0.60343605,0.23208791,0.03640208,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Socio-Professional Category,Total-CSP+,1734.019,0.1770867,0.54464415,0.2554032,0.02286621,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Socio-Professional Category,Small Business owners,212.9949,0.18900335,0.55701713,0.2049999,0.04897962,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.19055372000000004,0.52261042,0.26586528,0.020970929999999995,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
