Indicator,Category,BASE,ST D'accord,ST Pas d'accord,Tout à fait d'accord,Plutôt d'accord,Plutôt pas d'accord,Pas du tout d'accord,No rep.,Question
Total,Total,5979.002,0.745,0.2349999,0.255,0.48613481999999997,0.19311015,0.04461715,0.02113788,"q6v13b_i1. À partir de votre expérience personnelle, seriez-vous d'accord ou pas pour dire que :
- Les diplômes ne permettent plus vraiment de mesurer la compétence professionnelle"
Gender,Man,2929.637,0.7297552563679391,0.25182966353852027,0.25520858,0.47459266,0.2049999,0.04678283,0.01841603,"q6v13b_i1. À partir de votre expérience personnelle, seriez-vous d'accord ou pas pour dire que :
- Les diplômes ne permettent plus vraiment de mesurer la compétence professionnelle"
Gender,Woman,3049.36,0.755,0.22417927040428154,0.255,0.49706771000000005,0.18164287,0.04253653,0.02375289,"q6v13b_i1. À partir de votre expérience personnelle, seriez-vous d'accord ou pas pour dire que :
- Les diplômes ne permettent plus vraiment de mesurer la compétence professionnelle"
Age,18-24,478.2759,0.7620758227625519,0.22862222411792021,0.31216689,0.44990872,0.19575856,0.03286379,0.00930225,"q6v13b_i1. À partir de votre expérience personnelle, seriez-vous d'accord ou pas pour dire que :
- Les diplômes ne permettent plus vraiment de mesurer la compétence professionnelle"
Age,25-34,836.9062,0.7412036139772892,0.231699920492882,0.30676831,0.4344353,0.18474293,0.04695707,0.0270965,"q6v13b_i1. À partir de votre expérience personnelle, seriez-vous d'accord ou pas pour dire que :
- Les diplômes ne permettent plus vraiment de mesurer la compétence professionnelle"
Age,35-49,1494.556,0.7749999,0.1953462432990132,0.29317757,0.4831845,0.15581745,0.03952873,0.02829135,"q6v13b_i1. À partir de votre expérience personnelle, seriez-vous d'accord ou pas pour dire que :
- Les diplômes ne permettent plus vraiment de mesurer la compétence professionnelle"
Age,50-64,1554.412,0.7349998999999999,0.245,0.25393403,0.48259496,0.19739188,0.04738015,0.01870033,"q6v13b_i1. À partir de votre expérience personnelle, seriez-vous d'accord ou pas pour dire que :
- Les diplômes ne permettent plus vraiment de mesurer la compétence professionnelle"
Age,65+,1614.848,0.7049998999999999,0.2759924153852251,0.1749999,0.5317268700000001,0.22705690999999997,0.04893536999999999,0.01728095,"q6v13b_i1. À partir de votre expérience personnelle, seriez-vous d'accord ou pas pour dire que :
- Les diplômes ne permettent plus vraiment de mesurer la compétence professionnelle"
Socio-Professional Category,Total-CSP+,1734.019,0.725,0.26453556737267586,0.25697164,0.46803587,0.21860833,0.0449999,0.01138426,"q6v13b_i1. À partir de votre expérience personnelle, seriez-vous d'accord ou pas pour dire que :
- Les diplômes ne permettent plus vraiment de mesurer la compétence professionnelle"
Socio-Professional Category,Small Business owners,212.9949,0.7249998999999999,0.2509304213387269,0.30348572,0.42058386999999997,0.20810996,0.04282045,0.025,"q6v13b_i1. À partir de votre expérience personnelle, seriez-vous d'accord ou pas pour dire que :
- Les diplômes ne permettent plus vraiment de mesurer la compétence professionnelle"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.6749999,0.315,0.21247722,0.4615017200000001,0.23926932999999997,0.075,0.01175173,"q6v13b_i1. À partir de votre expérience personnelle, seriez-vous d'accord ou pas pour dire que :
- Les diplômes ne permettent plus vraiment de mesurer la compétence professionnelle"
Socio-Professional Category,Prof Intermed,896.9079,0.7538564439002042,0.23757835113281978,0.26367479,0.49018132,0.20789269,0.02968571,0.00856439,"q6v13b_i1. À partir de votre expérience personnelle, seriez-vous d'accord ou pas pour dire que :
- Les diplômes ne permettent plus vraiment de mesurer la compétence professionnelle"
