Indicator,Category,BASE,ST 0 à 5,ST 6 à 8,ST 9 à 10,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,Je ne sais pas,Moyenne,Question
Total,Total,5979.002,0.225,0.4403967417973768,0.2249999,0.01307269,0.012696700000000002,0.02676748,0.035,0.035,0.10010821,0.12367472,0.16568622999999988,0.14967102,0.08327196,0.14187413,0.11317686,6.860049,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Gender,Man,2929.637,0.251957187870033,0.42771408198353583,0.24034206285625145,0.01933697,0.010013220000000001,0.03374495,0.04132887,0.03668803,0.11084503,0.12081312,0.15878032,0.14812139,0.0822406,0.15810143,0.07998848,6.787896,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Gender,Woman,3049.36,0.195,0.45258119736600466,0.2105470984075347,0.00705437,0.01527484,0.020064,0.0281872,0.03143458,0.08979294,0.126424,0.1749999,0.15122110000000016,0.08426306,0.12628411,0.14499990000000001,6.934646,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Age,18-24,478.2759,0.1495338151054653,0.5308191359840627,0.175,0.00698326,0.00982348,0.00823518,0.01291655,0.04112883,0.07044649,0.18600243,0.20042745,0.14499990000000001,0.06718674,0.10684979,0.14499990000000001,6.941227,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Age,25-34,836.9062,0.1700952866641447,0.4785005774840717,0.2299497840976683,0.00942081,0.005,0.02245547,0.0137658,0.02255514,0.09787446,0.13552905,0.1815750499999999,0.16042037,0.10035481000000002,0.12959493,0.12145410999999999,7.106476,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Age,35-49,1494.556,0.22570756800012848,0.4349999,0.23164632171695138,0.01007798,0.00875704,0.0285018,0.03926681,0.03228543,0.10681834999999999,0.12302844,0.1647866,0.14738491,0.07818603,0.15346036,0.10744576,6.896871,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Age,50-64,1554.412,0.21146176174656395,0.4310625496972489,0.23683412119824088,0.012761560000000002,0.01201289,0.025,0.04034266000000001,0.03724286,0.08442125,0.11784519999999998,0.16361771999999986,0.14927889,0.07614461,0.16068951000000004,0.12064285,6.930675,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Age,65+,1614.848,0.2744105327560241,0.40766350764901715,0.22052787630786305,0.01983996,0.022347009999999997,0.03489467,0.04207061,0.03631755,0.11894042,0.10528074,0.15464558,0.14773694,0.09075076999999998,0.12977704,0.0973992,6.61305,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Socio-Professional Category,Total-CSP+,1734.019,0.24031189969660077,0.4849999,0.195,0.01582208,0.01448725,0.03196855,0.042037160000000004,0.03880625,0.09719056999999999,0.15368027,0.17720925,0.1543975,0.06825162,0.12513779,0.08101174,6.647617,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Socio-Professional Category,Small Business owners,212.9949,0.2230617258910894,0.44979757731288406,0.24788598224652328,0.05282408,0.0315393,0.03181062,0.010304359999999999,0.04154369,0.05503966999999999,0.10084622,0.16152204,0.18721214999999997,0.075,0.17310283,0.07925504,6.740941,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
