Indicator,Category,BASE,ST D'accord,ST Pas d'accord,Tout à fait d'accord,Plutôt d'accord,Ni d'accord ni pas d'accord,Pas vraiment d'accord,Pas du tout d'accord,No rep.,Question
Total,Total,5979.002,0.3995717010966044,0.3119199491821545,0.13429226,0.26527922,0.26269384,0.18718575,0.12473421,0.025814379999999998,"pop1_i9. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Il n'y a pas de quoi être fier de notre système démocratique"
Gender,Man,2929.637,0.39971505002155555,0.35350488814825864,0.14325679,0.2564586,0.22913497,0.21039245,0.14311258,0.0176472,"pop1_i9. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Il n'y a pas de quoi être fier de notre système démocratique"
Gender,Woman,3049.36,0.3994346354644909,0.2719681506939161,0.12567978,0.27369091,0.295,0.16489063,0.10707775,0.03366093,"pop1_i9. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Il n'y a pas de quoi être fier de notre système démocratique"
Age,18-24,478.2759,0.42008054346873847,0.2549999,0.13371293,0.28636755,0.305435,0.16353148999999997,0.09498101,0.01597207,"pop1_i9. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Il n'y a pas de quoi être fier de notre système démocratique"
Age,25-34,836.9062,0.475,0.22925818926900052,0.18032463,0.295,0.27338026,0.1428742,0.08638396999999999,0.02203694,"pop1_i9. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Il n'y a pas de quoi être fier de notre système démocratique"
Age,35-49,1494.556,0.4221643752392015,0.27591110670995267,0.11739734,0.3047671,0.2670084,0.1802447,0.09566627000000001,0.03491557,"pop1_i9. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Il n'y a pas de quoi être fier de notre système démocratique"
Age,50-64,1554.412,0.385,0.3449999,0.14840486,0.23643622,0.24406219000000007,0.2049999,0.13946174,0.02663509,"pop1_i9. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Il n'y a pas de quoi être fier de notre système démocratique"
Age,65+,1614.848,0.34783614309210525,0.37120242895925815,0.11265933,0.23517687000000004,0.25954169000000016,0.2049999,0.16614827,0.021473939999999997,"pop1_i9. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Il n'y a pas de quoi être fier de notre système démocratique"
Socio-Professional Category,Total-CSP+,1734.019,0.4063980267805601,0.3421301035340443,0.1351198,0.27127823,0.24025181,0.21286531,0.12926467,0.01122023,"pop1_i9. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Il n'y a pas de quoi être fier de notre système démocratique"
Socio-Professional Category,Small Business owners,212.9949,0.5215561499359844,0.25992378221262574,0.21655598999999992,0.3049999,0.18629451,0.14201551,0.11790836,0.03222573,"pop1_i9. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Il n'y a pas de quoi être fier de notre système démocratique"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.3614097182700755,0.3735717292405194,0.12219459,0.23921515,0.24685513000000003,0.2249999,0.14854503,0.0181902,"pop1_i9. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Il n'y a pas de quoi être fier de notre système démocratique"
Socio-Professional Category,Prof Intermed,896.9079,0.4102436827683199,0.34599215816919443,0.12382052,0.28642339,0.24185047,0.2264713,0.11952085999999999,0.00191247,"pop1_i9. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Il n'y a pas de quoi être fier de notre système démocratique"
Socio-Professional Category,Total-CSP-,1674.09,0.45147865407475113,0.24723688690572193,0.15203269,0.29944609,0.26378809,0.14622912,0.10100777,0.03749604,"pop1_i9. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Il n'y a pas de quoi être fier de notre système démocratique"
Socio-Professional Category,Salaried,956.6466,0.43903872130000776,0.2438728157294449,0.14423268,0.295,0.27869959999999994,0.15013402,0.09373872999999999,0.03819497,"pop1_i9. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Il n'y a pas de quoi être fier de notre système démocratique"
Socio-Professional Category,Blue collar,717.4432,0.46806660095182445,0.2517226450818685,0.16243334999999998,0.30563311,0.24364702,0.14102217,0.11070042,0.03656409,"pop1_i9. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Il n'y a pas de quoi être fier de notre système démocratique"
Political similarity,Far left,187.3446,0.5690332147283669,0.254525670876022,0.26267829,0.30635503,0.16896803999999999,0.11325659,0.14126908,0.00747339,"pop1_i9. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Il n'y a pas de quoi être fier de notre système démocratique"
Political similarity,Radical left,828.7407,0.5135852504890854,0.23805202278589674,0.16318144,0.35040393,0.22512832,0.15503619,0.08301583,0.023235009999999997,"pop1_i9. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Il n'y a pas de quoi être fier de notre système démocratique"
Political similarity,Left,1430.296,0.38029645611817414,0.33926788580825223,0.09053755,0.28975897,0.26050601,0.21233423,0.12693366,0.0199303,"pop1_i9. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Il n'y a pas de quoi être fier de notre système démocratique"
