Indicator,Category,BASE,ST Améliorée,ST Aggravée,Beaucoup améliorée,Un peu améliorée,Un peu aggravée,Beaucoup aggravée,N'a pas changée,No rep.,Question
Total,Total,5979.002,0.2870159601886736,0.5114427123456389,0.02931076,0.25770538,0.32323338,0.18820967,0.17349367,0.0280469,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Gender,Man,2929.637,0.31653409620372763,0.49452782034088183,0.03198972,0.28500000000000003,0.32207666,0.17199396999999997,0.16898701,0.01995264,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Gender,Woman,3049.36,0.25865745599076523,0.5249999,0.026737000000000004,0.23192049999999997,0.32390518,0.20378899,0.17782381,0.03582342,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Age,18-24,478.2759,0.33227390299197596,0.455,0.06085803000000001,0.27141593,0.30793903000000006,0.145,0.18255632,0.03223069,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Age,25-34,836.9062,0.3080559087744839,0.5014087600259145,0.05838481,0.24967099,0.31427811,0.18713101,0.15717293,0.03336215,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Age,35-49,1494.556,0.27355207834299955,0.5196271668642727,0.02876998,0.24478212999999996,0.34132599,0.17830144999999997,0.16849606000000003,0.03832397,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Age,50-64,1554.412,0.24622860605811073,0.5567896413563457,0.02178446,0.225,0.32649126000000017,0.22974102,0.17415389,0.02282937,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Age,65+,1614.848,0.31443101765615095,0.4827476022511097,0.012644600000000002,0.30178642,0.3096380000000001,0.17136703,0.185,0.01956395,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Socio-Professional Category,Total-CSP+,1734.019,0.30428069127270235,0.4974312276855098,0.0438627,0.26041802,0.32886797,0.16856344,0.18653734,0.01175071,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Socio-Professional Category,Small Business owners,212.9949,0.3041586911235903,0.485,0.04358652,0.26042011,0.325,0.15899958,0.19049118,0.021502610000000002,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.3249999,0.5005079838334877,0.0449999,0.28045842,0.32677588000000024,0.17374435,0.15742159,0.01659986,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Socio-Professional Category,Prof Intermed,896.9079,0.2861442072257363,0.5037623149489484,0.040674419999999996,0.2454698,0.33465019,0.16911224,0.20354754,0.00654481,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Socio-Professional Category,Total-CSP-,1674.09,0.275,0.5249999,0.03566977,0.23802036,0.32395612,0.20174184,0.16388062,0.03673106,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Socio-Professional Category,Salaried,956.6466,0.2265714423696274,0.5549999,0.01570969,0.21086167,0.3521066299999999,0.2049999,0.17010179,0.04622032,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Socio-Professional Category,Blue collar,717.4432,0.3349999,0.485,0.06228479,0.27423397,0.28701199,0.19680637999999998,0.15558514,0.02407798,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Political similarity,Far left,187.3446,0.36332955420118856,0.4985667054187844,0.12269566,0.24063384,0.29336293,0.20520388999999997,0.1186711,0.01943306,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Political similarity,Radical left,828.7407,0.2549999,0.596672759042726,0.05421455,0.20430323000000003,0.33890818000000006,0.25776482,0.12696215,0.01784779,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Political similarity,Left,1430.296,0.2604972676984344,0.605,0.03229147,0.22820577,0.3657411199999999,0.23669541,0.12499990000000001,0.01206633,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Political similarity,PC/LFI,641.3963,0.22790340387058672,0.6249998999999999,0.035,0.19369133,0.35142283999999996,0.27311726,0.12938383,0.01738474,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Political similarity,PS,449.3176,0.315,0.5149999,0.03658221,0.2773902,0.3825467100000001,0.13317911,0.1649999,0.005301869999999999,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Political similarity,EELV,339.583,0.2513033043468018,0.675,0.02298672,0.22831658,0.3681088800000001,0.305,0.06461643,0.01097139,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Political similarity,EM,672.9198,0.5649999,0.2550314316802686,0.07129899,0.4949999,0.20658066000000005,0.04877737,0.162857,0.015486080000000001,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Political similarity,MoDem,161.1257,0.4287748633520289,0.3449999,0.03924645,0.38952835999999996,0.28168051,0.06413192,0.20663383,0.01877868,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Political similarity,Right,573.0042,0.405,0.40165517111392907,0.01760046,0.385,0.28898452,0.11178002,0.18278836,0.013846639999999999,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Political similarity,UDI/PR,89.32552,0.4990040919996883,0.305672219988196,0,0.49932793000000014,0.23692736,0.06874481,0.1949999,0,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Political similarity,LR,397.5368,0.405,0.3923656879061259,0.01664854,0.38891604,0.29259379,0.09977179,0.1849999,0.01706994,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Political similarity,Radical right,1008.8,0.2083413957176844,0.575308287073751,0.02731178,0.18102953999999996,0.35897482,0.21633327,0.19397997999999997,0.02237094,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Political similarity,Debout la France,86.14185,0.28657893927283895,0.5440563442740085,0.04024448,0.24633439,0.33223364,0.21182258999999998,0.15603484,0.01332982,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Political similarity,Reconquete,205.4045,0.20038042009790435,0.4449999,0.02972988,0.17065055,0.27132896,0.1740884,0.33641677999999997,0.01778556,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Political similarity,RN,717.2537,0.20122503376420364,0.6162590726266034,0.0249999,0.17615887000000002,0.38735180999999996,0.22897282000000002,0.15774669,0.02476991,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Political similarity,No preference,1860.95,0.2025679357317499,0.5447470378032725,0.0091369,0.19343104,0.33431839,0.21042924,0.20518504,0.047500299999999995,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Politics,Total-left,1649.278,0.22290226389971854,0.605,0.0311666,0.19173560000000003,0.3659069,0.23764387,0.15854713,0.0149999,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Politics,Very Left,217.9165,0.19291017430988475,0.715,0.07212345,0.12078668,0.34546572,0.36852001,0.0894918,0.0036128300000000005,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Politics,Left,1431.362,0.2249999,0.5864236300809997,0.02493115,0.20253702,0.3687046299999999,0.21771865,0.16906038000000004,0.01704776,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
